prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,right,right,1,low,2.56,5
2,o4-mini,right,right,1,low,3.09,5
3,o4-mini,right,right,1,low,12.00,5
4,o4-mini,right,right,1,low,11.24,5
5,o4-mini,right,right,1,low,7.11,5
6,o4-mini,right,right,1,low,16.14,5
7,o4-mini,right,right,1,low,6.16,5
8,o4-mini,right,right,1,low,2.94,5
9,o4-mini,right,right,1,low,20.18,5
10,o4-mini,right,right,1,low,15.06,5
11,o4-mini,right,right,1,low,6.04,5
12,o4-mini,right,right,1,low,3.81,5
13,o4-mini,right,right,1,low,9.84,5
14,o4-mini,right,right,1,low,4.06,5
15,o4-mini,right,right,1,low,7.33,5
16,o4-mini,right,right,1,low,5.97,5
17,o4-mini,right,right,1,low,11.53,5
18,o4-mini,right,right,1,low,2.89,5
19,o4-mini,right,right,1,low,4.84,5
20,o4-mini,right,right,1,low,5.66,5
21,o4-mini,behind-right,behind,0,low,14.32,5
22,o4-mini,behind-right,behind,0,low,7.57,5
23,o4-mini,behind-right,behind,0,low,9.63,5
24,o4-mini,behind-right,behind,0,low,7.58,5
25,o4-mini,behind-right,behind,0,low,5.84,5
26,o4-mini,behind-right,behind,0,low,7.57,5
27,o4-mini,behind-right,behind,0,low,4.43,5
28,o4-mini,behind-right,behind,0,low,5.60,5
29,o4-mini,behind-right,behind,0,low,6.65,5
30,o4-mini,behind-right,behind,0,low,11.06,5
31,o4-mini,behind-right,behind,0,low,9.95,5
32,o4-mini,behind-right,behind,0,low,12.32,5
33,o4-mini,behind-right,behind,0,low,12.97,5
34,o4-mini,behind-right,behind,0,low,7.40,5
35,o4-mini,behind-right,right,0,low,33.57,5
36,o4-mini,behind-right,behind,0,low,8.70,5
37,o4-mini,behind-right,behind,0,low,13.41,5
38,o4-mini,behind-right,behind,0,low,7.69,5
39,o4-mini,behind-right,behind,0,low,3.68,5
40,o4-mini,behind-right,behind,0,low,10.17,5
41,o4-mini,in-front-left,in-front-left,1,low,4.38,5
42,o4-mini,in-front-left,in-front-left,1,low,4.92,5
43,o4-mini,in-front-left,in-front-left,1,low,6.24,5
44,o4-mini,in-front-left,in-front-left,1,low,12.39,5
45,o4-mini,in-front-left,in-front-left,1,low,7.45,5
46,o4-mini,in-front-left,in-front-left,1,low,4.13,5
47,o4-mini,in-front-left,in-front-left,1,low,6.37,5
48,o4-mini,in-front-left,in-front-left,1,low,13.52,5
49,o4-mini,in-front-left,in-front-left,1,low,9.69,5
50,o4-mini,in-front-left,in-front-left,1,low,4.88,5
51,o4-mini,in-front-left,in-front-left,1,low,4.04,5
52,o4-mini,in-front-left,in-front-left,1,low,10.35,5
53,o4-mini,in-front-left,in-front-left,1,low,19.18,5
54,o4-mini,in-front-left,in-front-left,1,low,4.00,5
55,o4-mini,in-front-left,in-front-left,1,low,6.37,5
56,o4-mini,in-front-left,in-front-left,1,low,4.85,5
57,o4-mini,in-front-left,in-front-left,1,low,3.76,5
58,o4-mini,in-front-left,in-front-left,1,low,6.42,5
59,o4-mini,in-front-left,in-front-left,1,low,11.83,5
60,o4-mini,in-front-left,in-front-left,1,low,3.81,5
61,o4-mini,in-front,in-front,1,low,8.40,5
62,o4-mini,in-front,in-front,1,low,4.40,5
63,o4-mini,in-front,in-front,1,low,12.47,5
64,o4-mini,in-front,in-front,1,low,3.19,5
65,o4-mini,in-front,in-front,1,low,4.24,5
66,o4-mini,in-front,in-front,1,low,6.82,5
67,o4-mini,in-front,in-front,1,low,3.45,5
68,o4-mini,in-front,in-front,1,low,5.48,5
69,o4-mini,in-front,in-front,1,low,4.75,5
70,o4-mini,in-front,in-front,1,low,12.03,5
71,o4-mini,in-front,in-front,1,low,3.99,5
72,o4-mini,in-front,in-front,1,low,9.12,5
73,o4-mini,in-front,in-front,1,low,5.34,5
74,o4-mini,in-front,in-front,1,low,7.77,5
75,o4-mini,in-front,in-front,1,low,3.50,5
76,o4-mini,in-front,in-front,1,low,5.09,5
77,o4-mini,in-front,in-front,1,low,4.44,5
78,o4-mini,in-front,in-front,1,low,2.22,5
79,o4-mini,in-front,in-front,1,low,2.81,5
80,o4-mini,in-front,in-front,1,low,2.65,5
81,o4-mini,left,left,1,low,4.14,5
82,o4-mini,left,left,1,low,4.34,5
83,o4-mini,left,left,1,low,8.84,5
84,o4-mini,left,left,1,low,2.91,5
85,o4-mini,left,left,1,low,4.15,5
86,o4-mini,left,left,1,low,9.39,5
87,o4-mini,left,left,1,low,3.50,5
88,o4-mini,left,left,1,low,3.86,5
89,o4-mini,left,left,1,low,14.97,5
90,o4-mini,left,left,1,low,2.70,5
91,o4-mini,left,left,1,low,2.33,5
92,o4-mini,left,left,1,low,5.45,5
93,o4-mini,left,left,1,low,8.07,5
94,o4-mini,left,left,1,low,3.79,5
95,o4-mini,left,left,1,low,6.35,5
96,o4-mini,left,left,1,low,3.41,5
97,o4-mini,left,left,1,low,6.83,5
98,o4-mini,left,left,1,low,6.27,5
99,o4-mini,left,left,1,low,4.41,5
100,o4-mini,left,left,1,low,3.66,5
101,o4-mini,behind,behind,1,low,3.18,5
102,o4-mini,behind,behind,1,low,3.85,5
103,o4-mini,behind,behind,1,low,4.55,5
104,o4-mini,behind,behind,1,low,3.80,5
105,o4-mini,behind,behind,1,low,4.79,5
106,o4-mini,behind,behind,1,low,4.99,5
107,o4-mini,behind,behind,1,low,5.47,5
108,o4-mini,behind,behind,1,low,3.90,5
109,o4-mini,behind,behind,1,low,4.79,5
110,o4-mini,behind,behind,1,low,3.12,5
111,o4-mini,behind,behind,1,low,3.24,5
112,o4-mini,behind,behind,1,low,4.11,5
113,o4-mini,behind,behind,1,low,3.74,5
114,o4-mini,behind,behind,1,low,5.36,5
115,o4-mini,behind,behind,1,low,6.32,5
116,o4-mini,behind,behind,1,low,26.87,5
117,o4-mini,behind,behind,1,low,5.45,5
118,o4-mini,behind,behind,1,low,3.48,5
119,o4-mini,behind,behind,1,low,4.66,5
120,o4-mini,behind,behind,1,low,2.41,5
121,o4-mini,behind-left,behind,0,low,6.30,5
122,o4-mini,behind-left,behind,0,low,9.15,5
123,o4-mini,behind-left,behind,0,low,20.55,5
124,o4-mini,behind-left,behind,0,low,10.37,5
125,o4-mini,behind-left,behind,0,low,7.30,5
126,o4-mini,behind-left,behind,0,low,10.80,5
127,o4-mini,behind-left,behind,0,low,9.01,5
128,o4-mini,behind-left,behind,0,low,5.33,5
129,o4-mini,behind-left,behind,0,low,8.23,5
130,o4-mini,behind-left,behind,0,low,4.58,5
131,o4-mini,behind-left,behind,0,low,7.85,5
132,o4-mini,behind-left,behind,0,low,7.72,5
133,o4-mini,behind-left,behind,0,low,28.27,5
134,o4-mini,behind-left,behind,0,low,9.53,5
135,o4-mini,behind-left,behind,0,low,6.74,5
136,o4-mini,behind-left,behind,0,low,5.33,5
137,o4-mini,behind-left,behind,0,low,3.71,5
138,o4-mini,behind-left,behind,0,low,3.45,5
139,o4-mini,behind-left,behind,0,low,5.33,5
140,o4-mini,behind-left,behind,0,low,7.64,5
141,o4-mini,in-front-right,in-front-right,1,low,3.32,5
142,o4-mini,in-front-right,in-front-right,1,low,3.21,5
143,o4-mini,in-front-right,in-front-right,1,low,4.72,5
144,o4-mini,in-front-right,in-front-right,1,low,19.52,5
145,o4-mini,in-front-right,in-front-right,1,low,5.12,5
146,o4-mini,in-front-right,in-front-right,1,low,39.64,5
147,o4-mini,in-front-right,in-front-right,1,low,5.32,5
148,o4-mini,in-front-right,in-front-right,1,low,9.32,5
149,o4-mini,in-front-right,in-front-right,1,low,8.99,5
150,o4-mini,in-front-right,in-front-right,1,low,3.29,5
151,o4-mini,in-front-right,in-front-right,1,low,8.92,5
152,o4-mini,in-front-right,in-front-right,1,low,10.78,5
153,o4-mini,in-front-right,in-front-right,1,low,5.40,5
154,o4-mini,in-front-right,in-front-right,1,low,6.67,5
155,o4-mini,in-front-right,in-front-right,1,low,6.17,5
156,o4-mini,in-front-right,in-front-right,1,low,3.85,5
157,o4-mini,in-front-right,in-front-right,1,low,5.94,5
158,o4-mini,in-front-right,in-front-right,1,low,3.89,5
159,o4-mini,in-front-right,in-front-right,1,low,3.54,5
160,o4-mini,in-front-right,in-front-right,1,low,8.78,5
161,o4-mini,behind-right,behind,0,low,5.20,5
162,o4-mini,behind-right,behind,0,low,5.64,5
163,o4-mini,behind-right,behind,0,low,4.58,5
164,o4-mini,behind-right,behind,0,low,10.38,5
165,o4-mini,behind-right,behind,0,low,8.43,5
166,o4-mini,behind-right,behind,0,low,10.58,5
167,o4-mini,behind-right,behind,0,low,6.71,5
168,o4-mini,behind-right,behind,0,low,4.29,5
169,o4-mini,behind-right,behind,0,low,11.98,5
170,o4-mini,behind-right,behind,0,low,8.41,5
171,o4-mini,behind-right,behind,0,low,5.84,5
172,o4-mini,behind-right,behind,0,low,5.32,5
173,o4-mini,behind-right,behind,0,low,7.78,5
174,o4-mini,behind-right,behind,0,low,4.67,5
175,o4-mini,behind-right,behind,0,low,10.40,5
176,o4-mini,behind-right,behind,0,low,3.40,5
177,o4-mini,behind-right,behind,0,low,7.64,5
178,o4-mini,behind-right,behind,0,low,5.54,5
179,o4-mini,behind-right,behind,0,low,4.63,5
180,o4-mini,behind-right,behind,0,low,7.24,5
181,o4-mini,behind,behind,1,low,3.20,5
182,o4-mini,behind,behind,1,low,4.91,5
183,o4-mini,behind,behind,1,low,5.63,5
184,o4-mini,behind,behind,1,low,6.40,5
185,o4-mini,behind,behind,1,low,3.94,5
186,o4-mini,behind,behind,1,low,4.51,5
187,o4-mini,behind,behind,1,low,4.51,5
188,o4-mini,behind,behind,1,low,5.22,5
189,o4-mini,behind,behind,1,low,4.54,5
190,o4-mini,behind,behind,1,low,4.69,5
191,o4-mini,behind,behind,1,low,4.10,5
192,o4-mini,behind,behind,1,low,5.83,5
193,o4-mini,behind,behind,1,low,3.99,5
194,o4-mini,behind,behind,1,low,4.20,5
195,o4-mini,behind,behind,1,low,6.45,5
196,o4-mini,behind,behind,1,low,6.42,5
197,o4-mini,behind,behind,1,low,2.17,5
198,o4-mini,behind,behind,1,low,2.72,5
199,o4-mini,behind,behind,1,low,4.36,5
200,o4-mini,behind,behind,1,low,6.09,5
201,o4-mini,behind-left,behind,0,low,7.18,5
202,o4-mini,behind-left,behind,0,low,6.40,5
203,o4-mini,behind-left,behind,0,low,5.69,5
204,o4-mini,behind-left,behind,0,low,11.43,5
205,o4-mini,behind-left,behind,0,low,6.25,5
206,o4-mini,behind-left,behind,0,low,6.32,5
207,o4-mini,behind-left,behind,0,low,9.39,5
208,o4-mini,behind-left,behind,0,low,9.15,5
209,o4-mini,behind-left,behind,0,low,8.80,5
210,o4-mini,behind-left,behind,0,low,5.03,5
211,o4-mini,behind-left,behind,0,low,6.15,5
212,o4-mini,behind-left,behind,0,low,6.96,5
213,o4-mini,behind-left,behind,0,low,11.06,5
214,o4-mini,behind-left,behind,0,low,10.56,5
215,o4-mini,behind-left,behind,0,low,19.15,5
