prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,behind-right,behind,0,low,5.80,10
2,o4-mini,behind-right,behind,0,low,4.81,10
3,o4-mini,behind-right,behind,0,low,6.45,10
4,o4-mini,behind-right,behind,0,low,6.84,10
5,o4-mini,behind-right,behind,0,low,5.22,10
6,o4-mini,behind-right,behind,0,low,5.35,10
7,o4-mini,behind-right,behind,0,low,4.84,10
8,o4-mini,behind-right,behind,0,low,6.05,10
9,o4-mini,behind-right,behind,0,low,8.25,10
10,o4-mini,behind-right,behind,0,low,6.03,10
11,o4-mini,behind-right,behind,0,low,4.45,10
12,o4-mini,behind-right,behind,0,low,4.71,10
13,o4-mini,behind-right,behind,0,low,2.79,10
14,o4-mini,behind-right,behind,0,low,5.22,10
15,o4-mini,behind-right,behind,0,low,7.17,10
16,o4-mini,behind-right,behind,0,low,6.11,10
17,o4-mini,behind-right,behind,0,low,4.30,10
18,o4-mini,behind-right,behind,0,low,7.04,10
19,o4-mini,behind-right,behind,0,low,4.52,10
20,o4-mini,behind-right,behind,0,low,7.22,10
21,o4-mini,behind-right,behind,0,low,4.42,10
22,o4-mini,behind-right,behind,0,low,9.66,10
23,o4-mini,behind-right,behind,0,low,4.78,10
24,o4-mini,behind-right,behind,0,low,5.98,10
25,o4-mini,behind-right,behind,0,low,11.98,10
26,o4-mini,behind-right,behind,0,low,11.16,10
27,o4-mini,behind-right,behind,0,low,6.97,10
28,o4-mini,behind-right,behind,0,low,6.65,10
29,o4-mini,behind-right,behind,0,low,5.74,10
30,o4-mini,behind-right,behind,0,low,3.71,10
31,o4-mini,behind-right,behind,0,low,3.98,10
32,o4-mini,behind-right,behind,0,low,4.90,10
33,o4-mini,behind-right,behind,0,low,8.10,10
34,o4-mini,behind-right,behind,0,low,3.36,10
35,o4-mini,behind-right,behind,0,low,4.11,10
36,o4-mini,behind-right,behind,0,low,4.50,10
37,o4-mini,behind-right,behind,0,low,3.68,10
38,o4-mini,behind-right,behind,0,low,7.18,10
39,o4-mini,behind-right,behind,0,low,4.85,10
40,o4-mini,behind-right,behind,0,low,2.26,10
41,o4-mini,behind-right,behind,0,low,7.51,10
42,o4-mini,behind-right,behind,0,low,4.00,10
43,o4-mini,behind-right,behind,0,low,7.86,10
44,o4-mini,behind-right,behind,0,low,9.86,10
45,o4-mini,behind-right,behind,0,low,4.82,10
46,o4-mini,behind-right,right,0,low,13.47,10
47,o4-mini,behind-right,behind,0,low,3.43,10
48,o4-mini,behind-right,behind,0,low,3.66,10
49,o4-mini,behind-right,behind,0,low,4.74,10
50,o4-mini,behind-right,behind,0,low,10.07,10
51,o4-mini,in-front-right,in-front-right,1,low,6.21,10
52,o4-mini,in-front-right,in-front-right,1,low,6.05,10
53,o4-mini,in-front-right,in-front-right,1,low,8.65,10
54,o4-mini,in-front-right,in-front-right,1,low,5.70,10
55,o4-mini,in-front-right,in-front-right,1,low,2.67,10
56,o4-mini,in-front-right,in-front-right,1,low,6.54,10
57,o4-mini,in-front-right,in-front-right,1,low,2.93,10
58,o4-mini,in-front-right,in-front-right,1,low,6.84,10
59,o4-mini,in-front-right,in-front-right,1,low,5.26,10
60,o4-mini,in-front-right,in-front-right,1,low,7.94,10
61,o4-mini,in-front-right,in-front-right,1,low,5.19,10
62,o4-mini,in-front-right,in-front-right,1,low,4.77,10
63,o4-mini,in-front-right,right,0,low,10.53,10
64,o4-mini,in-front-right,in-front-right,1,low,6.89,10
65,o4-mini,in-front-right,in-front-right,1,low,6.72,10
66,o4-mini,in-front-right,in-front-right,1,low,6.85,10
67,o4-mini,in-front-right,right,0,low,5.37,10
68,o4-mini,in-front-right,in-front-right,1,low,3.13,10
69,o4-mini,in-front-right,in-front-right,1,low,5.55,10
70,o4-mini,in-front-right,in-front-right,1,low,6.14,10
71,o4-mini,in-front-right,in-front-right,1,low,3.77,10
72,o4-mini,in-front-right,in-front-right,1,low,3.62,10
73,o4-mini,in-front-right,in-front-right,1,low,3.62,10
74,o4-mini,in-front-right,in-front-right,1,low,4.27,10
75,o4-mini,in-front-right,in-front-right,1,low,4.85,10
76,o4-mini,in-front-right,in-front-right,1,low,12.60,10
77,o4-mini,in-front-right,in-front-right,1,low,3.74,10
78,o4-mini,in-front-right,in-front-right,1,low,4.20,10
79,o4-mini,in-front-right,in-front-right,1,low,3.85,10
80,o4-mini,in-front-right,in-front-right,1,low,4.41,10
81,o4-mini,in-front-right,in-front-right,1,low,4.86,10
