prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,deepSeek-v3,behind-left,incorrect-prompt,0,high,2.79,1443,0.0,42,10
2,deepSeek-v3,behind-left,incorrect-prompt,0,high,7.35,1585,0.0,42,10
3,deepSeek-v3,behind-left,behind-left,1,high,27.86,2816,0.0,42,10
4,deepSeek-v3,behind-left,behind-left,1,high,16.89,2219,0.0,42,10
5,deepSeek-v3,behind-left,incorrect-prompt,0,high,17.31,2221,0.0,42,10
6,deepSeek-v3,behind-left,behind-right,0,high,11.33,1746,0.0,42,10
7,deepSeek-v3,behind-left,incorrect prompt,0,high,6.69,1712,0.0,42,10
8,deepSeek-v3,behind-left,behind-left,1,high,11.67,1859,0.0,42,10
9,deepSeek-v3,behind-left,incorrect-prompt,0,high,7.13,1525,0.0,42,10
10,deepSeek-v3,behind-left,incorrect-prompt,0,high,5.47,1403,0.0,42,10
11,deepSeek-v3,behind-left,in-front-left,0,high,8.75,1743,0.0,42,10
12,deepSeek-v3,behind-left,behind-left,1,high,6.40,1633,0.0,42,10
13,deepSeek-v3,behind-left,behind-left,1,high,23.03,2342,0.0,42,10
14,deepSeek-v3,behind-left,behind-left,1,high,33.96,2946,0.0,42,10
15,deepSeek-v3,behind-left,incorrect prompt,0,high,3.63,1403,0.0,42,10
16,deepSeek-v3,behind-left,behind-left,1,high,8.09,1706,0.0,42,10
17,deepSeek-v3,behind-left,incorrect-prompt,0,high,9.01,1618,0.0,42,10
18,deepSeek-v3,behind-left,behind-right,0,high,13.68,2148,0.0,42,10
19,deepSeek-v3,behind-left,behind-left,1,high,28.00,2812,0.0,42,10
20,deepSeek-v3,behind-left,incorrect-prompt,0,high,5.73,1698,0.0,42,10
21,deepSeek-v3,behind-left,incorrect-prompt,0,high,3.69,1533,0.0,42,10
22,deepSeek-v3,behind-left,behind-left,1,high,13.33,1842,0.0,42,10
23,deepSeek-v3,behind-left,behind-left,1,high,11.45,1655,0.0,42,10
24,deepSeek-v3,behind-left,behind-left,1,high,8.09,1836,0.0,42,10
25,deepSeek-v3,behind-left,behind-left,1,high,5.63,1566,0.0,42,10
26,deepSeek-v3,behind-left,incorrect prompt,0,high,9.12,1699,0.0,42,10
27,deepSeek-v3,behind-left,in-front-left,0,high,7.47,1725,0.0,42,10
28,deepSeek-v3,behind-left,incorrect-prompt,0,high,6.91,1619,0.0,42,10
29,deepSeek-v3,behind-left,behind-left,1,high,9.17,1685,0.0,42,10
30,deepSeek-v3,behind-left,incorrect-prompt,0,high,14.73,1995,0.0,42,10
31,deepSeek-v3,behind-left,behind-left,1,high,6.65,1745,0.0,42,10
32,deepSeek-v3,behind-left,behind-right,0,high,6.57,1731,0.0,42,10
33,deepSeek-v3,behind-left,incorrect-prompt,0,high,9.13,1895,0.0,42,10
34,deepSeek-v3,behind-left,behind-left,1,high,9.08,1722,0.0,42,10
35,deepSeek-v3,behind-left,incorrect-prompt,0,high,10.89,2107,0.0,42,10
36,deepSeek-v3,behind-left,behind-left,1,high,9.21,1761,0.0,42,10
37,deepSeek-v3,behind-left,behind-left,1,high,10.75,1938,0.0,42,10
38,deepSeek-v3,behind-left,behind-left,1,high,35.74,2667,0.0,42,10
39,deepSeek-v3,behind-left,incorrect prompt,0,high,14.23,2217,0.0,42,10
40,deepSeek-v3,behind-left,incorrect-prompt,0,high,4.50,1587,0.0,42,10
41,deepSeek-v3,behind-left,incorrect-prompt,0,high,4.20,1526,0.0,42,10
42,deepSeek-v3,behind-left,behind-left,1,high,41.68,3264,0.0,42,10
43,deepSeek-v3,behind-left,behind-right,0,high,10.25,1700,0.0,42,10
44,deepSeek-v3,behind-left,incorrect-prompt,0,high,7.13,1677,0.0,42,10
45,deepSeek-v3,behind-left,behind-right,0,high,19.19,2383,0.0,42,10
46,deepSeek-v3,behind-left,incorrect-prompt,0,high,5.72,1594,0.0,42,10
47,deepSeek-v3,behind-left,behind-left,1,high,21.49,2555,0.0,42,10
48,deepSeek-v3,behind-left,behind-right,0,high,10.28,1992,0.0,42,10
49,deepSeek-v3,behind-left,incorrect-prompt,0,high,3.53,1398,0.0,42,10
50,deepSeek-v3,behind-left,behind-right,0,high,13.96,2290,0.0,42,10
