prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemini-2.5-flash,right,right,1,low,3.19,10
2,gemini-2.5-flash,right,right,1,low,5.04,10
3,gemini-2.5-flash,right,right,1,low,6.21,10
4,gemini-2.5-flash,right,right,1,low,4.35,10
5,gemini-2.5-flash,right,right,1,low,2.15,10
6,gemini-2.5-flash,right,right,1,low,5.07,10
7,gemini-2.5-flash,right,right,1,low,45.10,10
8,gemini-2.5-flash,right,right,1,low,4.99,10
9,gemini-2.5-flash,right,right,1,low,2.72,10
10,gemini-2.5-flash,right,left,0,low,3.21,10
11,gemini-2.5-flash,right,right,1,low,4.48,10
12,gemini-2.5-flash,right,in-front,0,low,8.09,10
13,gemini-2.5-flash,right,right,1,low,3.38,10
14,gemini-2.5-flash,right,right,1,low,3.47,10
15,gemini-2.5-flash,right,right,1,low,4.50,10
16,gemini-2.5-flash,right,right,1,low,3.25,10
17,gemini-2.5-flash,right,in-front,0,low,5.27,10
18,gemini-2.5-flash,right,left,0,low,3.06,10
19,gemini-2.5-flash,right,right,1,low,4.51,10
20,gemini-2.5-flash,right,right,1,low,6.58,10
21,gemini-2.5-flash,behind-right,behind,0,low,2.68,10
22,gemini-2.5-flash,behind-right,behind,0,low,4.88,10
23,gemini-2.5-flash,behind-right,behind,0,low,1.79,10
24,gemini-2.5-flash,behind-right,behind,0,low,3.26,10
25,gemini-2.5-flash,behind-right,behind,0,low,3.38,10
26,gemini-2.5-flash,behind-right,behind,0,low,2.78,10
27,gemini-2.5-flash,behind-right,behind,0,low,3.02,10
28,gemini-2.5-flash,behind-right,behind,0,low,13.45,10
29,gemini-2.5-flash,behind-right,behind,0,low,6.15,10
30,gemini-2.5-flash,behind-right,behind,0,low,2.51,10
31,gemini-2.5-flash,behind-right,behind,0,low,3.48,10
32,gemini-2.5-flash,behind-right,behind,0,low,3.87,10
33,gemini-2.5-flash,behind-right,behind,0,low,3.01,10
34,gemini-2.5-flash,behind-right,behind,0,low,3.93,10
35,gemini-2.5-flash,behind-right,behind,0,low,1.63,10
36,gemini-2.5-flash,behind-right,behind,0,low,3.01,10
37,gemini-2.5-flash,behind-right,behind,0,low,4.61,10
38,gemini-2.5-flash,behind-right,behind,0,low,4.01,10
39,gemini-2.5-flash,behind-right,behind,0,low,2.16,10
40,gemini-2.5-flash,behind-right,behind,0,low,8.18,10
41,gemini-2.5-flash,in-front-left,in-front-left,1,low,2.81,10
42,gemini-2.5-flash,in-front-left,in-front-right,0,low,5.84,10
43,gemini-2.5-flash,in-front-left,in-front-left,1,low,6.97,10
44,gemini-2.5-flash,in-front-left,in-front-left,1,low,1.63,10
45,gemini-2.5-flash,in-front-left,in-front-left,1,low,11.16,10
46,gemini-2.5-flash,in-front-left,in-front-left,1,low,3.17,10
47,gemini-2.5-flash,in-front-left,in-front-left,1,low,1.65,10
48,gemini-2.5-flash,in-front-left,in-front-left,1,low,5.47,10
49,gemini-2.5-flash,in-front-left,in-front-left,1,low,2.91,10
50,gemini-2.5-flash,in-front-left,in-front-left,1,low,2.20,10
51,gemini-2.5-flash,in-front-left,in-front-left,1,low,2.54,10
52,gemini-2.5-flash,in-front-left,in-front-left,1,low,2.52,10
53,gemini-2.5-flash,in-front-left,in-front-right,0,low,1.84,10
54,gemini-2.5-flash,in-front-left,in-front-left,1,low,3.14,10
55,gemini-2.5-flash,in-front-left,in-front-left,1,low,7.22,10
56,gemini-2.5-flash,in-front-left,in-front-left,1,low,3.32,10
57,gemini-2.5-flash,in-front-left,in-front-left,1,low,3.38,10
58,gemini-2.5-flash,in-front-left,in-front-left,1,low,4.01,10
59,gemini-2.5-flash,in-front-left,in-front-left,1,low,2.65,10
60,gemini-2.5-flash,in-front-left,in-front-left,1,low,4.35,10
61,gemini-2.5-flash,in-front,in-front,1,low,5.61,10
62,gemini-2.5-flash,in-front,in-front,1,low,6.98,10
63,gemini-2.5-flash,in-front,in-front,1,low,1.92,10
64,gemini-2.5-flash,in-front,in-front,1,low,2.15,10
65,gemini-2.5-flash,in-front,in-front,1,low,6.96,10
66,gemini-2.5-flash,in-front,in-front,1,low,2.36,10
67,gemini-2.5-flash,in-front,in-front,1,low,3.89,10
68,gemini-2.5-flash,in-front,in-front,1,low,3.59,10
69,gemini-2.5-flash,in-front,in-front,1,low,2.05,10
70,gemini-2.5-flash,in-front,in-front,1,low,3.63,10
71,gemini-2.5-flash,in-front,in-front,1,low,4.65,10
72,gemini-2.5-flash,in-front,in-front,1,low,5.42,10
