prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,o4-mini,behind-right,behind-right,1,medium,7.29,2052,0.0,42,10
2,o4-mini,behind-right,behind-right,1,medium,9.94,2180,0.0,42,10
3,o4-mini,behind-right,behind-right,1,medium,10.98,2310,0.0,42,10
4,o4-mini,behind-right,behind-right,1,medium,9.58,2118,0.0,42,10
5,o4-mini,behind-right,behind-right,1,medium,8.85,2120,0.0,42,10
6,o4-mini,behind-right,behind-right,1,medium,16.10,2754,0.0,42,10
7,o4-mini,behind-right,behind-right,1,medium,10.72,2438,0.0,42,10
8,o4-mini,behind-right,behind-right,1,medium,8.09,2116,0.0,42,10
9,o4-mini,behind-right,behind-right,1,medium,7.27,1992,0.0,42,10
10,o4-mini,behind-right,behind-right,1,medium,11.90,2501,0.0,42,10
11,o4-mini,behind-right,behind-right,1,medium,10.22,2310,0.0,42,10
12,o4-mini,behind-right,behind-right,1,medium,9.93,2244,0.0,42,10
13,o4-mini,behind-right,behind-right,1,medium,10.55,2308,0.0,42,10
14,o4-mini,behind-right,behind-right,1,medium,9.11,2372,0.0,42,10
15,o4-mini,behind-right,behind-right,1,medium,9.52,2182,0.0,42,10
16,o4-mini,behind-right,behind-right,1,medium,12.04,2312,0.0,42,10
17,o4-mini,behind-right,behind-right,1,medium,6.09,1732,0.0,42,10
18,o4-mini,behind-right,behind-right,1,medium,10.20,2054,0.0,42,10
19,o4-mini,behind-right,behind-right,1,medium,11.62,2240,0.0,42,10
20,o4-mini,behind-right,behind-right,1,medium,8.20,1990,0.0,42,10
21,o4-mini,behind-right,behind-right,1,medium,15.66,2630,0.0,42,10
22,o4-mini,behind-right,behind-right,1,medium,7.96,2118,0.0,42,10
23,o4-mini,behind-right,behind-right,1,medium,6.68,1794,0.0,42,10
24,o4-mini,behind-right,behind-right,1,medium,12.08,2248,0.0,42,10
25,o4-mini,behind-right,right,0,medium,24.50,3906,0.0,42,10
26,o4-mini,behind-right,behind-right,1,medium,10.11,2180,0.0,42,10
27,o4-mini,behind-right,behind-right,1,medium,20.28,3204,0.0,42,10
28,o4-mini,behind-right,behind-right,1,medium,9.73,2372,0.0,42,10
29,o4-mini,behind-right,behind-right,1,medium,9.15,2244,0.0,42,10
30,o4-mini,behind-right,behind-right,1,medium,7.45,2118,0.0,42,10
31,o4-mini,behind-right,behind-right,1,medium,11.19,2564,0.0,42,10
32,o4-mini,behind-right,behind-right,1,medium,7.89,2116,0.0,42,10
33,o4-mini,behind-right,behind-right,1,medium,8.36,2118,0.0,42,10
34,o4-mini,behind-right,behind-right,1,medium,11.37,1860,0.0,42,10
35,o4-mini,behind-right,behind-right,1,medium,21.71,2306,0.0,42,10
36,o4-mini,behind-right,behind-right,1,medium,7.59,1986,0.0,42,10
37,o4-mini,behind-right,behind-right,1,medium,8.20,1988,0.0,42,10
38,o4-mini,behind-right,behind-right,1,medium,8.37,1986,0.0,42,10
39,o4-mini,behind-right,behind-right,1,medium,11.36,2372,0.0,42,10
40,o4-mini,behind-right,behind-right,1,medium,8.70,2120,0.0,42,10
41,o4-mini,behind-right,behind-right,1,medium,12.19,2120,0.0,42,10
42,o4-mini,behind-right,behind-right,1,medium,13.00,2116,0.0,42,10
43,o4-mini,behind-right,behind-right,1,medium,18.53,2948,0.0,42,10
44,o4-mini,behind-right,behind-right,1,medium,15.77,1926,0.0,42,10
45,o4-mini,behind-right,behind,0,medium,13.24,2438,0.0,42,10
46,o4-mini,behind-right,behind-right,1,medium,10.20,2056,0.0,42,10
47,o4-mini,behind-right,behind-right,1,medium,7.92,2118,0.0,42,10
48,o4-mini,behind-right,behind-right,1,medium,14.01,2950,0.0,42,10
49,o4-mini,behind-right,behind-right,1,medium,10.54,2376,0.0,42,10
50,o4-mini,behind-right,behind-right,1,medium,8.31,2182,0.0,42,10
51,o4-mini,in-front-left,in-front-left,1,medium,14.43,2442,0.0,42,10
52,o4-mini,in-front-left,in-front-right,0,medium,10.38,1670,0.0,42,10
53,o4-mini,in-front-left,in-front-left,1,medium,11.05,2438,0.0,42,10
54,o4-mini,in-front-left,in-front-left,1,medium,7.04,1926,0.0,42,10
55,o4-mini,in-front-left,in-front-left,1,medium,11.43,2568,0.0,42,10
56,o4-mini,in-front-left,in-front-left,1,medium,8.73,1990,0.0,42,10
57,o4-mini,in-front-left,in-front-left,1,medium,15.78,2054,0.0,42,10
58,o4-mini,in-front-left,in-front-left,1,medium,8.72,1670,0.0,42,10
59,o4-mini,in-front-left,in-front-left,1,medium,5.54,1672,0.0,42,10
60,o4-mini,in-front-left,in-front-left,1,medium,9.19,2116,0.0,42,10
61,o4-mini,in-front-left,in-front-left,1,medium,28.15,3208,0.0,42,10
62,o4-mini,in-front-left,in-front-left,1,medium,11.18,1674,0.0,42,10
63,o4-mini,in-front-left,in-front-right,0,medium,50.01,6534,0.0,42,10
64,o4-mini,in-front-left,in-front-left,1,medium,7.95,2052,0.0,42,10
65,o4-mini,in-front-left,in-front-left,1,medium,5.22,1732,0.0,42,10
66,o4-mini,in-front-left,in-front-left,1,medium,15.88,2822,0.0,42,10
67,o4-mini,in-front-left,in-front-left,1,medium,10.13,2246,0.0,42,10
68,o4-mini,in-front-left,in-front-left,1,medium,12.78,2438,0.0,42,10
69,o4-mini,in-front-left,in-front-left,1,medium,12.29,2310,0.0,42,10
70,o4-mini,in-front-left,in-front-left,1,medium,8.38,1930,0.0,42,10
71,o4-mini,in-front-left,in-front-left,1,medium,11.47,2182,0.0,42,10
72,o4-mini,in-front-left,in-front-left,1,medium,10.78,2246,0.0,42,10
73,o4-mini,in-front-left,in-front-left,1,medium,9.07,2054,0.0,42,10
74,o4-mini,in-front-left,in-front-left,1,medium,8.16,2054,0.0,42,10
75,o4-mini,in-front-left,in-front-left,1,medium,17.90,2310,0.0,42,10
76,o4-mini,in-front-left,in-front-left,1,medium,11.06,2248,0.0,42,10
77,o4-mini,in-front-left,in-front-left,1,medium,8.49,2118,0.0,42,10
78,o4-mini,in-front-left,in-front-left,1,medium,4.92,1738,0.0,42,10
79,o4-mini,in-front-left,in-front-left,1,medium,7.20,1990,0.0,42,10
80,o4-mini,in-front-left,in-front-left,1,medium,7.38,1928,0.0,42,10
81,o4-mini,in-front-left,in-front-left,1,medium,6.82,1922,0.0,42,10
82,o4-mini,in-front-left,in-front-left,1,medium,7.96,2054,0.0,42,10
83,o4-mini,in-front-left,in-front-left,1,medium,18.18,2826,0.0,42,10
84,o4-mini,in-front-left,in-front-left,1,medium,9.80,1990,0.0,42,10
85,o4-mini,in-front-left,in-front-left,1,medium,11.37,2244,0.0,42,10
86,o4-mini,in-front-left,in-front-left,1,medium,8.75,2118,0.0,42,10
87,o4-mini,in-front-left,in-front-left,1,medium,5.59,1736,0.0,42,10
88,o4-mini,in-front-left,in-front-left,1,medium,13.13,2694,0.0,42,10
89,o4-mini,in-front-left,in-front-left,1,medium,11.00,2436,0.0,42,10
90,o4-mini,in-front-left,in-front-left,1,medium,8.00,2116,0.0,42,10
91,o4-mini,in-front-left,in-front-left,1,medium,9.14,2310,0.0,42,10
92,o4-mini,in-front-left,behind-left,0,medium,7.77,1988,0.0,42,10
93,o4-mini,in-front-left,in-front-left,1,medium,5.42,1732,0.0,42,10
94,o4-mini,in-front-left,in-front-left,1,medium,8.31,1928,0.0,42,10
95,o4-mini,in-front-left,in-front-left,1,medium,10.06,2122,0.0,42,10
96,o4-mini,in-front-left,in-front-left,1,medium,7.39,1866,0.0,42,10
97,o4-mini,in-front-left,in-front-left,1,medium,11.94,2378,0.0,42,10
98,o4-mini,in-front-left,in-front-left,1,medium,7.07,1928,0.0,42,10
99,o4-mini,in-front-left,in-front-left,1,medium,12.91,2376,0.0,42,10
100,o4-mini,in-front-left,in-front-left,1,medium,9.52,1926,0.0,42,10
101,o4-mini,in-front-right,in-front-right,1,medium,12.14,2180,0.0,42,10
102,o4-mini,in-front-right,in-front-right,1,medium,9.96,1924,0.0,42,10
103,o4-mini,in-front-right,in-front-right,1,medium,11.07,2250,0.0,42,10
104,o4-mini,in-front-right,in-front-right,1,medium,15.27,2762,0.0,42,10
105,o4-mini,in-front-right,in-front-right,1,medium,11.37,2506,0.0,42,10
106,o4-mini,in-front-right,in-front-right,1,medium,11.56,2564,0.0,42,10
107,o4-mini,in-front-right,in-front-right,1,medium,5.93,1798,0.0,42,10
108,o4-mini,in-front-right,in-front-right,1,medium,9.59,2250,0.0,42,10
109,o4-mini,in-front-right,in-front-right,1,medium,13.36,2628,0.0,42,10
110,o4-mini,in-front-right,in-front-right,1,medium,10.66,2374,0.0,42,10
111,o4-mini,in-front-right,in-front-right,1,medium,10.54,2250,0.0,42,10
112,o4-mini,in-front-right,in-front-right,1,medium,8.81,2118,0.0,42,10
113,o4-mini,in-front-right,in-front-right,1,medium,8.18,2056,0.0,42,10
114,o4-mini,in-front-right,in-front-right,1,medium,7.18,1928,0.0,42,10
115,o4-mini,in-front-right,in-front-right,1,medium,12.87,2696,0.0,42,10
116,o4-mini,in-front-right,in-front-right,1,medium,5.97,1866,0.0,42,10
117,o4-mini,in-front-right,in-front-right,1,medium,10.91,2442,0.0,42,10
118,o4-mini,in-front-right,in-front-right,1,medium,8.35,1994,0.0,42,10
119,o4-mini,in-front-right,in-front-right,1,medium,8.90,1990,0.0,42,10
120,o4-mini,in-front-right,in-front-right,1,medium,17.51,2887,0.0,42,10
121,o4-mini,in-front-right,in-front-right,1,medium,13.38,2698,0.0,42,10
122,o4-mini,in-front-right,in-front-right,1,medium,8.29,2056,0.0,42,10
123,o4-mini,in-front-right,in-front-right,1,medium,12.81,2506,0.0,42,10
124,o4-mini,in-front-right,error,0,medium,33.71,0,0.0,42,10
125,o4-mini,in-front-right,in-front-right,1,medium,20.11,2568,0.0,42,10
126,o4-mini,in-front-right,in-front-right,1,medium,7.75,1994,0.0,42,10
127,o4-mini,in-front-right,in-front-right,1,medium,18.47,2120,0.0,42,10
128,o4-mini,in-front-right,in-front-right,1,medium,7.95,1988,0.0,42,10
129,o4-mini,in-front-right,in-front-right,1,medium,14.80,2570,0.0,42,10
130,o4-mini,in-front-right,in-front-right,1,medium,18.34,2310,0.0,42,10
131,o4-mini,in-front-right,in-front-right,1,medium,11.21,2250,0.0,42,10
132,o4-mini,in-front-right,in-front-right,1,medium,5.43,1864,0.0,42,10
133,o4-mini,in-front-right,in-front-right,1,medium,9.36,2308,0.0,42,10
134,o4-mini,in-front-right,in-front-right,1,medium,6.73,1866,0.0,42,10
135,o4-mini,in-front-right,in-front-right,1,medium,18.01,2504,0.0,42,10
136,o4-mini,in-front-right,in-front-right,1,medium,7.26,2058,0.0,42,10
137,o4-mini,in-front-right,in-front-right,1,medium,9.73,2314,0.0,42,10
138,o4-mini,in-front-right,in-front-right,1,medium,8.35,1928,0.0,42,10
139,o4-mini,in-front-right,in-front-right,1,medium,7.83,2058,0.0,42,10
140,o4-mini,in-front-right,in-front-right,1,medium,11.68,2438,0.0,42,10
141,o4-mini,in-front-right,in-front-right,1,medium,9.34,2248,0.0,42,10
142,o4-mini,in-front-right,in-front-right,1,medium,5.91,1738,0.0,42,10
143,o4-mini,in-front-right,in-front-right,1,medium,13.00,2054,0.0,42,10
144,o4-mini,in-front-right,in-front-right,1,medium,15.46,2436,0.0,42,10
145,o4-mini,in-front-right,in-front-right,1,medium,7.85,1928,0.0,42,10
146,o4-mini,in-front-right,in-front-right,1,medium,6.68,1988,0.0,42,10
147,o4-mini,in-front-right,in-front-right,1,medium,6.04,1862,0.0,42,10
148,o4-mini,in-front-right,in-front-right,1,medium,6.43,1992,0.0,42,10
149,o4-mini,in-front-right,in-front-right,1,medium,8.22,2122,0.0,42,10
150,o4-mini,in-front-right,in-front-right,1,medium,19.05,3078,0.0,42,10
151,o4-mini,behind-left,behind-left,1,medium,12.38,2690,0.0,42,10
152,o4-mini,behind-left,behind-left,1,medium,6.01,1798,0.0,42,10
153,o4-mini,behind-left,behind-left,1,medium,8.13,1864,0.0,42,10
154,o4-mini,behind-left,behind-left,1,medium,7.89,1924,0.0,42,10
155,o4-mini,behind-left,behind-left,1,medium,6.66,1924,0.0,42,10
156,o4-mini,behind-left,behind-left,1,medium,6.88,1988,0.0,42,10
157,o4-mini,behind-left,behind-left,1,medium,8.89,2182,0.0,42,10
158,o4-mini,behind-left,behind-left,1,medium,11.78,2116,0.0,42,10
159,o4-mini,behind-left,behind-left,1,medium,9.97,1992,0.0,42,10
160,o4-mini,behind-left,behind-left,1,medium,7.53,1926,0.0,42,10
161,o4-mini,behind-left,behind-left,1,medium,9.48,2056,0.0,42,10
162,o4-mini,behind-left,behind-left,1,medium,12.38,2248,0.0,42,10
163,o4-mini,behind-left,behind-left,1,medium,7.38,1862,0.0,42,10
164,o4-mini,behind-left,behind-left,1,medium,9.27,1928,0.0,42,10
165,o4-mini,behind-left,behind-left,1,medium,6.55,1732,0.0,42,10
166,o4-mini,behind-left,behind-left,1,medium,8.35,2116,0.0,42,10
167,o4-mini,behind-left,behind-left,1,medium,7.67,1988,0.0,42,10
168,o4-mini,behind-left,behind-left,1,medium,9.50,2116,0.0,42,10
169,o4-mini,behind-left,behind-left,1,medium,10.42,1922,0.0,42,10
170,o4-mini,behind-left,behind-left,1,medium,9.32,1798,0.0,42,10
171,o4-mini,behind-left,behind-left,1,medium,11.37,2052,0.0,42,10
172,o4-mini,behind-left,behind-left,1,medium,10.98,1858,0.0,42,10
173,o4-mini,behind-left,behind-left,1,medium,6.73,1862,0.0,42,10
174,o4-mini,behind-left,behind-left,1,medium,16.15,2566,0.0,42,10
175,o4-mini,behind-left,behind-left,1,medium,8.38,1862,0.0,42,10
176,o4-mini,behind-left,behind-left,1,medium,10.78,2312,0.0,42,10
177,o4-mini,behind-left,behind-left,1,medium,9.57,2184,0.0,42,10
