prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemini-2.5-flash,behind,right,0,high,7.11,10
2,gemini-2.5-flash,behind,incorrect prompt,0,high,4.30,10
3,gemini-2.5-flash,behind,left,0,high,19.85,10
4,gemini-2.5-flash,behind,left,0,high,11.94,10
5,gemini-2.5-flash,behind,left,0,high,11.65,10
6,gemini-2.5-flash,behind,right,0,high,13.60,10
7,gemini-2.5-flash,behind,incorrect prompt,0,high,3.09,10
8,gemini-2.5-flash,behind,left,0,high,15.74,10
9,gemini-2.5-flash,behind,left,0,high,19.48,10
10,gemini-2.5-flash,behind,incorrect prompt,0,high,3.51,10
11,gemini-2.5-flash,behind,behind,1,high,13.92,10
12,gemini-2.5-flash,behind,left,0,high,10.26,10
13,gemini-2.5-flash,behind,left,0,high,6.02,10
14,gemini-2.5-flash,behind,left,0,high,11.16,10
15,gemini-2.5-flash,behind,right,0,high,8.09,10
16,gemini-2.5-flash,behind,incorrect prompt,0,high,4.84,10
17,gemini-2.5-flash,behind,right,0,high,11.14,10
18,gemini-2.5-flash,behind,right,0,high,12.33,10
19,gemini-2.5-flash,behind,incorrect prompt,0,high,7.92,10
20,gemini-2.5-flash,behind,left,0,high,8.17,10
21,gemini-2.5-flash,in-front,behind,0,high,20.03,10
22,gemini-2.5-flash,in-front,incorrect prompt,0,high,18.89,10
23,gemini-2.5-flash,in-front,incorrect prompt,0,high,5.19,10
24,gemini-2.5-flash,in-front,left,0,high,8.42,10
25,gemini-2.5-flash,in-front,left,0,high,10.12,10
26,gemini-2.5-flash,in-front,left,0,high,25.92,10
27,gemini-2.5-flash,in-front,incorrect prompt,0,high,10.49,10
28,gemini-2.5-flash,in-front,right,0,high,20.06,10
29,gemini-2.5-flash,in-front,incorrect prompt,0,high,2.95,10
30,gemini-2.5-flash,in-front,right,0,high,7.34,10
31,gemini-2.5-flash,in-front,incorrect prompt,0,high,6.23,10
32,gemini-2.5-flash,in-front,left,0,high,5.39,10
33,gemini-2.5-flash,in-front,right,0,high,7.03,10
34,gemini-2.5-flash,in-front,in-front,1,high,10.62,10
35,gemini-2.5-flash,in-front,in-front,1,high,8.20,10
36,gemini-2.5-flash,in-front,incorrect prompt,0,high,2.86,10
37,gemini-2.5-flash,in-front,right,0,high,14.38,10
38,gemini-2.5-flash,in-front,right,0,high,6.46,10
39,gemini-2.5-flash,in-front,right,0,high,12.64,10
40,gemini-2.5-flash,in-front,left,0,high,21.74,10
41,gemini-2.5-flash,left,incorrect prompt,0,high,3.68,10
