prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,in-front-left,right,0,high,20.05,5
2,deepSeek-v3,in-front-left,incorrect prompt,0,high,4.18,5
3,deepSeek-v3,in-front-left,incorrect prompt,0,high,14.34,5
4,deepSeek-v3,in-front-left,left,0,high,30.29,5
5,deepSeek-v3,in-front-left,incorrect prompt,0,high,6.72,5
6,deepSeek-v3,in-front-left,in-front,0,high,12.04,5
7,deepSeek-v3,in-front-left,left,0,high,9.65,5
8,deepSeek-v3,in-front-left,incorrect prompt,0,high,19.43,5
9,deepSeek-v3,in-front-left,right,0,high,8.39,5
10,deepSeek-v3,in-front-left,right,0,high,40.44,5
11,deepSeek-v3,in-front-left,left,0,high,12.35,5
12,deepSeek-v3,in-front-left,left,0,high,12.39,5
13,deepSeek-v3,in-front-left,incorrect prompt,0,high,9.06,5
14,deepSeek-v3,in-front-left,left,0,high,11.63,5
15,deepSeek-v3,in-front-left,right,0,high,29.75,5
16,deepSeek-v3,in-front-left,incorrect prompt,0,high,7.40,5
17,deepSeek-v3,in-front-left,right,0,high,10.41,5
18,deepSeek-v3,in-front-left,right,0,high,46.62,5
19,deepSeek-v3,in-front-left,left,0,high,14.11,5
20,deepSeek-v3,in-front-left,incorrect prompt,0,high,49.77,5
21,deepSeek-v3,in-front-left,behind,0,high,14.74,5
22,deepSeek-v3,in-front-left,incorrect prompt,0,high,5.11,5
23,deepSeek-v3,in-front-left,right,0,high,8.30,5
24,deepSeek-v3,in-front-left,incorrect prompt,0,high,11.48,5
25,deepSeek-v3,in-front-left,right,0,high,37.46,5
26,deepSeek-v3,in-front-left,right,0,high,23.67,5
27,deepSeek-v3,in-front-left,right,0,high,15.06,5
28,deepSeek-v3,in-front-left,left,0,high,10.74,5
29,deepSeek-v3,in-front-left,left,0,high,14.04,5
30,deepSeek-v3,in-front-left,right,0,high,13.96,5
31,deepSeek-v3,in-front-left,right,0,high,21.47,5
32,deepSeek-v3,in-front-left,right,0,high,16.53,5
33,deepSeek-v3,in-front-left,incorrect prompt,0,high,3.43,5
34,deepSeek-v3,in-front-left,right,0,high,16.17,5
35,deepSeek-v3,in-front-left,left,0,high,14.04,5
36,deepSeek-v3,in-front-left,right,0,high,26.01,5
37,deepSeek-v3,in-front-left,right,0,high,18.73,5
38,deepSeek-v3,in-front-left,right,0,high,40.05,5
39,deepSeek-v3,in-front-left,incorrect prompt,0,high,18.13,5
40,deepSeek-v3,in-front-left,incorrect prompt,0,high,10.24,5
41,deepSeek-v3,in-front-left,incorrect prompt,0,high,19.67,5
42,deepSeek-v3,in-front-left,right,0,high,33.27,5
43,deepSeek-v3,in-front-left,right,0,high,20.34,5
44,deepSeek-v3,in-front-left,right,0,high,14.88,5
45,deepSeek-v3,in-front-left,incorrect prompt,0,high,4.89,5
46,deepSeek-v3,in-front-left,incorrect prompt,0,high,10.37,5
47,deepSeek-v3,in-front-left,incorrect prompt,0,high,31.75,5
48,deepSeek-v3,in-front-left,left,0,high,9.79,5
49,deepSeek-v3,in-front-left,behind,0,high,12.12,5
50,deepSeek-v3,in-front-left,incorrect prompt,0,high,4.30,5
51,deepSeek-v3,right,right,1,high,37.83,5
52,deepSeek-v3,right,right,1,high,10.50,5
53,deepSeek-v3,right,incorrect prompt,0,high,23.54,5
54,deepSeek-v3,right,right,1,high,7.68,5
55,deepSeek-v3,right,left,0,high,11.18,5
56,deepSeek-v3,right,incorrect prompt,0,high,4.99,5
57,deepSeek-v3,right,incorrect prompt,0,high,25.25,5
58,deepSeek-v3,right,right,1,high,22.63,5
59,deepSeek-v3,right,incorrect prompt,0,high,15.30,5
60,deepSeek-v3,right,right,1,high,37.08,5
61,deepSeek-v3,right,right,1,high,25.25,5
62,deepSeek-v3,right,left,0,high,8.71,5
63,deepSeek-v3,right,left,0,high,9.66,5
64,deepSeek-v3,right,right,1,high,9.60,5
65,deepSeek-v3,right,right,1,high,14.67,5
66,deepSeek-v3,right,right,1,high,27.65,5
67,deepSeek-v3,right,left,0,high,4.74,5
68,deepSeek-v3,right,incorrect prompt,0,high,5.13,5
69,deepSeek-v3,right,incorrect prompt,0,high,14.39,5
70,deepSeek-v3,right,right,1,high,46.59,5
71,deepSeek-v3,right,right,1,high,22.43,5
72,deepSeek-v3,right,right,1,high,9.31,5
73,deepSeek-v3,right,incorrect prompt,0,high,12.61,5
74,deepSeek-v3,right,incorrect prompt,0,high,7.13,5
75,deepSeek-v3,right,incorrect prompt,0,high,23.51,5
76,deepSeek-v3,right,right,1,high,7.33,5
77,deepSeek-v3,right,incorrect prompt,0,high,6.15,5
78,deepSeek-v3,right,left,0,high,21.31,5
79,deepSeek-v3,right,behind,0,high,5.15,5
80,deepSeek-v3,right,right,1,high,55.06,5
81,deepSeek-v3,right,incorrect prompt,0,high,5.27,5
82,deepSeek-v3,right,incorrect prompt,0,high,15.45,5
83,deepSeek-v3,right,right,1,high,11.73,5
84,deepSeek-v3,right,incorrect prompt,0,high,6.22,5
85,deepSeek-v3,right,left,0,high,9.11,5
86,deepSeek-v3,right,right,1,high,8.24,5
87,deepSeek-v3,right,left,0,high,14.48,5
88,deepSeek-v3,right,right,1,high,53.00,5
89,deepSeek-v3,right,incorrect prompt,0,high,30.34,5
90,deepSeek-v3,right,incorrect prompt,0,high,7.64,5
91,deepSeek-v3,right,left,0,high,11.72,5
92,deepSeek-v3,right,left,0,high,16.32,5
93,deepSeek-v3,right,left,0,high,15.48,5
94,deepSeek-v3,right,left,0,high,6.59,5
95,deepSeek-v3,right,left,0,high,14.33,5
96,deepSeek-v3,right,incorrect prompt,0,high,16.14,5
97,deepSeek-v3,right,left,0,high,10.13,5
98,deepSeek-v3,right,right,1,high,19.85,5
99,deepSeek-v3,right,behind,0,high,15.93,5
100,deepSeek-v3,right,right,1,high,21.54,5
101,deepSeek-v3,behind-left,left,0,high,9.16,5
102,deepSeek-v3,behind-left,incorrect prompt,0,high,6.73,5
103,deepSeek-v3,behind-left,right,0,high,18.72,5
104,deepSeek-v3,behind-left,incorrect prompt,0,high,5.28,5
105,deepSeek-v3,behind-left,right,0,high,37.25,5
106,deepSeek-v3,behind-left,right,0,high,57.63,5
107,deepSeek-v3,behind-left,incorrect prompt,0,high,3.40,5
108,deepSeek-v3,behind-left,right,0,high,50.46,5
109,deepSeek-v3,behind-left,incorrect prompt,0,high,5.04,5
110,deepSeek-v3,behind-left,left,0,high,11.06,5
111,deepSeek-v3,behind-left,right,0,high,8.74,5
112,deepSeek-v3,behind-left,incorrect prompt,0,high,17.93,5
113,deepSeek-v3,behind-left,incorrect prompt,0,high,8.33,5
114,deepSeek-v3,behind-left,incorrect prompt,0,high,5.50,5
115,deepSeek-v3,behind-left,left,0,high,7.41,5
116,deepSeek-v3,behind-left,incorrect prompt,0,high,16.23,5
117,deepSeek-v3,behind-left,right,0,high,18.13,5
118,deepSeek-v3,behind-left,right,0,high,13.16,5
119,deepSeek-v3,behind-left,left,0,high,4.71,5
120,deepSeek-v3,behind-left,incorrect prompt,0,high,15.47,5
121,deepSeek-v3,behind-left,right,0,high,20.64,5
122,deepSeek-v3,behind-left,right,0,high,15.91,5
123,deepSeek-v3,behind-left,right,0,high,7.70,5
124,deepSeek-v3,behind-left,right,0,high,8.99,5
125,deepSeek-v3,behind-left,right,0,high,24.20,5
126,deepSeek-v3,behind-left,right,0,high,23.62,5
127,deepSeek-v3,behind-left,left,0,high,9.81,5
128,deepSeek-v3,behind-left,incorrect prompt,0,high,48.35,5
129,deepSeek-v3,behind-left,right,0,high,35.74,5
130,deepSeek-v3,behind-left,right,0,high,22.16,5
131,deepSeek-v3,behind-left,right,0,high,7.45,5
