prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gemini-2.5-flash,behind-right,behind-right,1,medium,3.51,1907,0.0,42,10
2,gemini-2.5-flash,behind-right,in-front,0,medium,6.38,2526,0.0,42,10
3,gemini-2.5-flash,behind-right,in-front,0,medium,5.09,2408,0.0,42,10
4,gemini-2.5-flash,behind-right,behind-right,1,medium,3.12,1873,0.0,42,10
5,gemini-2.5-flash,behind-right,left,0,medium,32.91,8532,0.0,42,10
6,gemini-2.5-flash,behind-right,in-front,0,medium,10.76,3519,0.0,42,10
7,gemini-2.5-flash,behind-right,in-front,0,medium,9.66,3168,0.0,42,10
8,gemini-2.5-flash,behind-right,left,0,medium,15.80,4512,0.0,42,10
9,gemini-2.5-flash,behind-right,right,0,medium,3.69,2052,0.0,42,10
10,gemini-2.5-flash,behind-right,in-front,0,medium,8.68,2949,0.0,42,10
11,gemini-2.5-flash,behind-right,in-front,0,medium,5.31,2413,0.0,42,10
12,gemini-2.5-flash,behind-right,in-front,0,medium,17.39,4762,0.0,42,10
13,gemini-2.5-flash,behind-right,behind,0,medium,13.03,3888,0.0,42,10
14,gemini-2.5-flash,behind-right,in-front,0,medium,13.34,3756,0.0,42,10
15,gemini-2.5-flash,behind-right,in-front,0,medium,12.18,3753,0.0,42,10
16,gemini-2.5-flash,behind-right,in-front,0,medium,4.70,2232,0.0,42,10
17,gemini-2.5-flash,behind-right,behind-right,1,medium,4.07,1970,0.0,42,10
18,gemini-2.5-flash,behind-right,behind-right,1,medium,2.65,1742,0.0,42,10
19,gemini-2.5-flash,behind-right,in-front,0,medium,6.98,2710,0.0,42,10
20,gemini-2.5-flash,behind-right,in-front,0,medium,11.11,3691,0.0,42,10
21,gemini-2.5-flash,behind-right,in-front,0,medium,4.56,2241,0.0,42,10
22,gemini-2.5-flash,behind-right,behind-right,1,medium,3.68,1906,0.0,42,10
23,gemini-2.5-flash,behind-right,behind-right,1,medium,4.21,2099,0.0,42,10
24,gemini-2.5-flash,behind-right,left,0,medium,7.55,2891,0.0,42,10
25,gemini-2.5-flash,behind-right,in-front,0,medium,13.93,4214,0.0,42,10
26,gemini-2.5-flash,behind-right,in-front,0,medium,12.56,3950,0.0,42,10
27,gemini-2.5-flash,behind-right,incorrect prompt,0,medium,15.05,4349,0.0,42,10
28,gemini-2.5-flash,behind-right,in-front-left,0,medium,17.44,5177,0.0,42,10
29,gemini-2.5-flash,behind-right,in-front,0,medium,22.17,5701,0.0,42,10
30,gemini-2.5-flash,behind-right,incorrect prompt,0,medium,15.83,4658,0.0,42,10
31,gemini-2.5-flash,behind-right,behind-right,1,medium,3.58,1845,0.0,42,10
32,gemini-2.5-flash,behind-right,behind,0,medium,4.38,2157,0.0,42,10
33,gemini-2.5-flash,behind-right,in-front,0,medium,8.43,2848,0.0,42,10
34,gemini-2.5-flash,behind-right,behind-right,1,medium,2.55,1544,0.0,42,10
35,gemini-2.5-flash,behind-right,behind,0,medium,4.97,2350,0.0,42,10
36,gemini-2.5-flash,behind-right,behind,0,medium,3.73,2018,0.0,42,10
37,gemini-2.5-flash,behind-right,in-front,0,medium,9.15,3100,0.0,42,10
38,gemini-2.5-flash,behind-right,in-front,0,medium,5.90,2245,0.0,42,10
39,gemini-2.5-flash,behind-right,in-front,0,medium,11.86,3554,0.0,42,10
40,gemini-2.5-flash,behind-right,behind-right,1,medium,5.67,1921,0.0,42,10
41,gemini-2.5-flash,behind-right,error,0,medium,59.63,0,0.0,42,10
42,gemini-2.5-flash,behind-right,behind-right,1,medium,3.26,1859,0.0,42,10
43,gemini-2.5-flash,behind-right,in-front,0,medium,9.63,3164,0.0,42,10
44,gemini-2.5-flash,behind-right,in-front,0,medium,16.38,4713,0.0,42,10
45,gemini-2.5-flash,behind-right,behind,0,medium,19.89,4623,0.0,42,10
46,gemini-2.5-flash,behind-right,right,0,medium,19.66,5403,0.0,42,10
47,gemini-2.5-flash,behind-right,in-front,0,medium,16.27,4689,0.0,42,10
48,gemini-2.5-flash,behind-right,in-front,0,medium,4.91,2284,0.0,42,10
49,gemini-2.5-flash,behind-right,in-front,0,medium,27.24,6382,0.0,42,10
50,gemini-2.5-flash,behind-right,in-front,0,medium,4.20,2170,0.0,42,10
51,gemini-2.5-flash,in-front-left,in-front,0,medium,13.57,3936,0.0,42,10
52,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,13.32,4091,0.0,42,10
53,gemini-2.5-flash,in-front-left,left,0,medium,5.12,2322,0.0,42,10
54,gemini-2.5-flash,in-front-left,in-front,0,medium,7.96,2844,0.0,42,10
55,gemini-2.5-flash,in-front-left,in-front,0,medium,17.95,5038,0.0,42,10
56,gemini-2.5-flash,in-front-left,in-front,0,medium,10.75,3558,0.0,42,10
57,gemini-2.5-flash,in-front-left,right,0,medium,20.89,5317,0.0,42,10
58,gemini-2.5-flash,in-front-left,in-front,0,medium,12.70,3823,0.0,42,10
59,gemini-2.5-flash,in-front-left,in-front-left,1,medium,2.97,1909,0.0,42,10
60,gemini-2.5-flash,in-front-left,behind,0,medium,5.20,2311,0.0,42,10
61,gemini-2.5-flash,in-front-left,behind-left,0,medium,2.48,1671,0.0,42,10
62,gemini-2.5-flash,in-front-left,in-front-left,1,medium,3.43,1920,0.0,42,10
63,gemini-2.5-flash,in-front-left,in-front,0,medium,3.88,2065,0.0,42,10
64,gemini-2.5-flash,in-front-left,in-front,0,medium,5.47,2307,0.0,42,10
65,gemini-2.5-flash,in-front-left,right,0,medium,3.92,2060,0.0,42,10
66,gemini-2.5-flash,in-front-left,in-front,0,medium,9.59,3314,0.0,42,10
67,gemini-2.5-flash,in-front-left,in-front,0,medium,5.24,2287,0.0,42,10
68,gemini-2.5-flash,in-front-left,in-front,0,medium,9.58,3084,0.0,42,10
69,gemini-2.5-flash,in-front-left,in-front,0,medium,5.31,2389,0.0,42,10
70,gemini-2.5-flash,in-front-left,in-front,0,medium,8.90,3094,0.0,42,10
71,gemini-2.5-flash,in-front-left,in-front-left,1,medium,5.36,1893,0.0,42,10
72,gemini-2.5-flash,in-front-left,in-front,0,medium,5.32,2404,0.0,42,10
73,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,28.06,6242,0.0,42,10
74,gemini-2.5-flash,in-front-left,in-front,0,medium,7.80,2874,0.0,42,10
75,gemini-2.5-flash,in-front-left,behind-right,0,medium,21.69,5283,0.0,42,10
76,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.19,2066,0.0,42,10
77,gemini-2.5-flash,in-front-left,in-front-right,0,medium,3.08,1752,0.0,42,10
78,gemini-2.5-flash,in-front-left,in-front,0,medium,5.01,2339,0.0,42,10
79,gemini-2.5-flash,in-front-left,in-front,0,medium,10.34,3257,0.0,42,10
80,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.56,2086,0.0,42,10
81,gemini-2.5-flash,in-front-left,in-front-left,1,medium,2.96,1712,0.0,42,10
82,gemini-2.5-flash,in-front-left,right,0,medium,6.76,2517,0.0,42,10
83,gemini-2.5-flash,in-front-left,in-front,0,medium,16.03,3925,0.0,42,10
84,gemini-2.5-flash,in-front-left,in-front,0,medium,8.13,2926,0.0,42,10
85,gemini-2.5-flash,in-front-left,left,0,medium,5.53,2415,0.0,42,10
86,gemini-2.5-flash,in-front-left,behind-left,0,medium,2.76,1754,0.0,42,10
87,gemini-2.5-flash,in-front-left,in-front,0,medium,12.76,3775,0.0,42,10
88,gemini-2.5-flash,in-front-left,in-front,0,medium,8.74,3188,0.0,42,10
89,gemini-2.5-flash,in-front-left,in-front,0,medium,10.67,3469,0.0,42,10
90,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,22.04,5874,0.0,42,10
91,gemini-2.5-flash,in-front-left,in-front,0,medium,15.67,4544,0.0,42,10
92,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.20,2094,0.0,42,10
93,gemini-2.5-flash,in-front-left,in-front,0,medium,5.28,2352,0.0,42,10
94,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.76,1939,0.0,42,10
