prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemini-2.5-flash,in-front-right,behind,0,medium,20.37,10
2,gemini-2.5-flash,in-front-right,in-front-right,1,medium,5.51,10
3,gemini-2.5-flash,in-front-right,right,0,medium,10.86,10
4,gemini-2.5-flash,in-front-right,in-front,0,medium,12.46,10
5,gemini-2.5-flash,in-front-right,right,0,medium,5.64,10
6,gemini-2.5-flash,in-front-right,in-front,0,medium,4.74,10
7,gemini-2.5-flash,in-front-right,in-front,0,medium,15.15,10
8,gemini-2.5-flash,in-front-right,behind,0,medium,2.55,10
9,gemini-2.5-flash,in-front-right,in-front,0,medium,9.53,10
10,gemini-2.5-flash,in-front-right,right,0,medium,10.17,10
11,gemini-2.5-flash,in-front-right,in-front,0,medium,6.70,10
12,gemini-2.5-flash,in-front-right,in-front,0,medium,11.23,10
13,gemini-2.5-flash,in-front-right,behind,0,medium,7.63,10
14,gemini-2.5-flash,in-front-right,left,0,medium,10.70,10
15,gemini-2.5-flash,in-front-right,in-front,0,medium,14.64,10
16,gemini-2.5-flash,in-front-right,in-front,0,medium,9.73,10
17,gemini-2.5-flash,in-front-right,in-front,0,medium,14.44,10
18,gemini-2.5-flash,in-front-right,in-front,0,medium,33.67,10
19,gemini-2.5-flash,in-front-right,in-front,0,medium,10.26,10
20,gemini-2.5-flash,in-front-right,right,0,medium,3.73,10
21,gemini-2.5-flash,right,in-front,0,medium,7.98,10
22,gemini-2.5-flash,right,in-front,0,medium,7.58,10
23,gemini-2.5-flash,right,right,1,medium,7.78,10
24,gemini-2.5-flash,right,in-front,0,medium,18.13,10
25,gemini-2.5-flash,right,in-front,0,medium,9.52,10
26,gemini-2.5-flash,right,in-front,0,medium,6.12,10
27,gemini-2.5-flash,right,in-front,0,medium,6.13,10
28,gemini-2.5-flash,right,incorrect prompt,0,medium,31.03,10
29,gemini-2.5-flash,right,right,1,medium,6.48,10
30,gemini-2.5-flash,right,in-front,0,medium,15.18,10
31,gemini-2.5-flash,right,incorrect prompt,0,medium,18.86,10
32,gemini-2.5-flash,right,right,1,medium,1.97,10
33,gemini-2.5-flash,right,in-front,0,medium,7.04,10
34,gemini-2.5-flash,right,incorrect prompt,0,medium,46.90,10
35,gemini-2.5-flash,right,right,1,medium,2.35,10
36,gemini-2.5-flash,right,in-front,0,medium,13.74,10
37,gemini-2.5-flash,right,in-front,0,medium,8.17,10
38,gemini-2.5-flash,right,in-front,0,medium,14.44,10
39,gemini-2.5-flash,right,in-front,0,medium,13.62,10
40,gemini-2.5-flash,right,in-front,0,medium,12.89,10
41,gemini-2.5-flash,left,in-front,0,medium,17.06,10
42,gemini-2.5-flash,left,in-front,0,medium,8.30,10
43,gemini-2.5-flash,left,in-front,0,medium,8.45,10
44,gemini-2.5-flash,left,in-front,0,medium,17.15,10
45,gemini-2.5-flash,left,left,1,medium,8.39,10
46,gemini-2.5-flash,left,left,1,medium,6.14,10
47,gemini-2.5-flash,left,left,1,medium,19.47,10
48,gemini-2.5-flash,left,in-front,0,medium,9.30,10
49,gemini-2.5-flash,left,in-front,0,medium,6.55,10
50,gemini-2.5-flash,left,in-front,0,medium,22.58,10
51,gemini-2.5-flash,left,in-front,0,medium,8.49,10
52,gemini-2.5-flash,left,in-front,0,medium,15.77,10
53,gemini-2.5-flash,left,in-front,0,medium,26.46,10
54,gemini-2.5-flash,left,left,1,medium,3.75,10
55,gemini-2.5-flash,left,in-front,0,medium,7.58,10
56,gemini-2.5-flash,left,in-front,0,medium,6.04,10
57,gemini-2.5-flash,left,left,1,medium,9.94,10
58,gemini-2.5-flash,left,left,1,medium,2.05,10
59,gemini-2.5-flash,left,in-front,0,medium,12.31,10
60,gemini-2.5-flash,left,in-front,0,medium,11.69,10
61,gemini-2.5-flash,in-front,behind,0,medium,4.38,10
62,gemini-2.5-flash,in-front,in-front,1,medium,12.10,10
63,gemini-2.5-flash,in-front,in-front,1,medium,7.80,10
64,gemini-2.5-flash,in-front,in-front,1,medium,8.51,10
65,gemini-2.5-flash,in-front,in-front,1,medium,4.55,10
66,gemini-2.5-flash,in-front,in-front,1,medium,7.29,10
67,gemini-2.5-flash,in-front,in-front,1,medium,8.83,10
68,gemini-2.5-flash,in-front,in-front,1,medium,16.20,10
69,gemini-2.5-flash,in-front,behind,0,medium,8.28,10
70,gemini-2.5-flash,in-front,in-front,1,medium,13.65,10
71,gemini-2.5-flash,in-front,in-front,1,medium,5.03,10
72,gemini-2.5-flash,in-front,in-front,1,medium,15.98,10
73,gemini-2.5-flash,in-front,in-front,1,medium,19.15,10
74,gemini-2.5-flash,in-front,in-front,1,medium,9.79,10
75,gemini-2.5-flash,in-front,in-front,1,medium,11.34,10
76,gemini-2.5-flash,in-front,right,0,medium,3.57,10
77,gemini-2.5-flash,in-front,in-front,1,medium,6.77,10
78,gemini-2.5-flash,in-front,in-front,1,medium,9.59,10
79,gemini-2.5-flash,in-front,in-front,1,medium,9.63,10
80,gemini-2.5-flash,in-front,in-front,1,medium,6.63,10
81,gemini-2.5-flash,in-front-left,in-front,0,medium,13.12,10
82,gemini-2.5-flash,in-front-left,in-front-left,1,medium,3.59,10
83,gemini-2.5-flash,in-front-left,in-front-right,0,medium,5.58,10
84,gemini-2.5-flash,in-front-left,in-front,0,medium,20.06,10
85,gemini-2.5-flash,in-front-left,in-front-left,1,medium,3.39,10
86,gemini-2.5-flash,in-front-left,left,0,medium,15.05,10
87,gemini-2.5-flash,in-front-left,in-front-left,1,medium,6.14,10
88,gemini-2.5-flash,in-front-left,in-front-left,1,medium,2.21,10
89,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,23.70,10
90,gemini-2.5-flash,in-front-left,in-front,0,medium,23.81,10
91,gemini-2.5-flash,in-front-left,left,0,medium,6.22,10
92,gemini-2.5-flash,in-front-left,in-front,0,medium,14.58,10
93,gemini-2.5-flash,in-front-left,in-front,0,medium,10.02,10
94,gemini-2.5-flash,in-front-left,in-front,0,medium,12.03,10
95,gemini-2.5-flash,in-front-left,in-front,0,medium,7.74,10
96,gemini-2.5-flash,in-front-left,right,0,medium,5.20,10
97,gemini-2.5-flash,in-front-left,in-front,0,medium,12.82,10
98,gemini-2.5-flash,in-front-left,in-front,0,medium,14.27,10
99,gemini-2.5-flash,in-front-left,in-front,0,medium,9.82,10
100,gemini-2.5-flash,in-front-left,in-front,0,medium,8.41,10
101,gemini-2.5-flash,behind,behind,1,medium,8.88,10
102,gemini-2.5-flash,behind,in-front,0,medium,9.32,10
103,gemini-2.5-flash,behind,behind,1,medium,5.66,10
104,gemini-2.5-flash,behind,in-front,0,medium,9.50,10
105,gemini-2.5-flash,behind,in-front,0,medium,10.32,10
106,gemini-2.5-flash,behind,behind,1,medium,12.64,10
107,gemini-2.5-flash,behind,behind,1,medium,3.62,10
108,gemini-2.5-flash,behind,behind,1,medium,7.00,10
109,gemini-2.5-flash,behind,in-front,0,medium,15.90,10
110,gemini-2.5-flash,behind,left,0,medium,2.01,10
111,gemini-2.5-flash,behind,in-front,0,medium,13.61,10
112,gemini-2.5-flash,behind,behind,1,medium,10.66,10
113,gemini-2.5-flash,behind,in-front,0,medium,7.73,10
114,gemini-2.5-flash,behind,in-front,0,medium,19.55,10
115,gemini-2.5-flash,behind,in-front,0,medium,7.02,10
116,gemini-2.5-flash,behind,in-front,0,medium,4.72,10
117,gemini-2.5-flash,behind,in-front,0,medium,19.42,10
118,gemini-2.5-flash,behind,behind,1,medium,12.83,10
119,gemini-2.5-flash,behind,in-front,0,medium,13.12,10
120,gemini-2.5-flash,behind,in-front,0,medium,8.68,10
121,gemini-2.5-flash,behind-left,in-front-left,0,medium,1.57,10
