prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,behind-left,behind,0,high,21.52,10
2,o4-mini,behind-left,behind,0,high,25.20,10
3,o4-mini,behind-left,behind,0,high,21.82,10
4,o4-mini,behind-left,behind,0,high,14.57,10
5,o4-mini,behind-left,behind,0,high,26.95,10
6,o4-mini,behind-left,left,0,high,28.91,10
7,o4-mini,behind-left,left,0,high,44.92,10
8,o4-mini,behind-left,behind,0,high,15.26,10
9,o4-mini,behind-left,behind,0,high,9.86,10
10,o4-mini,behind-left,behind,0,high,16.27,10
11,o4-mini,behind-left,behind,0,high,9.23,10
12,o4-mini,behind-left,behind,0,high,11.43,10
13,o4-mini,behind-left,behind,0,high,14.40,10
14,o4-mini,behind-left,behind,0,high,22.72,10
15,o4-mini,behind-left,behind,0,high,12.99,10
16,o4-mini,behind-left,behind,0,high,20.20,10
17,o4-mini,behind-left,behind,0,high,12.47,10
18,o4-mini,behind-left,behind,0,high,20.85,10
19,o4-mini,behind-left,behind,0,high,33.71,10
20,o4-mini,behind-left,behind,0,high,14.46,10
21,o4-mini,behind-left,behind,0,high,21.98,10
22,o4-mini,behind-left,behind,0,high,17.32,10
23,o4-mini,behind-left,behind,0,high,10.22,10
24,o4-mini,behind-left,behind,0,high,12.54,10
25,o4-mini,behind-left,behind,0,high,10.58,10
26,o4-mini,behind-left,behind,0,high,35.71,10
27,o4-mini,behind-left,behind,0,high,11.78,10
28,o4-mini,behind-left,behind,0,high,13.40,10
29,o4-mini,behind-left,behind,0,high,7.16,10
30,o4-mini,behind-left,behind,0,high,20.69,10
31,o4-mini,behind-left,behind,0,high,9.42,10
32,o4-mini,behind-left,behind,0,high,15.98,10
33,o4-mini,behind-left,behind,0,high,18.62,10
34,o4-mini,behind-left,behind,0,high,6.76,10
35,o4-mini,behind-left,incorrect prompt,0,high,27.34,10
36,o4-mini,behind-left,behind,0,high,9.04,10
37,o4-mini,behind-left,behind,0,high,15.53,10
38,o4-mini,behind-left,behind,0,high,12.09,10
39,o4-mini,behind-left,behind,0,high,31.94,10
40,o4-mini,behind-left,behind,0,high,16.48,10
41,o4-mini,behind-left,behind,0,high,26.96,10
42,o4-mini,behind-left,behind,0,high,18.73,10
43,o4-mini,behind-left,behind,0,high,11.55,10
44,o4-mini,behind-left,incorrect prompt,0,high,20.32,10
45,o4-mini,behind-left,behind,0,high,16.86,10
46,o4-mini,behind-left,behind,0,high,12.77,10
47,o4-mini,behind-left,behind,0,high,11.90,10
48,o4-mini,behind-left,behind,0,high,14.53,10
49,o4-mini,behind-left,behind,0,high,11.08,10
50,o4-mini,behind-left,behind,0,high,23.35,10
51,o4-mini,in-front-left,in-front-left,1,high,33.08,10
52,o4-mini,in-front-left,incorrect prompt,0,high,45.67,10
53,o4-mini,in-front-left,in-front-left,1,high,18.19,10
54,o4-mini,in-front-left,in-front-left,1,high,26.68,10
55,o4-mini,in-front-left,in-front-left,1,high,7.86,10
