prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gemini-2.5-flash,behind-right,behind-right,1,low,5.00,2197,0.0,42,10
2,gemini-2.5-flash,behind-right,behind-right,1,low,2.23,1535,0.0,42,10
3,gemini-2.5-flash,behind-right,behind-left,0,low,2.16,1640,0.0,42,10
4,gemini-2.5-flash,behind-right,behind-right,1,low,4.95,1860,0.0,42,10
5,gemini-2.5-flash,behind-right,behind-right,1,low,3.64,1492,0.0,42,10
6,gemini-2.5-flash,behind-right,behind-right,1,low,2.15,1486,0.0,42,10
7,gemini-2.5-flash,behind-right,behind-right,1,low,3.79,1535,0.0,42,10
8,gemini-2.5-flash,behind-right,behind-right,1,low,4.31,1614,0.0,42,10
9,gemini-2.5-flash,behind-right,behind-right,1,low,2.66,1614,0.0,42,10
10,gemini-2.5-flash,behind-right,behind-right,1,low,1.60,1506,0.0,42,10
11,gemini-2.5-flash,behind-right,behind-right,1,low,2.17,1576,0.0,42,10
12,gemini-2.5-flash,behind-right,behind-right,1,low,2.58,1587,0.0,42,10
13,gemini-2.5-flash,behind-right,behind-right,1,low,4.08,1511,0.0,42,10
14,gemini-2.5-flash,behind-right,behind-right,1,low,3.49,1713,0.0,42,10
15,gemini-2.5-flash,behind-right,in-front-right,0,low,2.89,1558,0.0,42,10
16,gemini-2.5-flash,behind-right,behind-right,1,low,3.00,1655,0.0,42,10
17,gemini-2.5-flash,behind-right,behind-left,0,low,3.03,1764,0.0,42,10
18,gemini-2.5-flash,behind-right,behind-right,1,low,4.20,1504,0.0,42,10
19,gemini-2.5-flash,behind-right,behind-right,1,low,2.18,1592,0.0,42,10
20,gemini-2.5-flash,behind-right,behind-right,1,low,2.11,1584,0.0,42,10
21,gemini-2.5-flash,behind-right,behind-right,1,low,1.73,1508,0.0,42,10
22,gemini-2.5-flash,behind-right,behind-left,0,low,1.81,1514,0.0,42,10
23,gemini-2.5-flash,behind-right,behind-right,1,low,1.92,1516,0.0,42,10
24,gemini-2.5-flash,behind-right,behind-right,1,low,2.22,1566,0.0,42,10
25,gemini-2.5-flash,behind-right,behind-right,1,low,2.34,1603,0.0,42,10
26,gemini-2.5-flash,behind-right,behind-right,1,low,2.91,1592,0.0,42,10
27,gemini-2.5-flash,behind-right,behind-left,0,low,1.98,1528,0.0,42,10
28,gemini-2.5-flash,behind-right,behind-right,1,low,2.58,1625,0.0,42,10
