prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,behind-right,behind,0,low,1.73,5
2,gpt-4.1-mini,behind-right,behind,0,low,1.94,5
3,gpt-4.1-mini,behind-right,right,0,low,2.67,5
4,gpt-4.1-mini,behind-right,behind,0,low,2.21,5
5,gpt-4.1-mini,behind-right,right,0,low,1.59,5
6,gpt-4.1-mini,behind-right,left,0,low,3.06,5
7,gpt-4.1-mini,behind-right,behind,0,low,2.57,5
8,gpt-4.1-mini,behind-right,right,0,low,1.36,5
9,gpt-4.1-mini,behind-right,behind,0,low,2.01,5
10,gpt-4.1-mini,behind-right,left,0,low,2.46,5
11,gpt-4.1-mini,behind-right,in-front,0,low,1.66,5
12,gpt-4.1-mini,behind-right,right,0,low,1.85,5
13,gpt-4.1-mini,behind-right,behind,0,low,2.81,5
14,gpt-4.1-mini,behind-right,behind,0,low,3.48,5
15,gpt-4.1-mini,behind-right,left,0,low,1.88,5
16,gpt-4.1-mini,behind-right,in-front,0,low,2.79,5
17,gpt-4.1-mini,behind-right,left,0,low,2.70,5
18,gpt-4.1-mini,behind-right,in-front,0,low,2.21,5
19,gpt-4.1-mini,behind-right,in-front,0,low,2.68,5
20,gpt-4.1-mini,behind-right,left,0,low,2.35,5
21,gpt-4.1-mini,behind-right,right,0,low,2.32,5
22,gpt-4.1-mini,behind-right,in-front,0,low,2.08,5
23,gpt-4.1-mini,behind-right,in-front,0,low,1.90,5
24,gpt-4.1-mini,behind-right,behind,0,low,2.09,5
25,gpt-4.1-mini,behind-right,in-front,0,low,2.56,5
26,gpt-4.1-mini,behind-right,in-front,0,low,2.16,5
27,gpt-4.1-mini,behind-right,in-front,0,low,2.32,5
28,gpt-4.1-mini,behind-right,in-front,0,low,2.72,5
29,gpt-4.1-mini,behind-right,right,0,low,1.95,5
30,gpt-4.1-mini,behind-right,left,0,low,2.05,5
31,gpt-4.1-mini,behind-right,in-front,0,low,2.66,5
32,gpt-4.1-mini,behind-right,in-front,0,low,2.12,5
33,gpt-4.1-mini,behind-right,in-front,0,low,1.68,5
34,gpt-4.1-mini,behind-right,in-front,0,low,2.45,5
35,gpt-4.1-mini,behind-right,in-front,0,low,1.81,5
36,gpt-4.1-mini,behind-right,in-front,0,low,2.50,5
37,gpt-4.1-mini,behind-right,left,0,low,2.45,5
38,gpt-4.1-mini,behind-right,left,0,low,2.12,5
39,gpt-4.1-mini,behind-right,left,0,low,1.43,5
40,gpt-4.1-mini,behind-right,behind,0,low,2.18,5
41,gpt-4.1-mini,behind-right,in-front,0,low,1.86,5
42,gpt-4.1-mini,behind-right,left,0,low,2.54,5
43,gpt-4.1-mini,behind-right,behind,0,low,1.26,5
44,gpt-4.1-mini,behind-right,right,0,low,2.28,5
45,gpt-4.1-mini,behind-right,left,0,low,1.40,5
