prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,behind-left,incorrect prompt,0,high,2.95,10
2,gpt-4.1,behind-left,incorrect prompt,0,high,2.78,10
3,gpt-4.1,behind-left,left,0,high,6.44,10
4,gpt-4.1,behind-left,right,0,high,5.15,10
5,gpt-4.1,behind-left,incorrect prompt,0,high,2.34,10
6,gpt-4.1,behind-left,right,0,high,6.31,10
7,gpt-4.1,behind-left,incorrect prompt,0,high,1.98,10
8,gpt-4.1,behind-left,right,0,high,7.93,10
9,gpt-4.1,behind-left,incorrect prompt,0,high,2.15,10
10,gpt-4.1,behind-left,incorrect prompt,0,high,1.38,10
11,gpt-4.1,behind-left,incorrect prompt,0,high,2.15,10
12,gpt-4.1,behind-left,right,0,high,5.06,10
13,gpt-4.1,behind-left,left,0,high,5.32,10
14,gpt-4.1,behind-left,incorrect prompt,0,high,3.12,10
15,gpt-4.1,behind-left,incorrect prompt,0,high,1.58,10
16,gpt-4.1,behind-left,right,0,high,5.44,10
17,gpt-4.1,behind-left,in-front,0,high,5.18,10
18,gpt-4.1,behind-left,left,0,high,11.10,10
19,gpt-4.1,behind-left,left,0,high,6.96,10
20,gpt-4.1,behind-left,incorrect prompt,0,high,3.54,10
21,gpt-4.1,behind-left,incorrect prompt,0,high,4.20,10
22,gpt-4.1,behind-left,right,0,high,6.10,10
23,gpt-4.1,behind-left,right,0,high,5.92,10
24,gpt-4.1,behind-left,left,0,high,4.98,10
25,gpt-4.1,behind-left,right,0,high,3.64,10
26,gpt-4.1,behind-left,left,0,high,5.21,10
27,gpt-4.1,behind-left,left,0,high,4.06,10
28,gpt-4.1,behind-left,right,0,high,6.60,10
29,gpt-4.1,behind-left,behind,0,high,3.74,10
30,gpt-4.1,behind-left,incorrect prompt,0,high,3.01,10
31,gpt-4.1,behind-left,incorrect prompt,0,high,2.50,10
32,gpt-4.1,behind-left,left,0,high,4.83,10
33,gpt-4.1,behind-left,incorrect prompt,0,high,3.51,10
34,gpt-4.1,behind-left,behind,0,high,4.31,10
35,gpt-4.1,behind-left,incorrect prompt,0,high,7.19,10
36,gpt-4.1,behind-left,right,0,high,3.68,10
37,gpt-4.1,behind-left,behind,0,high,5.43,10
38,gpt-4.1,behind-left,left,0,high,4.14,10
39,gpt-4.1,behind-left,incorrect prompt,0,high,3.08,10
40,gpt-4.1,behind-left,incorrect prompt,0,high,2.25,10
41,gpt-4.1,behind-left,incorrect prompt,0,high,2.47,10
42,gpt-4.1,behind-left,left,0,high,6.37,10
43,gpt-4.1,behind-left,incorrect prompt,0,high,2.81,10
44,gpt-4.1,behind-left,incorrect prompt,0,high,3.02,10
45,gpt-4.1,behind-left,left,0,high,9.68,10
46,gpt-4.1,behind-left,incorrect prompt,0,high,2.18,10
47,gpt-4.1,behind-left,right,0,high,5.86,10
48,gpt-4.1,behind-left,left,0,high,5.94,10
49,gpt-4.1,behind-left,incorrect prompt,0,high,1.50,10
50,gpt-4.1,behind-left,right,0,high,10.73,10
51,gpt-4.1,in-front-left,incorrect prompt,0,high,4.87,10
52,gpt-4.1,in-front-left,left,0,high,7.93,10
53,gpt-4.1,in-front-left,right,0,high,5.69,10
54,gpt-4.1,in-front-left,incorrect prompt,0,high,2.72,10
55,gpt-4.1,in-front-left,right,0,high,4.70,10
56,gpt-4.1,in-front-left,incorrect prompt,0,high,1.65,10
57,gpt-4.1,in-front-left,right,0,high,3.79,10
58,gpt-4.1,in-front-left,right,0,high,6.91,10
59,gpt-4.1,in-front-left,incorrect prompt,0,high,5.04,10
60,gpt-4.1,in-front-left,right,0,high,3.89,10
61,gpt-4.1,in-front-left,right,0,high,8.04,10
62,gpt-4.1,in-front-left,incorrect prompt,0,high,2.03,10
63,gpt-4.1,in-front-left,incorrect prompt,0,high,6.60,10
64,gpt-4.1,in-front-left,left,0,high,4.20,10
65,gpt-4.1,in-front-left,left,0,high,6.56,10
66,gpt-4.1,in-front-left,incorrect prompt,0,high,3.23,10
67,gpt-4.1,in-front-left,right,0,high,6.50,10
68,gpt-4.1,in-front-left,incorrect prompt,0,high,1.59,10
69,gpt-4.1,in-front-left,incorrect prompt,0,high,2.46,10
70,gpt-4.1,in-front-left,left,0,high,4.62,10
71,gpt-4.1,in-front-left,incorrect prompt,0,high,3.19,10
72,gpt-4.1,in-front-left,incorrect prompt,0,high,4.51,10
73,gpt-4.1,in-front-left,incorrect prompt,0,high,2.63,10
74,gpt-4.1,in-front-left,left,0,high,6.16,10
75,gpt-4.1,in-front-left,left,0,high,4.07,10
76,gpt-4.1,in-front-left,right,0,high,6.82,10
77,gpt-4.1,in-front-left,incorrect prompt,0,high,3.02,10
78,gpt-4.1,in-front-left,left,0,high,8.54,10
