prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,in-front-left,in-front-left,1,high,18.94,5
2,o4-mini,in-front-left,in-front-left,1,high,19.23,5
3,o4-mini,in-front-left,in-front-left,1,high,27.39,5
4,o4-mini,in-front-left,in-front-left,1,high,28.52,5
5,o4-mini,in-front-left,in-front-left,1,high,20.38,5
6,o4-mini,in-front-left,in-front-left,1,high,7.27,5
7,o4-mini,in-front-left,in-front-left,1,high,4.85,5
8,o4-mini,in-front-left,in-front-left,1,high,10.95,5
9,o4-mini,in-front-left,in-front-left,1,high,7.37,5
10,o4-mini,in-front-left,in-front-left,1,high,12.26,5
11,o4-mini,in-front-left,in-front-left,1,high,7.34,5
12,o4-mini,in-front-left,in-front-left,1,high,12.51,5
13,o4-mini,in-front-left,in-front-left,1,high,21.62,5
14,o4-mini,in-front-left,in-front-left,1,high,6.18,5
15,o4-mini,in-front-left,in-front-left,1,high,28.50,5
16,o4-mini,in-front-left,in-front-left,1,high,11.81,5
17,o4-mini,in-front-left,in-front-left,1,high,5.55,5
18,o4-mini,in-front-left,in-front-left,1,high,9.04,5
19,o4-mini,in-front-left,in-front-left,1,high,13.88,5
20,o4-mini,in-front-left,in-front-left,1,high,13.10,5
21,o4-mini,in-front-left,in-front-left,1,high,10.12,5
22,o4-mini,in-front-left,in-front-left,1,high,11.31,5
23,o4-mini,in-front-left,in-front-left,1,high,11.18,5
24,o4-mini,in-front-left,in-front-left,1,high,13.16,5
25,o4-mini,in-front-left,in-front-left,1,high,8.80,5
26,o4-mini,in-front-left,in-front-left,1,high,20.41,5
27,o4-mini,in-front-left,in-front-left,1,high,14.43,5
28,o4-mini,in-front-left,in-front-left,1,high,17.50,5
29,o4-mini,in-front-left,in-front-left,1,high,13.72,5
30,o4-mini,in-front-left,in-front-left,1,high,10.26,5
31,o4-mini,in-front-left,in-front-left,1,high,5.96,5
32,o4-mini,in-front-left,in-front-left,1,high,6.61,5
33,o4-mini,in-front-left,in-front-left,1,high,20.04,5
34,o4-mini,in-front-left,in-front-left,1,high,9.25,5
35,o4-mini,in-front-left,in-front-left,1,high,11.69,5
36,o4-mini,in-front-left,in-front-left,1,high,8.67,5
37,o4-mini,in-front-left,in-front-left,1,high,6.84,5
38,o4-mini,in-front-left,in-front-left,1,high,9.32,5
39,o4-mini,in-front-left,in-front-left,1,high,23.85,5
40,o4-mini,in-front-left,in-front-left,1,high,10.38,5
41,o4-mini,in-front-left,in-front-left,1,high,11.67,5
42,o4-mini,in-front-left,in-front-left,1,high,10.73,5
43,o4-mini,in-front-left,in-front-left,1,high,24.10,5
44,o4-mini,in-front-left,in-front-left,1,high,10.46,5
45,o4-mini,in-front-left,in-front-left,1,high,11.05,5
46,o4-mini,in-front-left,incorrect prompt,0,high,5.82,5
47,o4-mini,in-front-left,in-front-right,0,high,11.53,5
48,o4-mini,in-front-left,in-front-left,1,high,8.40,5
49,o4-mini,in-front-left,in-front-left,1,high,13.75,5
50,o4-mini,in-front-left,in-front-left,1,high,14.36,5
51,o4-mini,right,right,1,high,23.39,5
52,o4-mini,right,right,1,high,5.88,5
53,o4-mini,right,right,1,high,12.03,5
54,o4-mini,right,right,1,high,6.51,5
55,o4-mini,right,right,1,high,8.45,5
56,o4-mini,right,right,1,high,12.90,5
57,o4-mini,right,incorrect prompt,0,high,9.76,5
58,o4-mini,right,right,1,high,10.37,5
59,o4-mini,right,right,1,high,13.42,5
60,o4-mini,right,right,1,high,13.16,5
61,o4-mini,right,right,1,high,10.24,5
62,o4-mini,right,right,1,high,14.31,5
63,o4-mini,right,right,1,high,10.83,5
64,o4-mini,right,right,1,high,10.26,5
65,o4-mini,right,right,1,high,9.94,5
66,o4-mini,right,right,1,high,7.86,5
67,o4-mini,right,right,1,high,4.85,5
68,o4-mini,right,right,1,high,5.74,5
69,o4-mini,right,right,1,high,12.85,5
70,o4-mini,right,right,1,high,8.19,5
71,o4-mini,right,right,1,high,11.07,5
72,o4-mini,right,right,1,high,5.12,5
73,o4-mini,right,right,1,high,6.79,5
74,o4-mini,right,right,1,high,12.19,5
75,o4-mini,right,right,1,high,14.09,5
76,o4-mini,right,right,1,high,4.98,5
77,o4-mini,right,right,1,high,25.23,5
78,o4-mini,right,right,1,high,10.45,5
79,o4-mini,right,right,1,high,8.60,5
80,o4-mini,right,right,1,high,15.76,5
81,o4-mini,right,right,1,high,13.88,5
82,o4-mini,right,right,1,high,33.64,5
83,o4-mini,right,right,1,high,9.72,5
84,o4-mini,right,right,1,high,13.52,5
85,o4-mini,right,right,1,high,7.47,5
86,o4-mini,right,right,1,high,9.50,5
87,o4-mini,right,right,1,high,8.63,5
88,o4-mini,right,right,1,high,16.80,5
89,o4-mini,right,right,1,high,16.48,5
90,o4-mini,right,right,1,high,20.90,5
91,o4-mini,right,incorrect prompt,0,high,7.03,5
92,o4-mini,right,right,1,high,6.39,5
93,o4-mini,right,right,1,high,7.66,5
94,o4-mini,right,right,1,high,5.79,5
95,o4-mini,right,right,1,high,10.90,5
96,o4-mini,right,right,1,high,11.26,5
97,o4-mini,right,right,1,high,11.37,5
98,o4-mini,right,right,1,high,9.42,5
99,o4-mini,right,right,1,high,16.99,5
100,o4-mini,right,right,1,high,8.30,5
101,o4-mini,behind-left,behind,0,high,11.84,5
102,o4-mini,behind-left,behind,0,high,20.53,5
103,o4-mini,behind-left,behind,0,high,8.39,5
104,o4-mini,behind-left,behind,0,high,9.81,5
105,o4-mini,behind-left,behind,0,high,4.72,5
106,o4-mini,behind-left,behind,0,high,12.32,5
107,o4-mini,behind-left,behind,0,high,12.85,5
108,o4-mini,behind-left,behind,0,high,20.42,5
109,o4-mini,behind-left,behind,0,high,11.09,5
110,o4-mini,behind-left,behind,0,high,11.53,5
111,o4-mini,behind-left,behind,0,high,12.43,5
112,o4-mini,behind-left,behind,0,high,24.95,5
113,o4-mini,behind-left,behind,0,high,7.67,5
114,o4-mini,behind-left,incorrect prompt,0,high,16.08,5
115,o4-mini,behind-left,behind,0,high,6.66,5
116,o4-mini,behind-left,behind,0,high,15.87,5
117,o4-mini,behind-left,behind,0,high,15.57,5
118,o4-mini,behind-left,behind,0,high,9.63,5
119,o4-mini,behind-left,behind,0,high,9.83,5
120,o4-mini,behind-left,behind,0,high,19.65,5
121,o4-mini,behind-left,behind,0,high,16.75,5
122,o4-mini,behind-left,behind,0,high,19.22,5
123,o4-mini,behind-left,behind,0,high,9.91,5
124,o4-mini,behind-left,behind,0,high,14.11,5
125,o4-mini,behind-left,behind,0,high,6.57,5
126,o4-mini,behind-left,behind,0,high,20.57,5
127,o4-mini,behind-left,behind,0,high,7.99,5
128,o4-mini,behind-left,behind,0,high,21.34,5
129,o4-mini,behind-left,behind,0,high,21.06,5
130,o4-mini,behind-left,behind,0,high,11.36,5
131,o4-mini,behind-left,behind,0,high,7.68,5
132,o4-mini,behind-left,behind,0,high,14.43,5
133,o4-mini,behind-left,behind,0,high,16.80,5
134,o4-mini,behind-left,behind,0,high,12.75,5
135,o4-mini,behind-left,behind,0,high,12.85,5
136,o4-mini,behind-left,behind,0,high,11.88,5
137,o4-mini,behind-left,behind,0,high,6.65,5
138,o4-mini,behind-left,behind,0,high,6.68,5
139,o4-mini,behind-left,behind,0,high,25.36,5
140,o4-mini,behind-left,behind,0,high,20.18,5
141,o4-mini,behind-left,behind,0,high,12.53,5
142,o4-mini,behind-left,behind,0,high,13.89,5
143,o4-mini,behind-left,behind,0,high,10.44,5
144,o4-mini,behind-left,behind,0,high,7.58,5
145,o4-mini,behind-left,behind,0,high,16.67,5
146,o4-mini,behind-left,behind,0,high,16.09,5
147,o4-mini,behind-left,behind,0,high,10.55,5
148,o4-mini,behind-left,behind,0,high,22.43,5
149,o4-mini,behind-left,behind,0,high,7.98,5
150,o4-mini,behind-left,behind,0,high,7.27,5
151,o4-mini,behind-right,behind,0,high,9.69,5
152,o4-mini,behind-right,behind,0,high,5.65,5
153,o4-mini,behind-right,behind,0,high,8.94,5
154,o4-mini,behind-right,behind,0,high,11.62,5
155,o4-mini,behind-right,behind,0,high,6.31,5
156,o4-mini,behind-right,incorrect prompt,0,high,6.77,5
157,o4-mini,behind-right,behind,0,high,11.01,5
158,o4-mini,behind-right,behind,0,high,10.72,5
159,o4-mini,behind-right,behind,0,high,18.78,5
160,o4-mini,behind-right,behind,0,high,10.03,5
161,o4-mini,behind-right,behind,0,high,6.12,5
162,o4-mini,behind-right,behind,0,high,13.96,5
163,o4-mini,behind-right,behind,0,high,17.73,5
164,o4-mini,behind-right,behind,0,high,7.45,5
165,o4-mini,behind-right,behind,0,high,5.44,5
166,o4-mini,behind-right,behind,0,high,11.51,5
167,o4-mini,behind-right,behind,0,high,13.87,5
168,o4-mini,behind-right,behind,0,high,14.81,5
169,o4-mini,behind-right,behind,0,high,15.10,5
170,o4-mini,behind-right,behind,0,high,9.58,5
171,o4-mini,behind-right,behind,0,high,12.31,5
172,o4-mini,behind-right,behind,0,high,14.14,5
173,o4-mini,behind-right,behind,0,high,5.22,5
174,o4-mini,behind-right,behind,0,high,10.14,5
175,o4-mini,behind-right,behind,0,high,15.06,5
176,o4-mini,behind-right,behind,0,high,9.60,5
177,o4-mini,behind-right,behind,0,high,9.34,5
178,o4-mini,behind-right,behind,0,high,13.40,5
179,o4-mini,behind-right,behind,0,high,7.13,5
180,o4-mini,behind-right,behind,0,high,11.73,5
181,o4-mini,behind-right,behind,0,high,10.47,5
182,o4-mini,behind-right,behind,0,high,8.72,5
