prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemini-2.5-flash,behind-right,behind,0,medium,3.51,10
2,gemini-2.5-flash,behind-right,in-front,0,medium,6.38,10
3,gemini-2.5-flash,behind-right,in-front,0,medium,5.09,10
4,gemini-2.5-flash,behind-right,behind,0,medium,3.12,10
5,gemini-2.5-flash,behind-right,left,0,medium,32.91,10
6,gemini-2.5-flash,behind-right,in-front,0,medium,10.76,10
7,gemini-2.5-flash,behind-right,in-front,0,medium,9.66,10
8,gemini-2.5-flash,behind-right,left,0,medium,15.80,10
9,gemini-2.5-flash,behind-right,right,0,medium,3.69,10
10,gemini-2.5-flash,behind-right,in-front,0,medium,8.68,10
11,gemini-2.5-flash,behind-right,in-front,0,medium,5.31,10
12,gemini-2.5-flash,behind-right,in-front,0,medium,17.39,10
13,gemini-2.5-flash,behind-right,behind,0,medium,13.03,10
14,gemini-2.5-flash,behind-right,in-front,0,medium,13.34,10
15,gemini-2.5-flash,behind-right,in-front,0,medium,12.18,10
16,gemini-2.5-flash,behind-right,in-front,0,medium,4.70,10
17,gemini-2.5-flash,behind-right,behind,0,medium,4.07,10
18,gemini-2.5-flash,behind-right,behind,0,medium,2.65,10
19,gemini-2.5-flash,behind-right,in-front,0,medium,6.98,10
20,gemini-2.5-flash,behind-right,in-front,0,medium,11.11,10
21,gemini-2.5-flash,behind-right,in-front,0,medium,4.56,10
22,gemini-2.5-flash,behind-right,behind,0,medium,3.68,10
23,gemini-2.5-flash,behind-right,behind,0,medium,4.21,10
24,gemini-2.5-flash,behind-right,left,0,medium,7.55,10
25,gemini-2.5-flash,behind-right,in-front,0,medium,13.93,10
26,gemini-2.5-flash,behind-right,in-front,0,medium,12.56,10
27,gemini-2.5-flash,behind-right,incorrect prompt,0,medium,15.05,10
28,gemini-2.5-flash,behind-right,in-front-left,0,medium,17.44,10
29,gemini-2.5-flash,behind-right,in-front,0,medium,22.17,10
30,gemini-2.5-flash,behind-right,incorrect prompt,0,medium,15.83,10
31,gemini-2.5-flash,behind-right,behind,0,medium,3.58,10
32,gemini-2.5-flash,behind-right,behind,0,medium,4.38,10
33,gemini-2.5-flash,behind-right,in-front,0,medium,8.43,10
34,gemini-2.5-flash,behind-right,behind,0,medium,2.55,10
35,gemini-2.5-flash,behind-right,behind,0,medium,4.97,10
36,gemini-2.5-flash,behind-right,behind,0,medium,3.73,10
37,gemini-2.5-flash,behind-right,in-front,0,medium,9.15,10
38,gemini-2.5-flash,behind-right,in-front,0,medium,5.90,10
39,gemini-2.5-flash,behind-right,in-front,0,medium,11.86,10
40,gemini-2.5-flash,behind-right,behind,0,medium,5.67,10
41,gemini-2.5-flash,behind-right,error,0,medium,59.63,10
42,gemini-2.5-flash,behind-right,behind,0,medium,3.26,10
43,gemini-2.5-flash,behind-right,in-front,0,medium,9.63,10
44,gemini-2.5-flash,behind-right,in-front,0,medium,16.38,10
45,gemini-2.5-flash,behind-right,behind,0,medium,19.89,10
46,gemini-2.5-flash,behind-right,right,0,medium,19.66,10
47,gemini-2.5-flash,behind-right,in-front,0,medium,16.27,10
48,gemini-2.5-flash,behind-right,in-front,0,medium,4.91,10
49,gemini-2.5-flash,behind-right,in-front,0,medium,27.24,10
50,gemini-2.5-flash,behind-right,in-front,0,medium,4.20,10
51,gemini-2.5-flash,in-front-left,in-front,0,medium,13.57,10
52,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,13.32,10
53,gemini-2.5-flash,in-front-left,left,0,medium,5.12,10
54,gemini-2.5-flash,in-front-left,in-front,0,medium,7.96,10
55,gemini-2.5-flash,in-front-left,in-front,0,medium,17.95,10
56,gemini-2.5-flash,in-front-left,in-front,0,medium,10.75,10
57,gemini-2.5-flash,in-front-left,right,0,medium,20.89,10
58,gemini-2.5-flash,in-front-left,in-front,0,medium,12.70,10
59,gemini-2.5-flash,in-front-left,in-front-left,1,medium,2.97,10
60,gemini-2.5-flash,in-front-left,behind,0,medium,5.20,10
61,gemini-2.5-flash,in-front-left,behind,0,medium,2.48,10
62,gemini-2.5-flash,in-front-left,in-front-left,1,medium,3.43,10
63,gemini-2.5-flash,in-front-left,in-front,0,medium,3.88,10
64,gemini-2.5-flash,in-front-left,in-front,0,medium,5.47,10
65,gemini-2.5-flash,in-front-left,right,0,medium,3.92,10
66,gemini-2.5-flash,in-front-left,in-front,0,medium,9.59,10
67,gemini-2.5-flash,in-front-left,in-front,0,medium,5.24,10
68,gemini-2.5-flash,in-front-left,in-front,0,medium,9.58,10
69,gemini-2.5-flash,in-front-left,in-front,0,medium,5.31,10
70,gemini-2.5-flash,in-front-left,in-front,0,medium,8.90,10
71,gemini-2.5-flash,in-front-left,in-front-left,1,medium,5.36,10
72,gemini-2.5-flash,in-front-left,in-front,0,medium,5.32,10
73,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,28.06,10
74,gemini-2.5-flash,in-front-left,in-front,0,medium,7.80,10
75,gemini-2.5-flash,in-front-left,behind,0,medium,21.69,10
76,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.19,10
77,gemini-2.5-flash,in-front-left,in-front-right,0,medium,3.08,10
78,gemini-2.5-flash,in-front-left,in-front,0,medium,5.01,10
79,gemini-2.5-flash,in-front-left,in-front,0,medium,10.34,10
80,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.56,10
81,gemini-2.5-flash,in-front-left,in-front-left,1,medium,2.96,10
82,gemini-2.5-flash,in-front-left,right,0,medium,6.76,10
83,gemini-2.5-flash,in-front-left,in-front,0,medium,16.03,10
84,gemini-2.5-flash,in-front-left,in-front,0,medium,8.13,10
85,gemini-2.5-flash,in-front-left,left,0,medium,5.53,10
86,gemini-2.5-flash,in-front-left,behind,0,medium,2.76,10
87,gemini-2.5-flash,in-front-left,in-front,0,medium,12.76,10
88,gemini-2.5-flash,in-front-left,in-front,0,medium,8.74,10
89,gemini-2.5-flash,in-front-left,in-front,0,medium,10.67,10
90,gemini-2.5-flash,in-front-left,incorrect prompt,0,medium,22.04,10
91,gemini-2.5-flash,in-front-left,in-front,0,medium,15.67,10
92,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.20,10
93,gemini-2.5-flash,in-front-left,in-front,0,medium,5.28,10
94,gemini-2.5-flash,in-front-left,in-front-left,1,medium,4.76,10
95,gemini-2.5-flash,in-front-left,right,0,medium,19.97,10
96,gemini-2.5-flash,in-front-left,in-front,0,medium,13.11,10
97,gemini-2.5-flash,in-front-left,in-front,0,medium,7.38,10
98,gemini-2.5-flash,in-front-left,behind,0,medium,3.18,10
99,gemini-2.5-flash,in-front-left,in-front,0,medium,9.32,10
100,gemini-2.5-flash,in-front-left,right,0,medium,23.01,10
101,gemini-2.5-flash,in-front-right,in-front-right,1,medium,3.74,10
102,gemini-2.5-flash,in-front-right,in-front,0,medium,17.03,10
103,gemini-2.5-flash,in-front-right,in-front,0,medium,8.88,10
104,gemini-2.5-flash,in-front-right,left,0,medium,3.52,10
105,gemini-2.5-flash,in-front-right,in-front,0,medium,10.68,10
106,gemini-2.5-flash,in-front-right,in-front,0,medium,13.86,10
107,gemini-2.5-flash,in-front-right,in-front-right,1,medium,2.17,10
108,gemini-2.5-flash,in-front-right,in-front,0,medium,7.38,10
109,gemini-2.5-flash,in-front-right,in-front,0,medium,15.58,10
110,gemini-2.5-flash,in-front-right,in-front,0,medium,8.19,10
111,gemini-2.5-flash,in-front-right,incorrect prompt,0,medium,40.99,10
112,gemini-2.5-flash,in-front-right,in-front,0,medium,7.12,10
113,gemini-2.5-flash,in-front-right,behind,0,medium,2.69,10
114,gemini-2.5-flash,in-front-right,behind,0,medium,3.89,10
115,gemini-2.5-flash,in-front-right,in-front,0,medium,4.61,10
116,gemini-2.5-flash,in-front-right,in-front,0,medium,13.99,10
117,gemini-2.5-flash,in-front-right,left,0,medium,5.02,10
118,gemini-2.5-flash,in-front-right,in-front,0,medium,16.01,10
119,gemini-2.5-flash,in-front-right,in-front,0,medium,4.92,10
120,gemini-2.5-flash,in-front-right,behind,0,medium,15.44,10
121,gemini-2.5-flash,in-front-right,in-front,0,medium,4.12,10
122,gemini-2.5-flash,in-front-right,left,0,medium,17.08,10
123,gemini-2.5-flash,in-front-right,left,0,medium,7.38,10
124,gemini-2.5-flash,in-front-right,in-front-right,1,medium,4.20,10
125,gemini-2.5-flash,in-front-right,in-front,0,medium,8.77,10
126,gemini-2.5-flash,in-front-right,right,0,medium,4.33,10
127,gemini-2.5-flash,in-front-right,in-front,0,medium,6.75,10
128,gemini-2.5-flash,in-front-right,in-front,0,medium,14.27,10
129,gemini-2.5-flash,in-front-right,right,0,medium,6.46,10
130,gemini-2.5-flash,in-front-right,in-front-right,1,medium,4.62,10
131,gemini-2.5-flash,in-front-right,incorrect prompt,0,medium,28.51,10
132,gemini-2.5-flash,in-front-right,in-front-right,1,medium,1.90,10
133,gemini-2.5-flash,in-front-right,in-front,0,medium,9.10,10
134,gemini-2.5-flash,in-front-right,behind,0,medium,1.96,10
135,gemini-2.5-flash,in-front-right,in-front,0,medium,3.72,10
136,gemini-2.5-flash,in-front-right,in-front,0,medium,7.67,10
137,gemini-2.5-flash,in-front-right,left,0,medium,6.24,10
138,gemini-2.5-flash,in-front-right,in-front,0,medium,8.77,10
139,gemini-2.5-flash,in-front-right,in-front,0,medium,4.50,10
140,gemini-2.5-flash,in-front-right,behind,0,medium,16.59,10
141,gemini-2.5-flash,in-front-right,in-front,0,medium,15.59,10
142,gemini-2.5-flash,in-front-right,in-front,0,medium,7.97,10
143,gemini-2.5-flash,in-front-right,in-front,0,medium,7.75,10
144,gemini-2.5-flash,in-front-right,right,0,medium,13.23,10
145,gemini-2.5-flash,in-front-right,in-front,0,medium,4.45,10
146,gemini-2.5-flash,in-front-right,right,0,medium,8.42,10
147,gemini-2.5-flash,in-front-right,in-front,0,medium,9.27,10
148,gemini-2.5-flash,in-front-right,in-front,0,medium,4.79,10
149,gemini-2.5-flash,in-front-right,in-front-right,1,medium,5.21,10
150,gemini-2.5-flash,in-front-right,in-front-right,1,medium,3.11,10
151,gemini-2.5-flash,behind-left,in-front,0,medium,5.14,10
152,gemini-2.5-flash,behind-left,in-front,0,medium,4.93,10
153,gemini-2.5-flash,behind-left,in-front,0,medium,7.70,10
154,gemini-2.5-flash,behind-left,left,0,medium,11.12,10
155,gemini-2.5-flash,behind-left,left,0,medium,10.26,10
156,gemini-2.5-flash,behind-left,left,0,medium,5.90,10
157,gemini-2.5-flash,behind-left,in-front,0,medium,9.57,10
158,gemini-2.5-flash,behind-left,left,0,medium,8.55,10
159,gemini-2.5-flash,behind-left,in-front,0,medium,8.85,10
160,gemini-2.5-flash,behind-left,incorrect prompt,0,medium,31.89,10
161,gemini-2.5-flash,behind-left,in-front-right,0,medium,23.65,10
162,gemini-2.5-flash,behind-left,behind,0,medium,3.18,10
163,gemini-2.5-flash,behind-left,in-front,0,medium,14.52,10
164,gemini-2.5-flash,behind-left,behind,0,medium,1.87,10
