prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gemini-2.5-flash,behind-left,left,0,high,15.05,4460,0.0,42,10
2,gemini-2.5-flash,behind-left,left,0,high,19.87,5682,0.0,42,10
3,gemini-2.5-flash,behind-left,right,0,high,23.81,6452,0.0,42,10
4,gemini-2.5-flash,behind-left,right,0,high,11.82,4046,0.0,42,10
5,gemini-2.5-flash,behind-left,right,0,high,20.38,6330,0.0,42,10
6,gemini-2.5-flash,behind-left,incorrect prompt,0,high,6.31,2585,0.0,42,10
7,gemini-2.5-flash,behind-left,left,0,high,15.06,4796,0.0,42,10
8,gemini-2.5-flash,behind-left,right,0,high,13.77,4384,0.0,42,10
9,gemini-2.5-flash,behind-left,incorrect prompt,0,high,3.36,1879,0.0,42,10
10,gemini-2.5-flash,behind-left,left,0,high,7.83,2791,0.0,42,10
11,gemini-2.5-flash,behind-left,right,0,high,11.57,3672,0.0,42,10
12,gemini-2.5-flash,behind-left,right,0,high,6.72,2746,0.0,42,10
13,gemini-2.5-flash,behind-left,left,0,high,10.61,3611,0.0,42,10
14,gemini-2.5-flash,behind-left,right,0,high,16.06,5277,0.0,42,10
15,gemini-2.5-flash,behind-left,left,0,high,9.11,3271,0.0,42,10
16,gemini-2.5-flash,behind-left,right,0,high,11.15,3757,0.0,42,10
17,gemini-2.5-flash,behind-left,left,0,high,5.64,2384,0.0,42,10
18,gemini-2.5-flash,behind-left,left,0,high,15.72,4977,0.0,42,10
19,gemini-2.5-flash,behind-left,left,0,high,9.57,3622,0.0,42,10
20,gemini-2.5-flash,behind-left,right,0,high,15.71,5031,0.0,42,10
21,gemini-2.5-flash,behind-left,incorrect prompt,0,high,14.30,4015,0.0,42,10
22,gemini-2.5-flash,behind-left,right,0,high,10.94,3817,0.0,42,10
23,gemini-2.5-flash,behind-left,right,0,high,10.39,3247,0.0,42,10
24,gemini-2.5-flash,behind-left,left,0,high,15.24,4673,0.0,42,10
25,gemini-2.5-flash,behind-left,right,0,high,6.24,2478,0.0,42,10
26,gemini-2.5-flash,behind-left,left,0,high,24.70,7144,0.0,42,10
27,gemini-2.5-flash,behind-left,left,0,high,8.71,3084,0.0,42,10
28,gemini-2.5-flash,behind-left,right,0,high,24.16,6498,0.0,42,10
29,gemini-2.5-flash,behind-left,behind,0,high,14.48,3364,0.0,42,10
30,gemini-2.5-flash,behind-left,incorrect prompt,0,high,18.39,5688,0.0,42,10
31,gemini-2.5-flash,behind-left,right,0,high,9.77,3305,0.0,42,10
32,gemini-2.5-flash,behind-left,left,0,high,6.55,2697,0.0,42,10
33,gemini-2.5-flash,behind-left,right,0,high,21.20,6092,0.0,42,10
34,gemini-2.5-flash,behind-left,behind,0,high,5.73,2550,0.0,42,10
35,gemini-2.5-flash,behind-left,incorrect prompt,0,high,11.29,3234,0.0,42,10
36,gemini-2.5-flash,behind-left,right,0,high,13.59,2923,0.0,42,10
37,gemini-2.5-flash,behind-left,behind,0,high,14.74,4022,0.0,42,10
38,gemini-2.5-flash,behind-left,left,0,high,10.24,3488,0.0,42,10
39,gemini-2.5-flash,behind-left,error,0,high,59.60,0,0.0,42,10
40,gemini-2.5-flash,behind-left,left,0,high,15.91,5008,0.0,42,10
