prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,deepSeek-v3,behind-right,behind-left,0,low,5.95,1436,0.0,42,10
2,deepSeek-v3,behind-right,behind-right,1,low,6.09,1391,0.0,42,10
3,deepSeek-v3,behind-right,in-front-right,0,low,9.89,1555,0.0,42,10
4,deepSeek-v3,behind-right,behind-right,1,low,6.18,1415,0.0,42,10
5,deepSeek-v3,behind-right,behind-right,1,low,3.62,1395,0.0,42,10
6,deepSeek-v3,behind-right,behind-right,1,low,4.82,1391,0.0,42,10
7,deepSeek-v3,behind-right,behind-right,1,low,4.54,1423,0.0,42,10
8,deepSeek-v3,behind-right,behind-right,1,low,5.92,1397,0.0,42,10
9,deepSeek-v3,behind-right,behind-left,0,low,6.14,1431,0.0,42,10
10,deepSeek-v3,behind-right,in-front-right,0,low,3.89,1391,0.0,42,10
11,deepSeek-v3,behind-right,behind-right,1,low,11.57,1417,0.0,42,10
12,deepSeek-v3,behind-right,behind-right,1,low,3.89,1431,0.0,42,10
13,deepSeek-v3,behind-right,behind-right,1,low,4.92,1440,0.0,42,10
14,deepSeek-v3,behind-right,behind-left,0,low,5.43,1375,0.0,42,10
15,deepSeek-v3,behind-right,behind-right,1,low,6.04,1424,0.0,42,10
16,deepSeek-v3,behind-right,behind-right,1,low,8.34,1446,0.0,42,10
17,deepSeek-v3,behind-right,behind-right,1,low,6.62,1449,0.0,42,10
18,deepSeek-v3,behind-right,behind-right,1,low,4.22,1439,0.0,42,10
19,deepSeek-v3,behind-right,behind-right,1,low,5.91,1435,0.0,42,10
20,deepSeek-v3,behind-right,behind-right,1,low,5.09,1452,0.0,42,10
21,deepSeek-v3,behind-right,behind-right,1,low,5.15,1422,0.0,42,10
22,deepSeek-v3,behind-right,behind-left,0,low,5.12,1407,0.0,42,10
23,deepSeek-v3,behind-right,behind-right,1,low,3.48,1387,0.0,42,10
24,deepSeek-v3,behind-right,behind-left,0,low,4.20,1368,0.0,42,10
25,deepSeek-v3,behind-right,behind-right,1,low,10.04,1410,0.0,42,10
26,deepSeek-v3,behind-right,behind-left,0,low,3.79,1442,0.0,42,10
27,deepSeek-v3,behind-right,in-front-right,0,low,7.37,1393,0.0,42,10
28,deepSeek-v3,behind-right,behind-right,1,low,4.72,1420,0.0,42,10
29,deepSeek-v3,behind-right,behind-right,1,low,8.40,1410,0.0,42,10
30,deepSeek-v3,behind-right,behind-right,1,low,3.58,1421,0.0,42,10
31,deepSeek-v3,behind-right,behind-right,1,low,3.99,1438,0.0,42,10
32,deepSeek-v3,behind-right,behind-left,0,low,5.00,1445,0.0,42,10
33,deepSeek-v3,behind-right,behind-left,0,low,3.71,1411,0.0,42,10
34,deepSeek-v3,behind-right,behind-right,1,low,4.09,1411,0.0,42,10
35,deepSeek-v3,behind-right,behind-right,1,low,3.89,1386,0.0,42,10
36,deepSeek-v3,behind-right,behind-right,1,low,4.64,1440,0.0,42,10
37,deepSeek-v3,behind-right,behind-left,0,low,4.27,1439,0.0,42,10
38,deepSeek-v3,behind-right,behind-left,0,low,4.67,1438,0.0,42,10
39,deepSeek-v3,behind-right,behind-right,1,low,4.44,1412,0.0,42,10
40,deepSeek-v3,behind-right,behind-right,1,low,6.04,1407,0.0,42,10
41,deepSeek-v3,behind-right,behind-right,1,low,4.71,1462,0.0,42,10
42,deepSeek-v3,behind-right,behind-right,1,low,6.12,1432,0.0,42,10
43,deepSeek-v3,behind-right,behind-right,1,low,6.99,1466,0.0,42,10
44,deepSeek-v3,behind-right,behind-left,0,low,4.41,1442,0.0,42,10
45,deepSeek-v3,behind-right,behind-right,1,low,3.99,1401,0.0,42,10
46,deepSeek-v3,behind-right,behind-left,0,low,5.53,1424,0.0,42,10
47,deepSeek-v3,behind-right,behind-right,1,low,3.38,1437,0.0,42,10
48,deepSeek-v3,behind-right,behind-right,1,low,5.12,1418,0.0,42,10
49,deepSeek-v3,behind-right,behind-right,1,low,5.84,1424,0.0,42,10
50,deepSeek-v3,behind-right,behind-left,0,low,4.30,1426,0.0,42,10
51,deepSeek-v3,in-front-right,behind-left,0,low,6.45,1424,0.0,42,10
52,deepSeek-v3,in-front-right,in-front-right,1,low,4.40,1411,0.0,42,10
53,deepSeek-v3,in-front-right,behind-left,0,low,11.98,1407,0.0,42,10
54,deepSeek-v3,in-front-right,in-front-right,1,low,3.28,1391,0.0,42,10
55,deepSeek-v3,in-front-right,in-front-right,1,low,6.90,1430,0.0,42,10
56,deepSeek-v3,in-front-right,behind-left,0,low,6.92,1406,0.0,42,10
57,deepSeek-v3,in-front-right,in-front-right,1,low,6.97,1416,0.0,42,10
58,deepSeek-v3,in-front-right,in-front-left,0,low,6.53,1456,0.0,42,10
59,deepSeek-v3,in-front-right,in-front-right,1,low,4.59,1480,0.0,42,10
60,deepSeek-v3,in-front-right,in-front-right,1,low,4.84,1408,0.0,42,10
61,deepSeek-v3,in-front-right,in-front-right,1,low,3.89,1388,0.0,42,10
62,deepSeek-v3,in-front-right,in-front-left,0,low,5.42,1458,0.0,42,10
63,deepSeek-v3,in-front-right,behind-right,0,low,4.31,1478,0.0,42,10
64,deepSeek-v3,in-front-right,in-front-right,1,low,5.22,1410,0.0,42,10
65,deepSeek-v3,in-front-right,in-front-right,1,low,6.24,1442,0.0,42,10
66,deepSeek-v3,in-front-right,right,0,low,6.71,1462,0.0,42,10
67,deepSeek-v3,in-front-right,in-front-right,1,low,4.37,1431,0.0,42,10
68,deepSeek-v3,in-front-right,in-front-right,1,low,6.53,1410,0.0,42,10
69,deepSeek-v3,in-front-right,in-front-left,0,low,4.92,1430,0.0,42,10
70,deepSeek-v3,in-front-right,in-front-right,1,low,5.08,1443,0.0,42,10
71,deepSeek-v3,in-front-right,in-front-right,1,low,4.44,1434,0.0,42,10
72,deepSeek-v3,in-front-right,in-front-right,1,low,6.45,1433,0.0,42,10
73,deepSeek-v3,in-front-right,in-front-right,1,low,5.02,1421,0.0,42,10
74,deepSeek-v3,in-front-right,in-front-right,1,low,7.76,1444,0.0,42,10
75,deepSeek-v3,in-front-right,in-front-right,1,low,4.73,1422,0.0,42,10
76,deepSeek-v3,in-front-right,behind-right,0,low,3.28,1403,0.0,42,10
77,deepSeek-v3,in-front-right,in-front-right,1,low,2.97,1392,0.0,42,10
78,deepSeek-v3,in-front-right,in-front-right,1,low,7.18,1442,0.0,42,10
79,deepSeek-v3,in-front-right,in-front-right,1,low,4.80,1403,0.0,42,10
80,deepSeek-v3,in-front-right,in-front-right,1,low,5.65,1399,0.0,42,10
81,deepSeek-v3,in-front-right,in-front-right,1,low,4.09,1408,0.0,42,10
82,deepSeek-v3,in-front-right,in-front-right,1,low,4.73,1401,0.0,42,10
83,deepSeek-v3,in-front-right,in-front-right,1,low,4.87,1389,0.0,42,10
84,deepSeek-v3,in-front-right,in-front-right,1,low,5.44,1433,0.0,42,10
85,deepSeek-v3,in-front-right,in-front-right,1,low,4.30,1414,0.0,42,10
86,deepSeek-v3,in-front-right,in-front-right,1,low,5.59,1403,0.0,42,10
87,deepSeek-v3,in-front-right,in-front-right,1,low,5.06,1432,0.0,42,10
88,deepSeek-v3,in-front-right,behind-right,0,low,4.61,1389,0.0,42,10
89,deepSeek-v3,in-front-right,in-front-right,1,low,4.87,1409,0.0,42,10
90,deepSeek-v3,in-front-right,in-front-right,1,low,5.78,1437,0.0,42,10
91,deepSeek-v3,in-front-right,in-front-right,1,low,4.31,1420,0.0,42,10
92,deepSeek-v3,in-front-right,behind-right,0,low,7.27,1423,0.0,42,10
93,deepSeek-v3,in-front-right,in-front-right,1,low,4.30,1412,0.0,42,10
94,deepSeek-v3,in-front-right,in-front-right,1,low,6.56,1461,0.0,42,10
95,deepSeek-v3,in-front-right,in-front-right,1,low,4.20,1412,0.0,42,10
96,deepSeek-v3,in-front-right,behind-right,0,low,4.42,1393,0.0,42,10
97,deepSeek-v3,in-front-right,in-front-left,0,low,4.59,1424,0.0,42,10
98,deepSeek-v3,in-front-right,in-front-right,1,low,4.40,1395,0.0,42,10
99,deepSeek-v3,in-front-right,behind-right,0,low,11.06,1407,0.0,42,10
100,deepSeek-v3,in-front-right,in-front-right,1,low,6.35,1407,0.0,42,10
101,deepSeek-v3,in-front-left,in-front-left,1,low,4.61,1398,0.0,42,10
102,deepSeek-v3,in-front-left,in-front-left,1,low,4.28,1418,0.0,42,10
103,deepSeek-v3,in-front-left,in-front-left,1,low,4.01,1395,0.0,42,10
104,deepSeek-v3,in-front-left,in-front-left,1,low,5.43,1417,0.0,42,10
105,deepSeek-v3,in-front-left,in-front-left,1,low,11.47,1646,0.0,42,10
106,deepSeek-v3,in-front-left,in-front-left,1,low,3.69,1416,0.0,42,10
107,deepSeek-v3,in-front-left,in-front-right,0,low,6.55,1462,0.0,42,10
108,deepSeek-v3,in-front-left,in-front-right,0,low,5.71,1426,0.0,42,10
109,deepSeek-v3,in-front-left,behind-right,0,low,4.50,1464,0.0,42,10
110,deepSeek-v3,in-front-left,in-front-right,0,low,4.75,1409,0.0,42,10
111,deepSeek-v3,in-front-left,in-front-right,0,low,5.31,1408,0.0,42,10
112,deepSeek-v3,in-front-left,in-front-left,1,low,6.58,1451,0.0,42,10
113,deepSeek-v3,in-front-left,in-front-left,1,low,5.21,1447,0.0,42,10
114,deepSeek-v3,in-front-left,in-front-left,1,low,4.08,1392,0.0,42,10
115,deepSeek-v3,in-front-left,in-front-left,1,low,3.69,1377,0.0,42,10
116,deepSeek-v3,in-front-left,in-front-right,0,low,4.81,1418,0.0,42,10
117,deepSeek-v3,in-front-left,in-front-left,1,low,4.02,1417,0.0,42,10
118,deepSeek-v3,in-front-left,in-front-left,1,low,3.77,1426,0.0,42,10
119,deepSeek-v3,in-front-left,in-front-left,1,low,4.15,1377,0.0,42,10
120,deepSeek-v3,in-front-left,in-front-left,1,low,4.24,1440,0.0,42,10
121,deepSeek-v3,in-front-left,in-front-left,1,low,4.87,1437,0.0,42,10
122,deepSeek-v3,in-front-left,in-front-left,1,low,4.38,1438,0.0,42,10
123,deepSeek-v3,in-front-left,in-front-right,0,low,5.79,1410,0.0,42,10
124,deepSeek-v3,in-front-left,in-front-left,1,low,4.01,1401,0.0,42,10
125,deepSeek-v3,in-front-left,behind-left,0,low,5.51,1455,0.0,42,10
126,deepSeek-v3,in-front-left,in-front-left,1,low,3.17,1396,0.0,42,10
127,deepSeek-v3,in-front-left,in-front-left,1,low,4.40,1417,0.0,42,10
128,deepSeek-v3,in-front-left,in-front-left,1,low,5.64,1412,0.0,42,10
129,deepSeek-v3,in-front-left,in-front-left,1,low,4.50,1427,0.0,42,10
130,deepSeek-v3,in-front-left,in-front-left,1,low,3.72,1431,0.0,42,10
131,deepSeek-v3,in-front-left,in-front-left,1,low,4.62,1430,0.0,42,10
132,deepSeek-v3,in-front-left,in-front-right,0,low,3.64,1416,0.0,42,10
133,deepSeek-v3,in-front-left,in-front-left,1,low,2.97,1398,0.0,42,10
134,deepSeek-v3,in-front-left,in-front-left,1,low,3.85,1406,0.0,42,10
135,deepSeek-v3,in-front-left,behind-left,0,low,2.55,1364,0.0,42,10
136,deepSeek-v3,in-front-left,in-front-left,1,low,4.97,1394,0.0,42,10
137,deepSeek-v3,in-front-left,in-front-left,1,low,5.53,1465,0.0,42,10
138,deepSeek-v3,in-front-left,in-front-left,1,low,6.29,1446,0.0,42,10
139,deepSeek-v3,in-front-left,in-front-right,0,low,5.92,1476,0.0,42,10
140,deepSeek-v3,in-front-left,in-front-right,0,low,3.28,1395,0.0,42,10
141,deepSeek-v3,in-front-left,in-front-left,1,low,3.98,1402,0.0,42,10
142,deepSeek-v3,in-front-left,in-front-left,1,low,3.38,1417,0.0,42,10
143,deepSeek-v3,in-front-left,in-front-left,1,low,3.89,1399,0.0,42,10
144,deepSeek-v3,in-front-left,in-front-left,1,low,4.42,1411,0.0,42,10
145,deepSeek-v3,in-front-left,in-front-right,0,low,4.95,1417,0.0,42,10
146,deepSeek-v3,in-front-left,in-front-left,1,low,4.46,1392,0.0,42,10
147,deepSeek-v3,in-front-left,in-front-left,1,low,6.14,1426,0.0,42,10
148,deepSeek-v3,in-front-left,in-front-right,0,low,5.43,1414,0.0,42,10
149,deepSeek-v3,in-front-left,in-front-right,0,low,5.54,1428,0.0,42,10
150,deepSeek-v3,in-front-left,in-front-right,0,low,6.22,1435,0.0,42,10
151,deepSeek-v3,behind-left,behind-left,1,low,5.44,1433,0.0,42,10
152,deepSeek-v3,behind-left,behind-left,1,low,4.81,1380,0.0,42,10
153,deepSeek-v3,behind-left,behind-right,0,low,5.03,1410,0.0,42,10
154,deepSeek-v3,behind-left,behind-left,1,low,3.37,1390,0.0,42,10
155,deepSeek-v3,behind-left,behind-left,1,low,3.07,1385,0.0,42,10
156,deepSeek-v3,behind-left,behind-left,1,low,5.34,1398,0.0,42,10
157,deepSeek-v3,behind-left,behind-left,1,low,3.16,1409,0.0,42,10
158,deepSeek-v3,behind-left,behind-left,1,low,3.58,1396,0.0,42,10
159,deepSeek-v3,behind-left,behind-left,1,low,6.21,1433,0.0,42,10
160,deepSeek-v3,behind-left,behind-left,1,low,3.01,1380,0.0,42,10
161,deepSeek-v3,behind-left,behind-left,1,low,3.75,1362,0.0,42,10
162,deepSeek-v3,behind-left,behind-left,1,low,3.62,1414,0.0,42,10
