prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemma3:4b,behind-right,right,0,low,8.31,10
2,gemma3:4b,behind-right,in-front,0,low,1.12,10
3,gemma3:4b,behind-right,behind,0,low,1.93,10
4,gemma3:4b,behind-right,in-front,0,low,0.86,10
5,gemma3:4b,behind-right,behind,0,low,2.32,10
6,gemma3:4b,behind-right,in-front,0,low,0.95,10
7,gemma3:4b,behind-right,behind,0,low,2.06,10
8,gemma3:4b,behind-right,right,0,low,1.83,10
9,gemma3:4b,behind-right,behind,0,low,2.00,10
10,gemma3:4b,behind-right,in-front,0,low,2.61,10
11,gemma3:4b,behind-right,behind,0,low,2.09,10
12,gemma3:4b,behind-right,behind,0,low,3.24,10
13,gemma3:4b,behind-right,in-front,0,low,0.87,10
14,gemma3:4b,behind-right,in-front,0,low,0.83,10
15,gemma3:4b,behind-right,right,0,low,4.33,10
16,gemma3:4b,behind-right,in-front-right,0,low,2.28,10
17,gemma3:4b,behind-right,behind,0,low,2.17,10
18,gemma3:4b,behind-right,in-front,0,low,1.07,10
19,gemma3:4b,behind-right,in-front,0,low,1.42,10
20,gemma3:4b,behind-right,right,0,low,3.38,10
21,gemma3:4b,behind-right,in-front-right,0,low,3.86,10
22,gemma3:4b,behind-right,behind,0,low,8.13,10
23,gemma3:4b,behind-right,in-front,0,low,1.30,10
24,gemma3:4b,behind-right,left,0,low,3.48,10
25,gemma3:4b,behind-right,in-front,0,low,0.84,10
26,gemma3:4b,behind-right,behind,0,low,1.75,10
27,gemma3:4b,behind-right,in-front,0,low,0.84,10
28,gemma3:4b,behind-right,behind,0,low,4.85,10
29,gemma3:4b,behind-right,in-front,0,low,1.12,10
30,gemma3:4b,behind-right,in-front,0,low,1.39,10
31,gemma3:4b,behind-right,in-front-right,0,low,2.16,10
32,gemma3:4b,behind-right,right,0,low,2.29,10
33,gemma3:4b,behind-right,left,0,low,6.18,10
34,gemma3:4b,behind-right,unparseable,0,low,1.91,10
35,gemma3:4b,behind-right,in-front-right,0,low,0.98,10
36,gemma3:4b,behind-right,in-front,0,low,13.59,10
37,gemma3:4b,behind-right,in-front-right,0,low,2.26,10
38,gemma3:4b,behind-right,right,0,low,6.42,10
39,gemma3:4b,behind-right,right,0,low,2.08,10
40,gemma3:4b,behind-right,in-front-right,0,low,3.00,10
41,gemma3:4b,behind-right,in-front-right,0,low,2.15,10
42,gemma3:4b,behind-right,behind,0,low,3.13,10
43,gemma3:4b,behind-right,in-front,0,low,0.80,10
44,gemma3:4b,behind-right,in-front,0,low,0.80,10
45,gemma3:4b,behind-right,in-front,0,low,1.34,10
46,gemma3:4b,behind-right,in-front,0,low,0.95,10
47,gemma3:4b,behind-right,in-front-right,0,low,4.17,10
48,gemma3:4b,behind-right,behind,0,low,1.93,10
49,gemma3:4b,behind-right,behind,0,low,5.04,10
50,gemma3:4b,behind-right,in-front,0,low,1.43,10
51,gemma3:4b,in-front-right,behind,0,low,1.69,10
52,gemma3:4b,in-front-right,behind,0,low,3.30,10
53,gemma3:4b,in-front-right,in-front-right,1,low,1.96,10
54,gemma3:4b,in-front-right,in-front-right,1,low,2.04,10
55,gemma3:4b,in-front-right,left,0,low,1.76,10
56,gemma3:4b,in-front-right,behind,0,low,2.09,10
57,gemma3:4b,in-front-right,in-front-right,1,low,1.07,10
58,gemma3:4b,in-front-right,behind,0,low,2.26,10
59,gemma3:4b,in-front-right,left,0,low,1.81,10
60,gemma3:4b,in-front-right,right,0,low,2.25,10
61,gemma3:4b,in-front-right,behind,0,low,1.91,10
62,gemma3:4b,in-front-right,behind,0,low,2.06,10
63,gemma3:4b,in-front-right,behind,0,low,2.01,10
64,gemma3:4b,in-front-right,in-front,0,low,0.94,10
65,gemma3:4b,in-front-right,in-front,0,low,0.94,10
66,gemma3:4b,in-front-right,behind,0,low,2.12,10
67,gemma3:4b,in-front-right,in-front-right,1,low,2.24,10
68,gemma3:4b,in-front-right,in-front,0,low,1.02,10
69,gemma3:4b,in-front-right,in-front-right,1,low,2.30,10
70,gemma3:4b,in-front-right,behind,0,low,2.29,10
71,gemma3:4b,in-front-right,right,0,low,2.30,10
72,gemma3:4b,in-front-right,in-front,0,low,0.82,10
73,gemma3:4b,in-front-right,in-front,0,low,0.81,10
74,gemma3:4b,in-front-right,in-front,0,low,2.20,10
75,gemma3:4b,in-front-right,right,0,low,3.15,10
76,gemma3:4b,in-front-right,right,0,low,3.68,10
77,gemma3:4b,in-front-right,in-front,0,low,0.97,10
78,gemma3:4b,in-front-right,behind,0,low,2.18,10
79,gemma3:4b,in-front-right,in-front,0,low,0.90,10
80,gemma3:4b,in-front-right,in-front-right,1,low,1.46,10
81,gemma3:4b,in-front-right,in-front,0,low,0.98,10
82,gemma3:4b,in-front-right,in-front,0,low,0.96,10
83,gemma3:4b,in-front-right,in-front-right,1,low,2.14,10
84,gemma3:4b,in-front-right,in-front,0,low,0.84,10
85,gemma3:4b,in-front-right,in-front,0,low,0.84,10
86,gemma3:4b,in-front-right,in-front-right,1,low,2.06,10
87,gemma3:4b,in-front-right,in-front,0,low,2.39,10
88,gemma3:4b,in-front-right,in-front,0,low,0.96,10
89,gemma3:4b,in-front-right,right,0,low,3.65,10
90,gemma3:4b,in-front-right,behind,0,low,2.81,10
91,gemma3:4b,in-front-right,in-front,0,low,0.73,10
92,gemma3:4b,in-front-right,in-front-right,1,low,0.97,10
93,gemma3:4b,in-front-right,in-front,0,low,0.79,10
94,gemma3:4b,in-front-right,behind,0,low,2.00,10
95,gemma3:4b,in-front-right,right,0,low,1.80,10
96,gemma3:4b,in-front-right,in-front,0,low,0.86,10
97,gemma3:4b,in-front-right,in-front,0,low,0.75,10
98,gemma3:4b,in-front-right,in-front,0,low,0.85,10
99,gemma3:4b,in-front-right,right,0,low,1.92,10
100,gemma3:4b,in-front-right,in-front,0,low,1.33,10
101,gemma3:4b,in-front-left,in-front-right,0,low,0.97,10
102,gemma3:4b,in-front-left,behind,0,low,2.76,10
103,gemma3:4b,in-front-left,in-front-right,0,low,0.96,10
104,gemma3:4b,in-front-left,in-front,0,low,0.77,10
105,gemma3:4b,in-front-left,in-front,0,low,0.85,10
106,gemma3:4b,in-front-left,in-front,0,low,0.99,10
107,gemma3:4b,in-front-left,in-front,0,low,0.81,10
108,gemma3:4b,in-front-left,behind,0,low,1.83,10
109,gemma3:4b,in-front-left,right,0,low,1.80,10
110,gemma3:4b,in-front-left,in-front,0,low,1.37,10
111,gemma3:4b,in-front-left,right,0,low,2.02,10
112,gemma3:4b,in-front-left,in-front,0,low,0.93,10
113,gemma3:4b,in-front-left,in-front-right,0,low,1.02,10
114,gemma3:4b,in-front-left,in-front,0,low,0.82,10
115,gemma3:4b,in-front-left,right,0,low,1.75,10
116,gemma3:4b,in-front-left,right,0,low,3.53,10
117,gemma3:4b,in-front-left,in-front,0,low,1.02,10
118,gemma3:4b,in-front-left,in-front,0,low,0.94,10
119,gemma3:4b,in-front-left,in-front,0,low,2.14,10
120,gemma3:4b,in-front-left,right,0,low,2.70,10
121,gemma3:4b,in-front-left,behind,0,low,5.47,10
122,gemma3:4b,in-front-left,behind,0,low,3.86,10
123,gemma3:4b,in-front-left,behind,0,low,2.28,10
124,gemma3:4b,in-front-left,in-front,0,low,0.85,10
125,gemma3:4b,in-front-left,in-front,0,low,2.24,10
126,gemma3:4b,in-front-left,behind,0,low,1.94,10
127,gemma3:4b,in-front-left,in-front-right,0,low,2.44,10
128,gemma3:4b,in-front-left,in-front,0,low,0.97,10
129,gemma3:4b,in-front-left,behind,0,low,1.91,10
130,gemma3:4b,in-front-left,behind,0,low,2.45,10
131,gemma3:4b,in-front-left,right,0,low,4.30,10
132,gemma3:4b,in-front-left,in-front,0,low,0.86,10
133,gemma3:4b,in-front-left,in-front,0,low,0.88,10
134,gemma3:4b,in-front-left,in-front,0,low,0.83,10
135,gemma3:4b,in-front-left,right,0,low,6.55,10
136,gemma3:4b,in-front-left,in-front,0,low,0.84,10
137,gemma3:4b,in-front-left,behind,0,low,2.08,10
138,gemma3:4b,in-front-left,in-front,0,low,0.87,10
139,gemma3:4b,in-front-left,in-front-right,0,low,1.00,10
140,gemma3:4b,in-front-left,right,0,low,2.78,10
141,gemma3:4b,in-front-left,right,0,low,4.51,10
142,gemma3:4b,in-front-left,behind,0,low,1.93,10
143,gemma3:4b,in-front-left,in-front,0,low,0.82,10
144,gemma3:4b,in-front-left,in-front,0,low,0.83,10
145,gemma3:4b,in-front-left,in-front,0,low,2.26,10
146,gemma3:4b,in-front-left,behind,0,low,2.33,10
147,gemma3:4b,in-front-left,in-front-right,0,low,2.59,10
148,gemma3:4b,in-front-left,left,0,low,4.02,10
149,gemma3:4b,in-front-left,in-front,0,low,0.92,10
150,gemma3:4b,in-front-left,in-front-right,0,low,8.01,10
151,gemma3:4b,behind-left,behind,0,low,2.73,10
152,gemma3:4b,behind-left,in-front,0,low,2.25,10
153,gemma3:4b,behind-left,in-front-right,0,low,1.12,10
154,gemma3:4b,behind-left,behind,0,low,2.41,10
155,gemma3:4b,behind-left,in-front,0,low,2.21,10
156,gemma3:4b,behind-left,behind,0,low,2.66,10
157,gemma3:4b,behind-left,in-front-right,0,low,1.05,10
158,gemma3:4b,behind-left,in-front,0,low,1.06,10
159,gemma3:4b,behind-left,in-front,0,low,0.96,10
160,gemma3:4b,behind-left,in-front,0,low,1.46,10
161,gemma3:4b,behind-left,in-front,0,low,0.79,10
162,gemma3:4b,behind-left,right,0,low,2.54,10
163,gemma3:4b,behind-left,left,0,low,4.09,10
164,gemma3:4b,behind-left,right,0,low,1.97,10
165,gemma3:4b,behind-left,right,0,low,2.09,10
166,gemma3:4b,behind-left,in-front,0,low,0.95,10
167,gemma3:4b,behind-left,behind,0,low,1.69,10
168,gemma3:4b,behind-left,right,0,low,3.79,10
169,gemma3:4b,behind-left,behind,0,low,2.64,10
170,gemma3:4b,behind-left,in-front-right,0,low,1.43,10
