prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,behind-right,in-front,0,medium,5.71,10
2,deepSeek-v3,behind-right,in-front,0,medium,11.11,10
3,deepSeek-v3,behind-right,in-front-left,0,medium,13.37,10
4,deepSeek-v3,behind-right,in-front,0,medium,12.28,10
5,deepSeek-v3,behind-right,left,0,medium,7.16,10
6,deepSeek-v3,behind-right,right,0,medium,6.14,10
7,deepSeek-v3,behind-right,in-front,0,medium,6.67,10
8,deepSeek-v3,behind-right,in-front,0,medium,5.00,10
9,deepSeek-v3,behind-right,in-front,0,medium,5.94,10
10,deepSeek-v3,behind-right,in-front,0,medium,6.45,10
11,deepSeek-v3,behind-right,in-front,0,medium,6.25,10
12,deepSeek-v3,behind-right,right,0,medium,10.44,10
13,deepSeek-v3,behind-right,in-front,0,medium,6.59,10
14,deepSeek-v3,behind-right,in-front,0,medium,5.80,10
15,deepSeek-v3,behind-right,left,0,medium,7.37,10
16,deepSeek-v3,behind-right,in-front,0,medium,7.77,10
17,deepSeek-v3,behind-right,behind,0,medium,14.14,10
18,deepSeek-v3,behind-right,in-front-left,0,medium,6.86,10
19,deepSeek-v3,behind-right,left,0,medium,6.23,10
20,deepSeek-v3,behind-right,left,0,medium,10.87,10
21,deepSeek-v3,behind-right,in-front,0,medium,6.97,10
22,deepSeek-v3,behind-right,left,0,medium,16.89,10
23,deepSeek-v3,behind-right,right,0,medium,3.41,10
24,deepSeek-v3,behind-right,in-front-left,0,medium,5.29,10
25,deepSeek-v3,behind-right,right,0,medium,6.04,10
26,deepSeek-v3,behind-right,in-front,0,medium,7.38,10
27,deepSeek-v3,behind-right,right,0,medium,6.96,10
28,deepSeek-v3,behind-right,in-front,0,medium,6.45,10
29,deepSeek-v3,behind-right,right,0,medium,8.29,10
30,deepSeek-v3,behind-right,right,0,medium,9.50,10
31,deepSeek-v3,behind-right,in-front,0,medium,7.91,10
32,deepSeek-v3,behind-right,in-front,0,medium,16.49,10
33,deepSeek-v3,behind-right,left,0,medium,7.17,10
34,deepSeek-v3,behind-right,in-front,0,medium,7.68,10
35,deepSeek-v3,behind-right,right,0,medium,7.07,10
36,deepSeek-v3,behind-right,in-front,0,medium,9.18,10
37,deepSeek-v3,behind-right,right,0,medium,23.70,10
38,deepSeek-v3,behind-right,left,0,medium,5.72,10
39,deepSeek-v3,behind-right,in-front,0,medium,7.48,10
40,deepSeek-v3,behind-right,left,0,medium,5.47,10
41,deepSeek-v3,behind-right,behind,0,medium,14.91,10
42,deepSeek-v3,behind-right,in-front,0,medium,5.89,10
43,deepSeek-v3,behind-right,in-front-left,0,medium,6.18,10
44,deepSeek-v3,behind-right,in-front,0,medium,6.86,10
45,deepSeek-v3,behind-right,in-front,0,medium,6.02,10
46,deepSeek-v3,behind-right,in-front-left,0,medium,6.26,10
47,deepSeek-v3,behind-right,in-front,0,medium,7.68,10
48,deepSeek-v3,behind-right,in-front,0,medium,5.84,10
49,deepSeek-v3,behind-right,in-front,0,medium,6.03,10
50,deepSeek-v3,behind-right,right,0,medium,6.15,10
51,deepSeek-v3,in-front-left,left,0,medium,7.48,10
52,deepSeek-v3,in-front-left,left,0,medium,6.22,10
53,deepSeek-v3,in-front-left,behind,0,medium,7.49,10
54,deepSeek-v3,in-front-left,in-front,0,medium,6.58,10
55,deepSeek-v3,in-front-left,behind,0,medium,15.77,10
56,deepSeek-v3,in-front-left,in-front,0,medium,6.37,10
57,deepSeek-v3,in-front-left,in-front,0,medium,13.39,10
58,deepSeek-v3,in-front-left,behind,0,medium,6.16,10
59,deepSeek-v3,in-front-left,in-front,0,medium,6.88,10
60,deepSeek-v3,in-front-left,right,0,medium,6.21,10
61,deepSeek-v3,in-front-left,in-front,0,medium,5.70,10
62,deepSeek-v3,in-front-left,in-front,0,medium,6.93,10
63,deepSeek-v3,in-front-left,left,0,medium,5.90,10
64,deepSeek-v3,in-front-left,behind,0,medium,8.50,10
65,deepSeek-v3,in-front-left,left,0,medium,6.38,10
66,deepSeek-v3,in-front-left,in-front,0,medium,6.83,10
67,deepSeek-v3,in-front-left,behind,0,medium,7.43,10
68,deepSeek-v3,in-front-left,left,0,medium,6.18,10
69,deepSeek-v3,in-front-left,right,0,medium,4.28,10
70,deepSeek-v3,in-front-left,in-front,0,medium,7.10,10
71,deepSeek-v3,in-front-left,behind,0,medium,8.21,10
72,deepSeek-v3,in-front-left,in-front,0,medium,5.23,10
73,deepSeek-v3,in-front-left,in-front,0,medium,6.53,10
74,deepSeek-v3,in-front-left,right,0,medium,5.49,10
75,deepSeek-v3,in-front-left,in-front,0,medium,6.70,10
76,deepSeek-v3,in-front-left,in-front,0,medium,4.40,10
