prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemini-2.5-flash,behind-left,left,0,high,15.05,10
2,gemini-2.5-flash,behind-left,left,0,high,19.87,10
3,gemini-2.5-flash,behind-left,right,0,high,23.81,10
4,gemini-2.5-flash,behind-left,right,0,high,11.82,10
5,gemini-2.5-flash,behind-left,right,0,high,20.38,10
6,gemini-2.5-flash,behind-left,incorrect prompt,0,high,6.31,10
7,gemini-2.5-flash,behind-left,left,0,high,15.06,10
8,gemini-2.5-flash,behind-left,right,0,high,13.77,10
9,gemini-2.5-flash,behind-left,incorrect prompt,0,high,3.36,10
10,gemini-2.5-flash,behind-left,left,0,high,7.83,10
11,gemini-2.5-flash,behind-left,right,0,high,11.57,10
12,gemini-2.5-flash,behind-left,right,0,high,6.72,10
13,gemini-2.5-flash,behind-left,left,0,high,10.61,10
14,gemini-2.5-flash,behind-left,right,0,high,16.06,10
15,gemini-2.5-flash,behind-left,left,0,high,9.11,10
16,gemini-2.5-flash,behind-left,right,0,high,11.15,10
17,gemini-2.5-flash,behind-left,left,0,high,5.64,10
18,gemini-2.5-flash,behind-left,left,0,high,15.72,10
19,gemini-2.5-flash,behind-left,left,0,high,9.57,10
20,gemini-2.5-flash,behind-left,right,0,high,15.71,10
21,gemini-2.5-flash,behind-left,incorrect prompt,0,high,14.30,10
22,gemini-2.5-flash,behind-left,right,0,high,10.94,10
23,gemini-2.5-flash,behind-left,right,0,high,10.39,10
24,gemini-2.5-flash,behind-left,left,0,high,15.24,10
25,gemini-2.5-flash,behind-left,right,0,high,6.24,10
26,gemini-2.5-flash,behind-left,left,0,high,24.70,10
27,gemini-2.5-flash,behind-left,left,0,high,8.71,10
28,gemini-2.5-flash,behind-left,right,0,high,24.16,10
29,gemini-2.5-flash,behind-left,behind,0,high,14.48,10
30,gemini-2.5-flash,behind-left,incorrect prompt,0,high,18.39,10
31,gemini-2.5-flash,behind-left,right,0,high,9.77,10
32,gemini-2.5-flash,behind-left,left,0,high,6.55,10
33,gemini-2.5-flash,behind-left,right,0,high,21.20,10
34,gemini-2.5-flash,behind-left,behind,0,high,5.73,10
35,gemini-2.5-flash,behind-left,incorrect prompt,0,high,11.29,10
36,gemini-2.5-flash,behind-left,right,0,high,13.59,10
