prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,in-front-right,behind,0,medium,2.59,5
2,gpt-4.1-mini,in-front-right,behind,0,medium,4.27,5
3,gpt-4.1-mini,in-front-right,in-front-left,0,medium,3.24,5
4,gpt-4.1-mini,in-front-right,behind,0,medium,2.56,5
5,gpt-4.1-mini,in-front-right,behind,0,medium,4.50,5
6,gpt-4.1-mini,in-front-right,in-front-right,1,medium,2.40,5
7,gpt-4.1-mini,in-front-right,left,0,medium,2.73,5
8,gpt-4.1-mini,in-front-right,in-front-right,1,medium,5.01,5
9,gpt-4.1-mini,in-front-right,right,0,medium,3.34,5
10,gpt-4.1-mini,in-front-right,behind,0,medium,2.44,5
11,gpt-4.1-mini,in-front-right,behind,0,medium,4.00,5
12,gpt-4.1-mini,in-front-right,behind,0,medium,3.79,5
13,gpt-4.1-mini,in-front-right,in-front,0,medium,3.63,5
14,gpt-4.1-mini,in-front-right,in-front-right,1,medium,4.78,5
15,gpt-4.1-mini,in-front-right,behind,0,medium,5.94,5
16,gpt-4.1-mini,in-front-right,behind,0,medium,5.23,5
17,gpt-4.1-mini,in-front-right,behind,0,medium,3.70,5
18,gpt-4.1-mini,in-front-right,behind,0,medium,5.70,5
19,gpt-4.1-mini,in-front-right,behind,0,medium,6.35,5
20,gpt-4.1-mini,in-front-right,behind,0,medium,2.33,5
21,gpt-4.1-mini,right,right,1,medium,1.58,5
22,gpt-4.1-mini,right,left,0,medium,3.85,5
23,gpt-4.1-mini,right,behind,0,medium,2.30,5
24,gpt-4.1-mini,right,in-front,0,medium,3.38,5
25,gpt-4.1-mini,right,in-front-left,0,medium,2.82,5
26,gpt-4.1-mini,right,left,0,medium,3.52,5
27,gpt-4.1-mini,right,in-front-right,0,medium,3.03,5
28,gpt-4.1-mini,right,behind,0,medium,2.05,5
29,gpt-4.1-mini,right,in-front-left,0,medium,3.02,5
30,gpt-4.1-mini,right,in-front-left,0,medium,3.00,5
31,gpt-4.1-mini,right,in-front,0,medium,4.17,5
32,gpt-4.1-mini,right,right,1,medium,2.62,5
33,gpt-4.1-mini,right,left,0,medium,3.58,5
34,gpt-4.1-mini,right,behind,0,medium,4.11,5
35,gpt-4.1-mini,right,behind,0,medium,3.18,5
36,gpt-4.1-mini,right,left,0,medium,3.90,5
37,gpt-4.1-mini,right,behind,0,medium,2.18,5
38,gpt-4.1-mini,right,behind,0,medium,2.51,5
39,gpt-4.1-mini,right,in-front-left,0,medium,2.87,5
40,gpt-4.1-mini,right,behind,0,medium,13.23,5
41,gpt-4.1-mini,left,behind,0,medium,2.04,5
42,gpt-4.1-mini,left,in-front-right,0,medium,1.84,5
43,gpt-4.1-mini,left,in-front-right,0,medium,2.44,5
44,gpt-4.1-mini,left,in-front-left,0,medium,3.14,5
45,gpt-4.1-mini,left,in-front-right,0,medium,2.71,5
46,gpt-4.1-mini,left,in-front-right,0,medium,3.20,5
47,gpt-4.1-mini,left,in-front-right,0,medium,2.08,5
48,gpt-4.1-mini,left,behind,0,medium,4.05,5
49,gpt-4.1-mini,left,left,1,medium,8.56,5
50,gpt-4.1-mini,left,in-front,0,medium,3.05,5
51,gpt-4.1-mini,left,in-front-right,0,medium,2.26,5
52,gpt-4.1-mini,left,in-front-right,0,medium,3.81,5
53,gpt-4.1-mini,left,in-front-left,0,medium,4.17,5
54,gpt-4.1-mini,left,in-front-right,0,medium,4.61,5
55,gpt-4.1-mini,left,in-front-left,0,medium,3.91,5
56,gpt-4.1-mini,left,in-front,0,medium,3.12,5
57,gpt-4.1-mini,left,behind,0,medium,2.48,5
58,gpt-4.1-mini,left,left,1,medium,1.98,5
59,gpt-4.1-mini,left,behind,0,medium,2.98,5
60,gpt-4.1-mini,left,in-front-right,0,medium,2.71,5
61,gpt-4.1-mini,in-front,behind,0,medium,2.45,5
62,gpt-4.1-mini,in-front,right,0,medium,2.56,5
63,gpt-4.1-mini,in-front,right,0,medium,2.15,5
64,gpt-4.1-mini,in-front,behind,0,medium,3.35,5
65,gpt-4.1-mini,in-front,behind,0,medium,3.43,5
66,gpt-4.1-mini,in-front,behind,0,medium,2.76,5
67,gpt-4.1-mini,in-front,behind,0,medium,2.13,5
68,gpt-4.1-mini,in-front,behind,0,medium,2.60,5
69,gpt-4.1-mini,in-front,behind,0,medium,2.98,5
70,gpt-4.1-mini,in-front,behind,0,medium,6.11,5
71,gpt-4.1-mini,in-front,behind,0,medium,3.07,5
72,gpt-4.1-mini,in-front,in-front-left,0,medium,2.66,5
73,gpt-4.1-mini,in-front,behind,0,medium,2.25,5
74,gpt-4.1-mini,in-front,behind,0,medium,12.23,5
75,gpt-4.1-mini,in-front,behind,0,medium,2.41,5
76,gpt-4.1-mini,in-front,behind,0,medium,2.43,5
77,gpt-4.1-mini,in-front,in-front,1,medium,3.28,5
78,gpt-4.1-mini,in-front,behind,0,medium,3.53,5
79,gpt-4.1-mini,in-front,in-front,1,medium,3.27,5
80,gpt-4.1-mini,in-front,behind,0,medium,3.43,5
81,gpt-4.1-mini,in-front-left,behind,0,medium,2.83,5
82,gpt-4.1-mini,in-front-left,left,0,medium,3.06,5
83,gpt-4.1-mini,in-front-left,behind,0,medium,4.39,5
84,gpt-4.1-mini,in-front-left,in-front-right,0,medium,7.36,5
85,gpt-4.1-mini,in-front-left,right,0,medium,4.12,5
