prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,deepSeek-v3,behind-right,behind-right,1,medium,5.71,1575,0.0,42,10
2,deepSeek-v3,behind-right,behind-right,1,medium,11.11,1608,0.0,42,10
3,deepSeek-v3,behind-right,behind-right,1,medium,13.37,1755,0.0,42,10
4,deepSeek-v3,behind-right,in-front-left,0,medium,12.28,2018,0.0,42,10
5,deepSeek-v3,behind-right,behind-right,1,medium,7.16,1633,0.0,42,10
6,deepSeek-v3,behind-right,behind-right,1,medium,6.14,1558,0.0,42,10
7,deepSeek-v3,behind-right,behind-right,1,medium,6.67,1554,0.0,42,10
8,deepSeek-v3,behind-right,behind-right,1,medium,5.00,1585,0.0,42,10
9,deepSeek-v3,behind-right,behind-right,1,medium,5.94,1565,0.0,42,10
10,deepSeek-v3,behind-right,in-front-right,0,medium,6.45,1589,0.0,42,10
11,deepSeek-v3,behind-right,behind-right,1,medium,6.25,1563,0.0,42,10
12,deepSeek-v3,behind-right,in-front-right,0,medium,10.44,2001,0.0,42,10
13,deepSeek-v3,behind-right,behind-left,0,medium,6.59,1558,0.0,42,10
14,deepSeek-v3,behind-right,behind-right,1,medium,5.80,1607,0.0,42,10
15,deepSeek-v3,behind-right,behind-left,0,medium,7.37,1590,0.0,42,10
16,deepSeek-v3,behind-right,in-front-right,0,medium,7.77,1635,0.0,42,10
17,deepSeek-v3,behind-right,behind-right,1,medium,14.14,1815,0.0,42,10
18,deepSeek-v3,behind-right,behind-right,1,medium,6.86,1505,0.0,42,10
19,deepSeek-v3,behind-right,behind-right,1,medium,6.23,1589,0.0,42,10
20,deepSeek-v3,behind-right,in-front-right,0,medium,10.87,1656,0.0,42,10
21,deepSeek-v3,behind-right,behind-right,1,medium,6.97,1589,0.0,42,10
22,deepSeek-v3,behind-right,behind-right,1,medium,16.89,1838,0.0,42,10
23,deepSeek-v3,behind-right,behind-right,1,medium,3.41,1430,0.0,42,10
24,deepSeek-v3,behind-right,behind-left,0,medium,5.29,1566,0.0,42,10
25,deepSeek-v3,behind-right,behind-left,0,medium,6.04,1537,0.0,42,10
26,deepSeek-v3,behind-right,in-front-right,0,medium,7.38,1625,0.0,42,10
27,deepSeek-v3,behind-right,behind-left,0,medium,6.96,1600,0.0,42,10
28,deepSeek-v3,behind-right,behind-left,0,medium,6.45,1605,0.0,42,10
29,deepSeek-v3,behind-right,left,0,medium,8.29,1653,0.0,42,10
30,deepSeek-v3,behind-right,behind-left,0,medium,9.50,1707,0.0,42,10
31,deepSeek-v3,behind-right,behind-right,1,medium,7.91,1611,0.0,42,10
32,deepSeek-v3,behind-right,behind-right,1,medium,16.49,1564,0.0,42,10
33,deepSeek-v3,behind-right,behind-right,1,medium,7.17,1643,0.0,42,10
34,deepSeek-v3,behind-right,in-front-right,0,medium,7.68,1644,0.0,42,10
35,deepSeek-v3,behind-right,behind-left,0,medium,7.07,1555,0.0,42,10
36,deepSeek-v3,behind-right,behind-left,0,medium,9.18,1793,0.0,42,10
37,deepSeek-v3,behind-right,behind-right,1,medium,23.70,2808,0.0,42,10
38,deepSeek-v3,behind-right,behind-right,1,medium,5.72,1518,0.0,42,10
39,deepSeek-v3,behind-right,behind-right,1,medium,7.48,1501,0.0,42,10
40,deepSeek-v3,behind-right,in-front-right,0,medium,5.47,1536,0.0,42,10
41,deepSeek-v3,behind-right,in-front-left,0,medium,14.91,2335,0.0,42,10
42,deepSeek-v3,behind-right,behind-right,1,medium,5.89,1591,0.0,42,10
43,deepSeek-v3,behind-right,behind-right,1,medium,6.18,1508,0.0,42,10
44,deepSeek-v3,behind-right,behind-right,1,medium,6.86,1651,0.0,42,10
45,deepSeek-v3,behind-right,behind-right,1,medium,6.02,1561,0.0,42,10
46,deepSeek-v3,behind-right,behind-right,1,medium,6.26,1558,0.0,42,10
47,deepSeek-v3,behind-right,in-front-left,0,medium,7.68,1687,0.0,42,10
48,deepSeek-v3,behind-right,behind-left,0,medium,5.84,1561,0.0,42,10
49,deepSeek-v3,behind-right,behind-right,1,medium,6.03,1600,0.0,42,10
50,deepSeek-v3,behind-right,behind-left,0,medium,6.15,1575,0.0,42,10
51,deepSeek-v3,in-front-left,in-front-right,0,medium,7.48,1611,0.0,42,10
52,deepSeek-v3,in-front-left,in-front-right,0,medium,6.22,1649,0.0,42,10
53,deepSeek-v3,in-front-left,in-front-right,0,medium,7.49,1636,0.0,42,10
54,deepSeek-v3,in-front-left,in-front-left,1,medium,6.58,1545,0.0,42,10
55,deepSeek-v3,in-front-left,in-front-right,0,medium,15.77,1509,0.0,42,10
56,deepSeek-v3,in-front-left,behind-left,0,medium,6.37,1597,0.0,42,10
57,deepSeek-v3,in-front-left,behind-right,0,medium,13.39,1658,0.0,42,10
58,deepSeek-v3,in-front-left,in-front-right,0,medium,6.16,1557,0.0,42,10
59,deepSeek-v3,in-front-left,in-front-left,1,medium,6.88,1592,0.0,42,10
60,deepSeek-v3,in-front-left,behind-right,0,medium,6.21,1558,0.0,42,10
61,deepSeek-v3,in-front-left,in-front-right,0,medium,5.70,1555,0.0,42,10
62,deepSeek-v3,in-front-left,in-front-left,1,medium,6.93,1575,0.0,42,10
63,deepSeek-v3,in-front-left,in-front-left,1,medium,5.90,1626,0.0,42,10
64,deepSeek-v3,in-front-left,behind-left,0,medium,8.50,1557,0.0,42,10
65,deepSeek-v3,in-front-left,in-front-right,0,medium,6.38,1494,0.0,42,10
66,deepSeek-v3,in-front-left,in-front-right,0,medium,6.83,1601,0.0,42,10
67,deepSeek-v3,in-front-left,in-front-right,0,medium,7.43,1691,0.0,42,10
68,deepSeek-v3,in-front-left,in-front-right,0,medium,6.18,1674,0.0,42,10
69,deepSeek-v3,in-front-left,in-front-right,0,medium,4.28,1505,0.0,42,10
70,deepSeek-v3,in-front-left,in-front-left,1,medium,7.10,1621,0.0,42,10
71,deepSeek-v3,in-front-left,in-front-left,1,medium,8.21,1826,0.0,42,10
72,deepSeek-v3,in-front-left,in-front-right,0,medium,5.23,1597,0.0,42,10
