prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,in-front-right,behind,0,medium,7.85,5
2,deepSeek-v3,in-front-right,right,0,medium,45.92,5
3,deepSeek-v3,in-front-right,in-front,0,medium,4.40,5
4,deepSeek-v3,in-front-right,left,0,medium,7.54,5
5,deepSeek-v3,in-front-right,behind,0,medium,6.46,5
6,deepSeek-v3,in-front-right,in-front,0,medium,5.70,5
7,deepSeek-v3,in-front-right,left,0,medium,14.03,5
8,deepSeek-v3,in-front-right,right,0,medium,12.62,5
9,deepSeek-v3,in-front-right,right,0,medium,10.64,5
10,deepSeek-v3,in-front-right,right,0,medium,5.43,5
11,deepSeek-v3,in-front-right,left,0,medium,11.73,5
12,deepSeek-v3,in-front-right,right,0,medium,8.09,5
13,deepSeek-v3,in-front-right,in-front,0,medium,6.50,5
14,deepSeek-v3,in-front-right,left,0,medium,6.56,5
15,deepSeek-v3,in-front-right,behind,0,medium,4.96,5
16,deepSeek-v3,in-front-right,in-front,0,medium,8.98,5
17,deepSeek-v3,in-front-right,in-front,0,medium,6.11,5
18,deepSeek-v3,in-front-right,behind,0,medium,6.25,5
19,deepSeek-v3,in-front-right,left,0,medium,5.63,5
20,deepSeek-v3,in-front-right,behind,0,medium,3.87,5
21,deepSeek-v3,right,in-front,0,medium,7.63,5
22,deepSeek-v3,right,left,0,medium,8.56,5
23,deepSeek-v3,right,behind,0,medium,7.24,5
24,deepSeek-v3,right,in-front,0,medium,5.19,5
25,deepSeek-v3,right,behind,0,medium,4.23,5
26,deepSeek-v3,right,right,1,medium,7.39,5
27,deepSeek-v3,right,right,1,medium,13.03,5
28,deepSeek-v3,right,left,0,medium,6.58,5
29,deepSeek-v3,right,in-front-left,0,medium,8.37,5
30,deepSeek-v3,right,left,0,medium,71.51,5
31,deepSeek-v3,right,in-front,0,medium,12.26,5
32,deepSeek-v3,right,right,1,medium,4.94,5
33,deepSeek-v3,right,left,0,medium,7.38,5
34,deepSeek-v3,right,in-front,0,medium,4.14,5
35,deepSeek-v3,right,behind,0,medium,6.27,5
36,deepSeek-v3,right,left,0,medium,7.80,5
37,deepSeek-v3,right,behind,0,medium,24.50,5
38,deepSeek-v3,right,behind,0,medium,8.99,5
39,deepSeek-v3,right,left,0,medium,3.58,5
40,deepSeek-v3,right,left,0,medium,15.69,5
41,deepSeek-v3,left,in-front,0,medium,9.96,5
42,deepSeek-v3,left,in-front,0,medium,7.41,5
43,deepSeek-v3,left,in-front-right,0,medium,8.66,5
44,deepSeek-v3,left,in-front-left,0,medium,11.15,5
45,deepSeek-v3,left,in-front-right,0,medium,43.84,5
46,deepSeek-v3,left,in-front,0,medium,6.85,5
47,deepSeek-v3,left,in-front,0,medium,12.37,5
48,deepSeek-v3,left,behind,0,medium,18.18,5
49,deepSeek-v3,left,in-front,0,medium,16.27,5
50,deepSeek-v3,left,in-front,0,medium,25.48,5
51,deepSeek-v3,left,in-front-right,0,medium,21.19,5
52,deepSeek-v3,left,in-front,0,medium,6.28,5
53,deepSeek-v3,left,in-front,0,medium,15.90,5
54,deepSeek-v3,left,right,0,medium,10.95,5
55,deepSeek-v3,left,left,1,medium,8.37,5
56,deepSeek-v3,left,left,1,medium,10.63,5
57,deepSeek-v3,left,in-front,0,medium,7.16,5
58,deepSeek-v3,left,left,1,medium,17.43,5
59,deepSeek-v3,left,in-front,0,medium,15.55,5
60,deepSeek-v3,left,right,0,medium,6.14,5
61,deepSeek-v3,in-front,behind,0,medium,7.38,5
62,deepSeek-v3,in-front,right,0,medium,5.02,5
63,deepSeek-v3,in-front,right,0,medium,13.43,5
64,deepSeek-v3,in-front,in-front,1,medium,5.76,5
65,deepSeek-v3,in-front,behind,0,medium,5.49,5
66,deepSeek-v3,in-front,in-front,1,medium,6.05,5
67,deepSeek-v3,in-front,right,0,medium,15.25,5
68,deepSeek-v3,in-front,behind,0,medium,23.70,5
69,deepSeek-v3,in-front,right,0,medium,40.89,5
70,deepSeek-v3,in-front,in-front,1,medium,9.03,5
71,deepSeek-v3,in-front,right,0,medium,9.85,5
72,deepSeek-v3,in-front,in-front,1,medium,18.12,5
73,deepSeek-v3,in-front,right,0,medium,6.47,5
74,deepSeek-v3,in-front,behind,0,medium,5.79,5
75,deepSeek-v3,in-front,in-front,1,medium,5.47,5
76,deepSeek-v3,in-front,in-front,1,medium,5.53,5
77,deepSeek-v3,in-front,behind,0,medium,5.82,5
78,deepSeek-v3,in-front,left,0,medium,9.25,5
79,deepSeek-v3,in-front,in-front,1,medium,5.79,5
80,deepSeek-v3,in-front,left,0,medium,7.95,5
81,deepSeek-v3,in-front-left,right,0,medium,7.69,5
82,deepSeek-v3,in-front-left,left,0,medium,43.18,5
83,deepSeek-v3,in-front-left,left,0,medium,12.39,5
84,deepSeek-v3,in-front-left,in-front,0,medium,5.68,5
85,deepSeek-v3,in-front-left,right,0,medium,4.96,5
86,deepSeek-v3,in-front-left,right,0,medium,4.50,5
87,deepSeek-v3,in-front-left,behind,0,medium,5.94,5
88,deepSeek-v3,in-front-left,in-front,0,medium,6.13,5
89,deepSeek-v3,in-front-left,right,0,medium,16.29,5
90,deepSeek-v3,in-front-left,in-front,0,medium,6.54,5
91,deepSeek-v3,in-front-left,right,0,medium,11.27,5
92,deepSeek-v3,in-front-left,behind,0,medium,10.58,5
93,deepSeek-v3,in-front-left,behind,0,medium,6.78,5
94,deepSeek-v3,in-front-left,right,0,medium,18.75,5
95,deepSeek-v3,in-front-left,in-front,0,medium,24.34,5
96,deepSeek-v3,in-front-left,behind,0,medium,4.80,5
97,deepSeek-v3,in-front-left,in-front,0,medium,33.60,5
98,deepSeek-v3,in-front-left,behind,0,medium,5.96,5
99,deepSeek-v3,in-front-left,behind,0,medium,5.81,5
100,deepSeek-v3,in-front-left,left,0,medium,17.37,5
101,deepSeek-v3,behind,behind,1,medium,4.13,5
102,deepSeek-v3,behind,in-front,0,medium,7.27,5
103,deepSeek-v3,behind,left,0,medium,8.40,5
104,deepSeek-v3,behind,in-front,0,medium,25.51,5
105,deepSeek-v3,behind,in-front,0,medium,10.46,5
106,deepSeek-v3,behind,in-front,0,medium,5.99,5
107,deepSeek-v3,behind,in-front,0,medium,7.39,5
108,deepSeek-v3,behind,in-front-right,0,medium,3.70,5
109,deepSeek-v3,behind,right,0,medium,7.80,5
110,deepSeek-v3,behind,right,0,medium,6.93,5
111,deepSeek-v3,behind,right,0,medium,5.27,5
112,deepSeek-v3,behind,in-front-right,0,medium,5.82,5
113,deepSeek-v3,behind,in-front,0,medium,9.23,5
114,deepSeek-v3,behind,behind,1,medium,28.76,5
115,deepSeek-v3,behind,in-front-left,0,medium,14.24,5
116,deepSeek-v3,behind,left,0,medium,10.19,5
117,deepSeek-v3,behind,left,0,medium,6.75,5
118,deepSeek-v3,behind,in-front,0,medium,19.86,5
119,deepSeek-v3,behind,right,0,medium,6.40,5
120,deepSeek-v3,behind,in-front,0,medium,5.53,5
121,deepSeek-v3,behind-left,right,0,medium,7.70,5
122,deepSeek-v3,behind-left,behind,0,medium,4.82,5
123,deepSeek-v3,behind-left,left,0,medium,6.55,5
124,deepSeek-v3,behind-left,right,0,medium,43.63,5
125,deepSeek-v3,behind-left,right,0,medium,5.92,5
126,deepSeek-v3,behind-left,left,0,medium,6.25,5
127,deepSeek-v3,behind-left,in-front,0,medium,6.47,5
128,deepSeek-v3,behind-left,right,0,medium,7.97,5
129,deepSeek-v3,behind-left,left,0,medium,10.03,5
130,deepSeek-v3,behind-left,behind,0,medium,20.82,5
131,deepSeek-v3,behind-left,in-front,0,medium,4.61,5
132,deepSeek-v3,behind-left,right,0,medium,5.77,5
133,deepSeek-v3,behind-left,in-front,0,medium,5.12,5
134,deepSeek-v3,behind-left,behind,0,medium,21.53,5
135,deepSeek-v3,behind-left,in-front,0,medium,5.26,5
136,deepSeek-v3,behind-left,right,0,medium,8.10,5
137,deepSeek-v3,behind-left,left,0,medium,8.07,5
138,deepSeek-v3,behind-left,left,0,medium,13.83,5
139,deepSeek-v3,behind-left,left,0,medium,8.23,5
140,deepSeek-v3,behind-left,behind,0,medium,7.89,5
141,deepSeek-v3,behind-right,in-front-right,0,medium,4.90,5
142,deepSeek-v3,behind-right,behind,0,medium,5.83,5
143,deepSeek-v3,behind-right,in-front,0,medium,6.26,5
144,deepSeek-v3,behind-right,in-front,0,medium,5.41,5
145,deepSeek-v3,behind-right,in-front,0,medium,9.44,5
146,deepSeek-v3,behind-right,left,0,medium,5.44,5
147,deepSeek-v3,behind-right,right,0,medium,5.28,5
148,deepSeek-v3,behind-right,in-front,0,medium,10.46,5
149,deepSeek-v3,behind-right,in-front,0,medium,7.11,5
150,deepSeek-v3,behind-right,in-front,0,medium,5.60,5
151,deepSeek-v3,behind-right,left,0,medium,5.73,5
152,deepSeek-v3,behind-right,in-front,0,medium,10.24,5
153,deepSeek-v3,behind-right,in-front,0,medium,9.31,5
154,deepSeek-v3,behind-right,left,0,medium,7.37,5
155,deepSeek-v3,behind-right,right,0,medium,15.77,5
156,deepSeek-v3,behind-right,in-front,0,medium,9.01,5
157,deepSeek-v3,behind-right,left,0,medium,27.14,5
158,deepSeek-v3,behind-right,in-front,0,medium,6.35,5
159,deepSeek-v3,behind-right,left,0,medium,6.35,5
160,deepSeek-v3,behind-right,in-front,0,medium,5.54,5
161,deepSeek-v3,in-front-right,left,0,medium,6.44,5
162,deepSeek-v3,in-front-right,right,0,medium,93.70,5
163,deepSeek-v3,in-front-right,left,0,medium,7.16,5
164,deepSeek-v3,in-front-right,in-front-right,1,medium,4.41,5
165,deepSeek-v3,in-front-right,right,0,medium,22.83,5
166,deepSeek-v3,in-front-right,right,0,medium,20.90,5
167,deepSeek-v3,in-front-right,in-front,0,medium,5.52,5
168,deepSeek-v3,in-front-right,in-front-right,1,medium,9.53,5
169,deepSeek-v3,in-front-right,in-front-right,1,medium,4.91,5
170,deepSeek-v3,in-front-right,in-front-right,1,medium,4.84,5
