prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size,level
1,o4-mini,behind-left,behind-left,1,high,21.52,2384,0.0,42,10,High
2,o4-mini,behind-left,behind-left,1,high,25.2,3451,0.0,42,10,High
3,o4-mini,behind-left,behind-left,1,high,21.82,3051,0.0,42,10,High
4,o4-mini,behind-left,behind-left,1,high,14.57,2358,0.0,42,10,High
5,o4-mini,behind-left,behind-left,1,high,26.95,3447,0.0,42,10,High
6,o4-mini,behind-left,left,0,high,28.91,3332,0.0,42,10,High
7,o4-mini,behind-left,left,0,high,44.92,4405,0.0,42,10,High
8,o4-mini,behind-left,behind-left,1,high,15.26,2931,0.0,42,10,High
9,o4-mini,behind-left,behind-left,1,high,9.86,1889,0.0,42,10,High
10,o4-mini,behind-left,behind-left,1,high,16.27,2978,0.0,42,10,High
11,o4-mini,behind-left,behind-left,1,high,9.23,2283,0.0,42,10,High
12,o4-mini,behind-left,behind-left,1,high,11.43,2669,0.0,42,10,High
13,o4-mini,behind-left,behind-left,1,high,14.4,2149,0.0,42,10,High
14,o4-mini,behind-left,behind-left,1,high,22.72,3680,0.0,42,10,High
15,o4-mini,behind-left,behind-left,1,high,12.99,1963,0.0,42,10,High
16,o4-mini,behind-left,behind-left,1,high,20.2,2419,0.0,42,10,High
17,o4-mini,behind-left,behind-left,1,high,12.47,1888,0.0,42,10,High
18,o4-mini,behind-left,behind-left,1,high,20.85,2466,0.0,42,10,High
19,o4-mini,behind-left,behind-left,1,high,33.71,3181,0.0,42,10,High
20,o4-mini,behind-left,behind-left,1,high,14.46,2777,0.0,42,10,High
21,o4-mini,behind-left,behind-left,1,high,21.98,3272,0.0,42,10,High
22,o4-mini,behind-left,behind-left,1,high,17.32,3090,0.0,42,10,High
23,o4-mini,behind-left,behind-left,1,high,10.22,2284,0.0,42,10,High
24,o4-mini,behind-left,behind-left,1,high,12.54,2687,0.0,42,10,High
25,o4-mini,behind-left,behind-left,1,high,10.58,1707,0.0,42,10,High
26,o4-mini,behind-left,behind-left,1,high,35.71,3095,0.0,42,10,High
27,o4-mini,behind-left,behind-left,1,high,11.78,2238,0.0,42,10,High
28,o4-mini,behind-left,behind-left,1,high,13.4,2874,0.0,42,10,High
29,o4-mini,behind-left,behind-left,1,high,7.16,1909,0.0,42,10,High
30,o4-mini,behind-left,behind-left,1,high,20.69,3562,0.0,42,10,High
31,o4-mini,behind-left,behind-left,1,high,9.42,2173,0.0,42,10,High
32,o4-mini,behind-left,behind-left,1,high,15.98,2964,0.0,42,10,High
33,o4-mini,behind-left,behind-left,1,high,18.62,3063,0.0,42,10,High
34,o4-mini,behind-left,behind-left,1,high,6.76,1889,0.0,42,10,High
35,o4-mini,behind-left,incorrect prompt,0,high,27.34,4431,0.0,42,10,High
36,o4-mini,behind-left,behind-left,1,high,9.04,2318,0.0,42,10,High
37,o4-mini,behind-left,behind-left,1,high,15.53,3207,0.0,42,10,High
38,o4-mini,behind-left,behind-left,1,high,12.09,2566,0.0,42,10,High
39,o4-mini,behind-left,behind-left,1,high,31.94,4643,0.0,42,10,High
40,o4-mini,behind-left,behind-left,1,high,16.48,3235,0.0,42,10,High
41,o4-mini,behind-left,behind-left,1,high,26.96,3509,0.0,42,10,High
42,o4-mini,behind-left,behind-left,1,high,18.73,2754,0.0,42,10,High
43,o4-mini,behind-left,behind-left,1,high,11.55,2293,0.0,42,10,High
44,o4-mini,behind-left,incorrect prompt,0,high,20.32,3887,0.0,42,10,High
45,o4-mini,behind-left,behind-left,1,high,16.86,2795,0.0,42,10,High
46,o4-mini,behind-left,behind-left,1,high,12.77,2759,0.0,42,10,High
47,o4-mini,behind-left,behind-left,1,high,11.9,2778,0.0,42,10,High
48,o4-mini,behind-left,behind-left,1,high,14.53,2996,0.0,42,10,High
49,o4-mini,behind-left,behind-left,1,high,11.08,2420,0.0,42,10,High
50,o4-mini,behind-left,behind-left,1,high,23.35,3538,0.0,42,10,High
51,o4-mini,in-front-left,in-front-left,1,high,33.08,5001,0.0,42,10,High
52,o4-mini,in-front-left,incorrect prompt,0,high,45.67,6341,0.0,42,10,High
53,o4-mini,in-front-left,in-front-left,1,high,18.19,3275,0.0,42,10,High
54,o4-mini,in-front-left,in-front-left,1,high,26.68,2895,0.0,42,10,High
55,o4-mini,in-front-left,in-front-left,1,high,7.86,2057,0.0,42,10,High
56,o4-mini,in-front-left,in-front-left,1,high,15.48,2998,0.0,42,10,High
57,o4-mini,in-front-left,in-front-left,1,high,9.41,2293,0.0,42,10,High
58,o4-mini,in-front-left,in-front-left,1,high,23.47,3983,0.0,42,10,High
59,o4-mini,in-front-left,in-front-left,1,high,26.68,4256,0.0,42,10,High
60,o4-mini,in-front-left,in-front-left,1,high,5.45,1636,0.0,42,10,High
61,o4-mini,in-front-left,in-front-left,1,high,23.12,3914,0.0,42,10,High
62,o4-mini,in-front-left,in-front-left,1,high,38.43,4059,0.0,42,10,High
63,o4-mini,in-front-left,in-front-left,1,high,33.06,4905,0.0,42,10,High
64,o4-mini,in-front-left,in-front-left,1,high,7.37,1902,0.0,42,10,High
65,o4-mini,in-front-left,in-front-left,1,high,14.16,2596,0.0,42,10,High
66,o4-mini,in-front-left,in-front-left,1,high,14.1,2531,0.0,42,10,High
67,o4-mini,in-front-left,in-front-right,0,high,13.09,2761,0.0,42,10,High
68,o4-mini,in-front-left,in-front-left,1,high,15.99,3272,0.0,42,10,High
69,o4-mini,in-front-left,in-front-left,1,high,11.05,2629,0.0,42,10,High
70,o4-mini,in-front-left,in-front-left,1,high,11.98,2760,0.0,42,10,High
71,o4-mini,in-front-left,in-front-left,1,high,16.97,3181,0.0,42,10,High
72,o4-mini,in-front-left,in-front-left,1,high,26.96,4237,0.0,42,10,High
73,o4-mini,in-front-left,in-front-left,1,high,11.82,2551,0.0,42,10,High
74,o4-mini,in-front-left,in-front-left,1,high,14.51,2914,0.0,42,10,High
75,o4-mini,in-front-left,in-front-left,1,high,13.96,2740,0.0,42,10,High
76,o4-mini,in-front-left,in-front-left,1,high,21.67,3617,0.0,42,10,High
77,o4-mini,in-front-left,in-front-left,1,high,22.43,3260,0.0,42,10,High
78,o4-mini,in-front-left,in-front-left,1,high,16.7,2926,0.0,42,10,High
79,o4-mini,in-front-left,in-front-left,1,high,23.03,3757,0.0,42,10,High
80,o4-mini,in-front-left,in-front-left,1,high,16.63,2988,0.0,42,10,High
81,o4-mini,in-front-left,incorrect prompt,0,high,20.31,3561,0.0,42,10,High
82,o4-mini,in-front-left,in-front-left,1,high,17.51,3179,0.0,42,10,High
83,o4-mini,in-front-left,in-front-left,1,high,21.74,3700,0.0,42,10,High
84,o4-mini,in-front-left,in-front-left,1,high,12.08,2578,0.0,42,10,High
85,o4-mini,in-front-left,in-front-left,1,high,17.72,3276,0.0,42,10,High
86,o4-mini,in-front-left,in-front-left,1,high,21.1,3838,0.0,42,10,High
87,o4-mini,in-front-left,in-front-left,1,high,14.55,2867,0.0,42,10,High
88,o4-mini,in-front-left,in-front-left,1,high,10.84,2342,0.0,42,10,High
89,o4-mini,in-front-left,in-front-left,1,high,15.04,2935,0.0,42,10,High
90,o4-mini,in-front-left,in-front-left,1,high,12.2,2539,0.0,42,10,High
91,o4-mini,in-front-left,in-front-left,1,high,24.52,4083,0.0,42,10,High
92,o4-mini,in-front-left,in-front-left,1,high,7.67,2020,0.0,42,10,High
93,o4-mini,in-front-left,in-front-left,1,high,24.73,4198,0.0,42,10,High
94,o4-mini,in-front-left,in-front-left,1,high,10.36,2424,0.0,42,10,High
95,o4-mini,in-front-left,in-front-left,1,high,6.96,1955,0.0,42,10,High
96,o4-mini,in-front-left,in-front-left,1,high,16.63,2351,0.0,42,10,High
97,o4-mini,in-front-left,in-front-left,1,high,8.02,2084,0.0,42,10,High
98,o4-mini,in-front-left,in-front-left,1,high,14.89,2933,0.0,42,10,High
99,o4-mini,in-front-left,in-front-left,1,high,12.99,2653,0.0,42,10,High
100,o4-mini,in-front-left,in-front-right,0,high,10.58,2350,0.0,42,10,High
101,o4-mini,in-front-right,in-front-right,1,high,28.45,4130,0.0,42,10,High
102,o4-mini,in-front-right,in-front,0,high,14.53,2795,0.0,42,10,High
103,o4-mini,in-front-right,in-front-right,1,high,12.09,2160,0.0,42,10,High
