prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gpt-4.1-mini,behind-right,in-front-right,0,medium,4.20,1709,0.0,42,10
2,gpt-4.1-mini,behind-right,behind-right,1,medium,2.67,1520,0.0,42,10
3,gpt-4.1-mini,behind-right,behind-left,0,medium,3.39,1510,0.0,42,10
4,gpt-4.1-mini,behind-right,in-front-right,0,medium,4.94,1824,0.0,42,10
5,gpt-4.1-mini,behind-right,in-front,0,medium,3.35,1583,0.0,42,10
6,gpt-4.1-mini,behind-right,behind-left,0,medium,4.34,1730,0.0,42,10
7,gpt-4.1-mini,behind-right,behind-right,1,medium,3.77,1636,0.0,42,10
8,gpt-4.1-mini,behind-right,behind-right,1,medium,4.84,1706,0.0,42,10
9,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.80,1470,0.0,42,10
10,gpt-4.1-mini,behind-right,in-front-left,0,medium,4.45,1706,0.0,42,10
11,gpt-4.1-mini,behind-right,behind-left,0,medium,2.34,1448,0.0,42,10
12,gpt-4.1-mini,behind-right,behind-left,0,medium,5.38,1781,0.0,42,10
13,gpt-4.1-mini,behind-right,behind-right,1,medium,2.57,1483,0.0,42,10
14,gpt-4.1-mini,behind-right,behind-right,1,medium,5.08,1791,0.0,42,10
15,gpt-4.1-mini,behind-right,in-front-right,0,medium,4.70,1719,0.0,42,10
16,gpt-4.1-mini,behind-right,behind-right,1,medium,2.92,1550,0.0,42,10
17,gpt-4.1-mini,behind-right,in-front-right,0,medium,3.68,1625,0.0,42,10
18,gpt-4.1-mini,behind-right,behind-right,1,medium,3.44,1615,0.0,42,10
19,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.72,1494,0.0,42,10
20,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.93,1484,0.0,42,10
21,gpt-4.1-mini,behind-right,in-front-right,0,medium,4.06,1690,0.0,42,10
22,gpt-4.1-mini,behind-right,behind-right,1,medium,4.11,1714,0.0,42,10
23,gpt-4.1-mini,behind-right,behind-right,1,medium,1.93,1427,0.0,42,10
24,gpt-4.1-mini,behind-right,in-front-left,0,medium,3.07,1562,0.0,42,10
25,gpt-4.1-mini,behind-right,in-front-left,0,medium,3.25,1581,0.0,42,10
26,gpt-4.1-mini,behind-right,in-front-right,0,medium,4.53,1731,0.0,42,10
27,gpt-4.1-mini,behind-right,behind-right,1,medium,3.69,1582,0.0,42,10
28,gpt-4.1-mini,behind-right,behind-right,1,medium,4.67,1814,0.0,42,10
29,gpt-4.1-mini,behind-right,in-front-left,0,medium,5.37,1831,0.0,42,10
30,gpt-4.1-mini,behind-right,behind-left,0,medium,6.35,1875,0.0,42,10
31,gpt-4.1-mini,behind-right,behind-right,1,medium,3.78,1587,0.0,42,10
32,gpt-4.1-mini,behind-right,behind-right,1,medium,3.63,1646,0.0,42,10
33,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.48,1513,0.0,42,10
34,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.87,1519,0.0,42,10
35,gpt-4.1-mini,behind-right,behind-right,1,medium,4.15,1682,0.0,42,10
36,gpt-4.1-mini,behind-right,behind-left,0,medium,3.88,1665,0.0,42,10
37,gpt-4.1-mini,behind-right,behind-left,0,medium,2.97,1517,0.0,42,10
38,gpt-4.1-mini,behind-right,behind-right,1,medium,2.00,1404,0.0,42,10
39,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.63,1488,0.0,42,10
40,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.06,1418,0.0,42,10
41,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.39,1493,0.0,42,10
42,gpt-4.1-mini,behind-right,behind-right,1,medium,2.54,1500,0.0,42,10
43,gpt-4.1-mini,behind-right,behind-right,1,medium,5.38,1786,0.0,42,10
44,gpt-4.1-mini,behind-right,behind-right,1,medium,2.92,1519,0.0,42,10
45,gpt-4.1-mini,behind-right,behind-right,1,medium,2.93,1538,0.0,42,10
46,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.36,1443,0.0,42,10
47,gpt-4.1-mini,behind-right,behind-left,0,medium,7.26,2140,0.0,42,10
48,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.61,1494,0.0,42,10
49,gpt-4.1-mini,behind-right,behind-right,1,medium,6.28,1907,0.0,42,10
50,gpt-4.1-mini,behind-right,behind-left,0,medium,4.67,1685,0.0,42,10
51,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.85,1524,0.0,42,10
52,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.73,1498,0.0,42,10
53,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.81,1554,0.0,42,10
54,gpt-4.1-mini,in-front-left,in-front-left,1,medium,2.67,1523,0.0,42,10
55,gpt-4.1-mini,in-front-left,in-front-left,1,medium,2.46,1493,0.0,42,10
56,gpt-4.1-mini,in-front-left,behind-left,0,medium,2.50,1500,0.0,42,10
57,gpt-4.1-mini,in-front-left,behind-right,0,medium,4.08,1545,0.0,42,10
58,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.39,1439,0.0,42,10
59,gpt-4.1-mini,in-front-left,in-front-left,1,medium,2.33,1458,0.0,42,10
60,gpt-4.1-mini,in-front-left,behind-right,0,medium,3.90,1642,0.0,42,10
61,gpt-4.1-mini,in-front-left,behind-left,0,medium,2.62,1498,0.0,42,10
62,gpt-4.1-mini,in-front-left,in-front-left,1,medium,3.52,1573,0.0,42,10
63,gpt-4.1-mini,in-front-left,behind-left,0,medium,2.37,1447,0.0,42,10
64,gpt-4.1-mini,in-front-left,in-front-right,0,medium,4.00,1695,0.0,42,10
65,gpt-4.1-mini,in-front-left,in-front-left,1,medium,4.79,1793,0.0,42,10
