prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,behind-right,in-front,0,medium,4.41,10
2,gpt-4.1,behind-right,behind,0,medium,6.10,10
3,gpt-4.1,behind-right,in-front,0,medium,3.55,10
4,gpt-4.1,behind-right,in-front,0,medium,7.83,10
5,gpt-4.1,behind-right,in-front-left,0,medium,8.18,10
6,gpt-4.1,behind-right,left,0,medium,6.66,10
7,gpt-4.1,behind-right,in-front,0,medium,6.03,10
8,gpt-4.1,behind-right,behind,0,medium,5.13,10
9,gpt-4.1,behind-right,in-front,0,medium,8.18,10
10,gpt-4.1,behind-right,in-front,0,medium,10.09,10
11,gpt-4.1,behind-right,in-front,0,medium,2.46,10
12,gpt-4.1,behind-right,in-front,0,medium,3.47,10
13,gpt-4.1,behind-right,behind,0,medium,4.67,10
14,gpt-4.1,behind-right,behind,0,medium,4.20,10
15,gpt-4.1,behind-right,left,0,medium,4.15,10
16,gpt-4.1,behind-right,in-front-right,0,medium,6.08,10
17,gpt-4.1,behind-right,behind,0,medium,4.51,10
18,gpt-4.1,behind-right,right,0,medium,2.20,10
19,gpt-4.1,behind-right,left,0,medium,5.57,10
20,gpt-4.1,behind-right,in-front,0,medium,6.46,10
21,gpt-4.1,behind-right,in-front-right,0,medium,5.73,10
22,gpt-4.1,behind-right,in-front-left,0,medium,7.97,10
23,gpt-4.1,behind-right,right,0,medium,3.67,10
24,gpt-4.1,behind-right,in-front-left,0,medium,7.28,10
25,gpt-4.1,behind-right,in-front,0,medium,9.87,10
26,gpt-4.1,behind-right,in-front,0,medium,6.25,10
27,gpt-4.1,behind-right,in-front,0,medium,5.21,10
28,gpt-4.1,behind-right,in-front-left,0,medium,7.32,10
29,gpt-4.1,behind-right,in-front,0,medium,3.19,10
30,gpt-4.1,behind-right,in-front-left,0,medium,5.46,10
31,gpt-4.1,behind-right,in-front,0,medium,2.42,10
32,gpt-4.1,behind-right,right,0,medium,2.10,10
33,gpt-4.1,behind-right,in-front,0,medium,3.13,10
34,gpt-4.1,behind-right,behind,0,medium,4.91,10
35,gpt-4.1,behind-right,in-front,0,medium,5.28,10
36,gpt-4.1,behind-right,in-front,0,medium,7.89,10
37,gpt-4.1,behind-right,in-front,0,medium,6.90,10
38,gpt-4.1,behind-right,left,0,medium,6.09,10
39,gpt-4.1,behind-right,in-front,0,medium,6.14,10
40,gpt-4.1,behind-right,in-front-right,0,medium,9.25,10
41,gpt-4.1,behind-right,in-front-left,0,medium,6.63,10
42,gpt-4.1,behind-right,in-front-left,0,medium,5.02,10
43,gpt-4.1,behind-right,in-front,0,medium,10.75,10
44,gpt-4.1,behind-right,in-front,0,medium,7.58,10
45,gpt-4.1,behind-right,in-front-left,0,medium,5.22,10
46,gpt-4.1,behind-right,in-front,0,medium,7.68,10
47,gpt-4.1,behind-right,in-front-left,0,medium,10.66,10
48,gpt-4.1,behind-right,in-front,0,medium,3.53,10
49,gpt-4.1,behind-right,in-front,0,medium,3.79,10
50,gpt-4.1,behind-right,in-front,0,medium,3.89,10
51,gpt-4.1,in-front-left,in-front,0,medium,6.49,10
52,gpt-4.1,in-front-left,right,0,medium,6.05,10
53,gpt-4.1,in-front-left,behind,0,medium,5.42,10
54,gpt-4.1,in-front-left,in-front,0,medium,3.30,10
55,gpt-4.1,in-front-left,behind,0,medium,5.60,10
56,gpt-4.1,in-front-left,in-front,0,medium,4.18,10
57,gpt-4.1,in-front-left,in-front,0,medium,6.27,10
58,gpt-4.1,in-front-left,behind,0,medium,6.76,10
59,gpt-4.1,in-front-left,right,0,medium,3.86,10
60,gpt-4.1,in-front-left,behind,0,medium,4.65,10
61,gpt-4.1,in-front-left,behind,0,medium,8.08,10
62,gpt-4.1,in-front-left,in-front-right,0,medium,6.55,10
63,gpt-4.1,in-front-left,behind,0,medium,7.28,10
64,gpt-4.1,in-front-left,behind,0,medium,6.45,10
65,gpt-4.1,in-front-left,behind,0,medium,6.85,10
66,gpt-4.1,in-front-left,behind,0,medium,4.44,10
67,gpt-4.1,in-front-left,in-front,0,medium,5.19,10
68,gpt-4.1,in-front-left,right,0,medium,7.15,10
69,gpt-4.1,in-front-left,right,0,medium,9.44,10
70,gpt-4.1,in-front-left,right,0,medium,3.85,10
71,gpt-4.1,in-front-left,right,0,medium,6.03,10
72,gpt-4.1,in-front-left,behind,0,medium,16.24,10
73,gpt-4.1,in-front-left,behind,0,medium,7.58,10
74,gpt-4.1,in-front-left,right,0,medium,5.49,10
75,gpt-4.1,in-front-left,left,0,medium,6.29,10
76,gpt-4.1,in-front-left,in-front,0,medium,6.21,10
77,gpt-4.1,in-front-left,behind,0,medium,7.18,10
78,gpt-4.1,in-front-left,in-front-right,0,medium,8.13,10
79,gpt-4.1,in-front-left,behind,0,medium,4.51,10
80,gpt-4.1,in-front-left,behind,0,medium,6.13,10
81,gpt-4.1,in-front-left,behind,0,medium,4.71,10
82,gpt-4.1,in-front-left,left,0,medium,6.95,10
83,gpt-4.1,in-front-left,in-front-left,1,medium,5.53,10
84,gpt-4.1,in-front-left,behind,0,medium,9.12,10
85,gpt-4.1,in-front-left,behind,0,medium,5.20,10
86,gpt-4.1,in-front-left,behind,0,medium,6.16,10
87,gpt-4.1,in-front-left,in-front,0,medium,3.79,10
88,gpt-4.1,in-front-left,right,0,medium,5.29,10
89,gpt-4.1,in-front-left,in-front,0,medium,7.62,10
90,gpt-4.1,in-front-left,behind,0,medium,4.28,10
91,gpt-4.1,in-front-left,in-front,0,medium,3.15,10
92,gpt-4.1,in-front-left,behind,0,medium,11.62,10
93,gpt-4.1,in-front-left,behind,0,medium,7.27,10
94,gpt-4.1,in-front-left,behind,0,medium,10.03,10
95,gpt-4.1,in-front-left,in-front-right,0,medium,6.17,10
96,gpt-4.1,in-front-left,in-front-right,0,medium,5.00,10
97,gpt-4.1,in-front-left,in-front-right,0,medium,5.62,10
98,gpt-4.1,in-front-left,right,0,medium,7.41,10
99,gpt-4.1,in-front-left,in-front,0,medium,6.26,10
100,gpt-4.1,in-front-left,behind,0,medium,5.24,10
101,gpt-4.1,in-front-right,behind,0,medium,6.79,10
102,gpt-4.1,in-front-right,behind,0,medium,6.84,10
103,gpt-4.1,in-front-right,in-front-right,1,medium,8.73,10
104,gpt-4.1,in-front-right,in-front-right,1,medium,10.74,10
105,gpt-4.1,in-front-right,in-front-left,0,medium,6.57,10
106,gpt-4.1,in-front-right,in-front,0,medium,5.33,10
107,gpt-4.1,in-front-right,behind,0,medium,4.35,10
108,gpt-4.1,in-front-right,in-front,0,medium,3.11,10
109,gpt-4.1,in-front-right,right,0,medium,3.25,10
110,gpt-4.1,in-front-right,right,0,medium,3.48,10
111,gpt-4.1,in-front-right,in-front-left,0,medium,8.04,10
112,gpt-4.1,in-front-right,in-front,0,medium,3.74,10
113,gpt-4.1,in-front-right,in-front,0,medium,4.97,10
114,gpt-4.1,in-front-right,in-front,0,medium,4.59,10
115,gpt-4.1,in-front-right,right,0,medium,3.35,10
116,gpt-4.1,in-front-right,in-front,0,medium,7.42,10
117,gpt-4.1,in-front-right,in-front-left,0,medium,8.60,10
118,gpt-4.1,in-front-right,in-front,0,medium,10.96,10
119,gpt-4.1,in-front-right,behind,0,medium,6.35,10
120,gpt-4.1,in-front-right,left,0,medium,3.54,10
121,gpt-4.1,in-front-right,in-front-left,0,medium,12.19,10
122,gpt-4.1,in-front-right,behind,0,medium,6.74,10
123,gpt-4.1,in-front-right,in-front-right,1,medium,14.42,10
124,gpt-4.1,in-front-right,behind,0,medium,5.49,10
125,gpt-4.1,in-front-right,behind,0,medium,12.40,10
126,gpt-4.1,in-front-right,in-front-right,1,medium,5.32,10
127,gpt-4.1,in-front-right,behind,0,medium,6.75,10
128,gpt-4.1,in-front-right,left,0,medium,8.10,10
129,gpt-4.1,in-front-right,in-front-left,0,medium,7.75,10
130,gpt-4.1,in-front-right,in-front,0,medium,6.97,10
131,gpt-4.1,in-front-right,in-front-left,0,medium,8.21,10
132,gpt-4.1,in-front-right,in-front,0,medium,5.24,10
133,gpt-4.1,in-front-right,behind,0,medium,3.01,10
134,gpt-4.1,in-front-right,in-front-left,0,medium,4.86,10
135,gpt-4.1,in-front-right,behind,0,medium,5.03,10
136,gpt-4.1,in-front-right,in-front-right,1,medium,6.30,10
137,gpt-4.1,in-front-right,in-front-left,0,medium,7.01,10
138,gpt-4.1,in-front-right,in-front,0,medium,3.13,10
139,gpt-4.1,in-front-right,in-front-left,0,medium,4.09,10
140,gpt-4.1,in-front-right,behind,0,medium,8.75,10
141,gpt-4.1,in-front-right,behind,0,medium,10.24,10
142,gpt-4.1,in-front-right,in-front-left,0,medium,6.04,10
