prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemma3:4b,behind-right,right,0,medium,3.44,10
2,gemma3:4b,behind-right,behind,0,medium,2.48,10
3,gemma3:4b,behind-right,in-front-right,0,medium,2.34,10
4,gemma3:4b,behind-right,right,0,medium,6.14,10
5,gemma3:4b,behind-right,behind,0,medium,9.94,10
6,gemma3:4b,behind-right,in-front-right,0,medium,2.54,10
7,gemma3:4b,behind-right,in-front-left,0,medium,5.77,10
8,gemma3:4b,behind-right,in-front-right,0,medium,8.44,10
9,gemma3:4b,behind-right,in-front-right,0,medium,2.46,10
10,gemma3:4b,behind-right,behind,0,medium,18.59,10
11,gemma3:4b,behind-right,behind,0,medium,7.28,10
12,gemma3:4b,behind-right,left,0,medium,12.62,10
13,gemma3:4b,behind-right,in-front-right,0,medium,6.76,10
14,gemma3:4b,behind-right,in-front-right,0,medium,6.73,10
15,gemma3:4b,behind-right,in-front-right,0,medium,8.35,10
16,gemma3:4b,behind-right,behind,0,medium,7.18,10
17,gemma3:4b,behind-right,behind,0,medium,13.77,10
18,gemma3:4b,behind-right,behind,0,medium,10.92,10
19,gemma3:4b,behind-right,in-front-right,0,medium,18.93,10
20,gemma3:4b,behind-right,behind,0,medium,18.34,10
21,gemma3:4b,behind-right,in-front,0,medium,2.94,10
22,gemma3:4b,behind-right,left,0,medium,2.35,10
23,gemma3:4b,behind-right,behind,0,medium,2.96,10
24,gemma3:4b,behind-right,in-front,0,medium,5.93,10
25,gemma3:4b,behind-right,right,0,medium,13.35,10
26,gemma3:4b,behind-right,right,0,medium,2.11,10
27,gemma3:4b,behind-right,behind,0,medium,2.33,10
28,gemma3:4b,behind-right,behind,0,medium,4.33,10
29,gemma3:4b,behind-right,in-front-left,0,medium,8.23,10
30,gemma3:4b,behind-right,in-front-left,0,medium,6.80,10
31,gemma3:4b,behind-right,in-front-right,0,medium,2.18,10
32,gemma3:4b,behind-right,right,0,medium,6.63,10
33,gemma3:4b,behind-right,left,0,medium,4.25,10
34,gemma3:4b,behind-right,behind,0,medium,3.45,10
35,gemma3:4b,behind-right,behind,0,medium,6.85,10
36,gemma3:4b,behind-right,in-front-right,0,medium,2.20,10
37,gemma3:4b,behind-right,behind,0,medium,2.83,10
38,gemma3:4b,behind-right,behind,0,medium,2.88,10
39,gemma3:4b,behind-right,in-front-left,0,medium,7.46,10
40,gemma3:4b,behind-right,behind,0,medium,9.47,10
41,gemma3:4b,behind-right,behind,0,medium,2.15,10
42,gemma3:4b,behind-right,in-front-right,0,medium,2.09,10
43,gemma3:4b,behind-right,in-front-left,0,medium,2.86,10
44,gemma3:4b,behind-right,in-front-left,0,medium,2.96,10
45,gemma3:4b,behind-right,in-front-right,0,medium,6.84,10
46,gemma3:4b,behind-right,in-front-right,0,medium,4.17,10
47,gemma3:4b,behind-right,behind,0,medium,6.80,10
48,gemma3:4b,behind-right,in-front-right,0,medium,14.29,10
49,gemma3:4b,behind-right,left,0,medium,2.33,10
50,gemma3:4b,behind-right,in-front,0,medium,6.91,10
