prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.62,1559,0.0,42,10
2,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.53,1458,0.0,42,10
3,gpt-4.1-mini,behind-left,right,0,high,5.40,1952,0.0,42,10
4,gpt-4.1-mini,behind-left,right,0,high,3.43,1619,0.0,42,10
5,gpt-4.1-mini,behind-left,right,0,high,5.09,2058,0.0,42,10
6,gpt-4.1-mini,behind-left,right,0,high,4.06,1770,0.0,42,10
7,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.60,1615,0.0,42,10
8,gpt-4.1-mini,behind-left,right,0,high,3.82,1682,0.0,42,10
9,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.90,1433,0.0,42,10
10,gpt-4.1-mini,behind-left,behind,0,high,2.78,1544,0.0,42,10
11,gpt-4.1-mini,behind-left,right,0,high,2.91,1624,0.0,42,10
12,gpt-4.1-mini,behind-left,right,0,high,3.47,1684,0.0,42,10
13,gpt-4.1-mini,behind-left,left,0,high,2.73,1589,0.0,42,10
14,gpt-4.1-mini,behind-left,right,0,high,8.44,2441,0.0,42,10
15,gpt-4.1-mini,behind-left,left,0,high,2.93,1581,0.0,42,10
16,gpt-4.1-mini,behind-left,right,0,high,4.14,1675,0.0,42,10
17,gpt-4.1-mini,behind-left,behind,0,high,4.06,1607,0.0,42,10
18,gpt-4.1-mini,behind-left,left,0,high,10.81,1998,0.0,42,10
19,gpt-4.1-mini,behind-left,left,0,high,5.29,1926,0.0,42,10
20,gpt-4.1-mini,behind-left,right,0,high,5.03,1887,0.0,42,10
21,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.53,1637,0.0,42,10
22,gpt-4.1-mini,behind-left,right,0,high,5.12,1930,0.0,42,10
23,gpt-4.1-mini,behind-left,right,0,high,4.65,1826,0.0,42,10
24,gpt-4.1-mini,behind-left,left,0,high,4.09,1772,0.0,42,10
25,gpt-4.1-mini,behind-left,right,0,high,2.83,1535,0.0,42,10
26,gpt-4.1-mini,behind-left,left,0,high,5.95,2084,0.0,42,10
27,gpt-4.1-mini,behind-left,left,0,high,3.28,1662,0.0,42,10
