prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gpt-4.1,behind-left,incorrect prompt,0,high,2.95,1534,0.0,42,10
2,gpt-4.1,behind-left,incorrect-prompt,0,high,2.78,1544,0.0,42,10
3,gpt-4.1,behind-left,behind-left,1,high,6.44,1847,0.0,42,10
4,gpt-4.1,behind-left,behind-left,1,high,5.15,1645,0.0,42,10
5,gpt-4.1,behind-left,incorrect-prompt,0,high,2.34,1601,0.0,42,10
6,gpt-4.1,behind-left,behind-right,0,high,6.31,1758,0.0,42,10
7,gpt-4.1,behind-left,incorrect prompt,0,high,1.98,1464,0.0,42,10
8,gpt-4.1,behind-left,behind-left,1,high,7.93,1831,0.0,42,10
9,gpt-4.1,behind-left,incorrect prompt,0,high,2.15,1418,0.0,42,10
10,gpt-4.1,behind-left,incorrect prompt,0,high,1.38,1322,0.0,42,10
11,gpt-4.1,behind-left,incorrect-prompt,0,high,2.15,1405,0.0,42,10
12,gpt-4.1,behind-left,behind-left,1,high,5.06,1670,0.0,42,10
13,gpt-4.1,behind-left,behind-left,1,high,5.32,1795,0.0,42,10
14,gpt-4.1,behind-left,incorrect prompt,0,high,3.12,1551,0.0,42,10
15,gpt-4.1,behind-left,incorrect prompt,0,high,1.58,1349,0.0,42,10
16,gpt-4.1,behind-left,in-front-left,0,high,5.44,1746,0.0,42,10
17,gpt-4.1,behind-left,behind-left,1,high,5.18,1606,0.0,42,10
18,gpt-4.1,behind-left,in-front-left,0,high,11.10,2019,0.0,42,10
19,gpt-4.1,behind-left,behind-right,0,high,6.96,1920,0.0,42,10
20,gpt-4.1,behind-left,incorrect-prompt,0,high,3.54,1577,0.0,42,10
21,gpt-4.1,behind-left,incorrect prompt,0,high,4.20,1678,0.0,42,10
22,gpt-4.1,behind-left,behind-left,1,high,6.10,1833,0.0,42,10
23,gpt-4.1,behind-left,behind-left,1,high,5.92,1733,0.0,42,10
24,gpt-4.1,behind-left,behind-left,1,high,4.98,1682,0.0,42,10
25,gpt-4.1,behind-left,behind-left,1,high,3.64,1545,0.0,42,10
26,gpt-4.1,behind-left,behind-left,1,high,5.21,1745,0.0,42,10
27,gpt-4.1,behind-left,in-front-left,0,high,4.06,1618,0.0,42,10
28,gpt-4.1,behind-left,behind-right,0,high,6.60,2095,0.0,42,10
29,gpt-4.1,behind-left,behind-left,1,high,3.74,1581,0.0,42,10
30,gpt-4.1,behind-left,incorrect-prompt,0,high,3.01,1545,0.0,42,10
31,gpt-4.1,behind-left,incorrect prompt,0,high,2.50,1517,0.0,42,10
32,gpt-4.1,behind-left,behind-left,1,high,4.83,1707,0.0,42,10
33,gpt-4.1,behind-left,incorrect-prompt,0,high,3.51,1670,0.0,42,10
34,gpt-4.1,behind-left,behind-left,1,high,4.31,1609,0.0,42,10
35,gpt-4.1,behind-left,incorrect-prompt,0,high,7.19,1999,0.0,42,10
36,gpt-4.1,behind-left,behind-left,1,high,3.68,1652,0.0,42,10
37,gpt-4.1,behind-left,in-front-left,0,high,5.43,1721,0.0,42,10
38,gpt-4.1,behind-left,in-front-left,0,high,4.14,1653,0.0,42,10
39,gpt-4.1,behind-left,incorrect prompt,0,high,3.08,1662,0.0,42,10
40,gpt-4.1,behind-left,incorrect prompt,0,high,2.25,1520,0.0,42,10
41,gpt-4.1,behind-left,incorrect-prompt,0,high,2.47,1420,0.0,42,10
42,gpt-4.1,behind-left,behind-left,1,high,6.37,1893,0.0,42,10
43,gpt-4.1,behind-left,incorrect-prompt,0,high,2.81,1447,0.0,42,10
44,gpt-4.1,behind-left,incorrect-prompt,0,high,3.02,1553,0.0,42,10
45,gpt-4.1,behind-left,in-front-right,0,high,9.68,2147,0.0,42,10
46,gpt-4.1,behind-left,incorrect prompt,0,high,2.18,1472,0.0,42,10
47,gpt-4.1,behind-left,behind-left,1,high,5.86,1931,0.0,42,10
48,gpt-4.1,behind-left,behind-right,0,high,5.94,1904,0.0,42,10
49,gpt-4.1,behind-left,incorrect-prompt,0,high,1.50,1339,0.0,42,10
50,gpt-4.1,behind-left,behind-left,1,high,10.73,2304,0.0,42,10
51,gpt-4.1,in-front-left,incorrect-prompt,0,high,4.87,1855,0.0,42,10
52,gpt-4.1,in-front-left,in-front-right,0,high,7.93,2049,0.0,42,10
53,gpt-4.1,in-front-left,in-front-left,1,high,5.69,1786,0.0,42,10
54,gpt-4.1,in-front-left,incorrect-prompt,0,high,2.72,1499,0.0,42,10
55,gpt-4.1,in-front-left,in-front-left,1,high,4.70,1724,0.0,42,10
56,gpt-4.1,in-front-left,incorrect-prompt,0,high,1.65,1363,0.0,42,10
57,gpt-4.1,in-front-left,in-front-left,1,high,3.79,1593,0.0,42,10
58,gpt-4.1,in-front-left,in-front-left,1,high,6.91,1921,0.0,42,10
59,gpt-4.1,in-front-left,incorrect-prompt,0,high,5.04,1736,0.0,42,10
60,gpt-4.1,in-front-left,in-front-left,1,high,3.89,1567,0.0,42,10
61,gpt-4.1,in-front-left,in-front-right,0,high,8.04,1998,0.0,42,10
62,gpt-4.1,in-front-left,incorrect-prompt,0,high,2.03,1453,0.0,42,10
63,gpt-4.1,in-front-left,incorrect prompt,0,high,6.60,1753,0.0,42,10
64,gpt-4.1,in-front-left,in-front-left,1,high,4.20,1603,0.0,42,10
65,gpt-4.1,in-front-left,in-front-left,1,high,6.56,1679,0.0,42,10
66,gpt-4.1,in-front-left,incorrect-prompt,0,high,3.23,1461,0.0,42,10
67,gpt-4.1,in-front-left,in-front-right,0,high,6.50,2063,0.0,42,10
68,gpt-4.1,in-front-left,incorrect prompt,0,high,1.59,1368,0.0,42,10
69,gpt-4.1,in-front-left,incorrect prompt,0,high,2.46,1446,0.0,42,10
