prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.62,10
2,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.53,10
3,gpt-4.1-mini,behind-left,right,0,high,5.40,10
4,gpt-4.1-mini,behind-left,right,0,high,3.43,10
5,gpt-4.1-mini,behind-left,right,0,high,5.09,10
6,gpt-4.1-mini,behind-left,right,0,high,4.06,10
7,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.60,10
8,gpt-4.1-mini,behind-left,right,0,high,3.82,10
9,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.90,10
10,gpt-4.1-mini,behind-left,behind,0,high,2.78,10
11,gpt-4.1-mini,behind-left,right,0,high,2.91,10
12,gpt-4.1-mini,behind-left,right,0,high,3.47,10
13,gpt-4.1-mini,behind-left,left,0,high,2.73,10
14,gpt-4.1-mini,behind-left,right,0,high,8.44,10
15,gpt-4.1-mini,behind-left,left,0,high,2.93,10
16,gpt-4.1-mini,behind-left,right,0,high,4.14,10
17,gpt-4.1-mini,behind-left,behind,0,high,4.06,10
18,gpt-4.1-mini,behind-left,left,0,high,10.81,10
19,gpt-4.1-mini,behind-left,left,0,high,5.29,10
20,gpt-4.1-mini,behind-left,right,0,high,5.03,10
21,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.53,10
22,gpt-4.1-mini,behind-left,right,0,high,5.12,10
23,gpt-4.1-mini,behind-left,right,0,high,4.65,10
24,gpt-4.1-mini,behind-left,left,0,high,4.09,10
25,gpt-4.1-mini,behind-left,right,0,high,2.83,10
26,gpt-4.1-mini,behind-left,left,0,high,5.95,10
27,gpt-4.1-mini,behind-left,left,0,high,3.28,10
28,gpt-4.1-mini,behind-left,right,0,high,5.75,10
29,gpt-4.1-mini,behind-left,behind,0,high,3.31,10
30,gpt-4.1-mini,behind-left,right,0,high,7.06,10
31,gpt-4.1-mini,behind-left,right,0,high,4.47,10
32,gpt-4.1-mini,behind-left,left,0,high,2.78,10
33,gpt-4.1-mini,behind-left,incorrect prompt,0,high,4.72,10
34,gpt-4.1-mini,behind-left,behind,0,high,3.18,10
35,gpt-4.1-mini,behind-left,incorrect prompt,0,high,5.73,10
36,gpt-4.1-mini,behind-left,right,0,high,3.08,10
37,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.59,10
38,gpt-4.1-mini,behind-left,left,0,high,4.05,10
39,gpt-4.1-mini,behind-left,incorrect prompt,0,high,3.39,10
40,gpt-4.1-mini,behind-left,left,0,high,4.80,10
41,gpt-4.1-mini,behind-left,right,0,high,3.27,10
42,gpt-4.1-mini,behind-left,left,0,high,4.72,10
43,gpt-4.1-mini,behind-left,left,0,high,3.99,10
44,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.85,10
45,gpt-4.1-mini,behind-left,left,0,high,5.13,10
46,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.92,10
47,gpt-4.1-mini,behind-left,right,0,high,3.84,10
48,gpt-4.1-mini,behind-left,left,0,high,4.09,10
49,gpt-4.1-mini,behind-left,left,0,high,3.28,10
50,gpt-4.1-mini,behind-left,right,0,high,7.62,10
51,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,3.75,10
52,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,4.81,10
53,gpt-4.1-mini,in-front-left,right,0,high,3.89,10
54,gpt-4.1-mini,in-front-left,left,0,high,4.32,10
55,gpt-4.1-mini,in-front-left,right,0,high,3.03,10
56,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.11,10
57,gpt-4.1-mini,in-front-left,right,0,high,3.73,10
58,gpt-4.1-mini,in-front-left,right,0,high,3.19,10
59,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,3.78,10
60,gpt-4.1-mini,in-front-left,right,0,high,2.71,10
61,gpt-4.1-mini,in-front-left,right,0,high,5.42,10
62,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.43,10
63,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.61,10
64,gpt-4.1-mini,in-front-left,left,0,high,2.25,10
65,gpt-4.1-mini,in-front-left,left,0,high,3.56,10
66,gpt-4.1-mini,in-front-left,left,0,high,3.72,10
67,gpt-4.1-mini,in-front-left,right,0,high,3.93,10
68,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.22,10
69,gpt-4.1-mini,in-front-left,right,0,high,3.74,10
70,gpt-4.1-mini,in-front-left,left,0,high,3.67,10
71,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,3.03,10
72,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,3.30,10
73,gpt-4.1-mini,in-front-left,left,0,high,3.51,10
74,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,5.07,10
75,gpt-4.1-mini,in-front-left,left,0,high,3.08,10
76,gpt-4.1-mini,in-front-left,right,0,high,5.15,10
77,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,2.08,10
