prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,o4-mini,behind-left,behind-left,1,high,21.52,2384,0.0,42,10
2,o4-mini,behind-left,behind-left,1,high,25.20,3451,0.0,42,10
3,o4-mini,behind-left,behind-left,1,high,21.82,3051,0.0,42,10
4,o4-mini,behind-left,behind-left,1,high,14.57,2358,0.0,42,10
5,o4-mini,behind-left,behind-left,1,high,26.95,3447,0.0,42,10
6,o4-mini,behind-left,left,0,high,28.91,3332,0.0,42,10
7,o4-mini,behind-left,left,0,high,44.92,4405,0.0,42,10
8,o4-mini,behind-left,behind-left,1,high,15.26,2931,0.0,42,10
9,o4-mini,behind-left,behind-left,1,high,9.86,1889,0.0,42,10
10,o4-mini,behind-left,behind-left,1,high,16.27,2978,0.0,42,10
11,o4-mini,behind-left,behind-left,1,high,9.23,2283,0.0,42,10
12,o4-mini,behind-left,behind-left,1,high,11.43,2669,0.0,42,10
13,o4-mini,behind-left,behind-left,1,high,14.40,2149,0.0,42,10
14,o4-mini,behind-left,behind-left,1,high,22.72,3680,0.0,42,10
15,o4-mini,behind-left,behind-left,1,high,12.99,1963,0.0,42,10
16,o4-mini,behind-left,behind-left,1,high,20.20,2419,0.0,42,10
17,o4-mini,behind-left,behind-left,1,high,12.47,1888,0.0,42,10
18,o4-mini,behind-left,behind-left,1,high,20.85,2466,0.0,42,10
19,o4-mini,behind-left,behind-left,1,high,33.71,3181,0.0,42,10
20,o4-mini,behind-left,behind-left,1,high,14.46,2777,0.0,42,10
21,o4-mini,behind-left,behind-left,1,high,21.98,3272,0.0,42,10
22,o4-mini,behind-left,behind-left,1,high,17.32,3090,0.0,42,10
23,o4-mini,behind-left,behind-left,1,high,10.22,2284,0.0,42,10
24,o4-mini,behind-left,behind-left,1,high,12.54,2687,0.0,42,10
25,o4-mini,behind-left,behind-left,1,high,10.58,1707,0.0,42,10
26,o4-mini,behind-left,behind-left,1,high,35.71,3095,0.0,42,10
27,o4-mini,behind-left,behind-left,1,high,11.78,2238,0.0,42,10
28,o4-mini,behind-left,behind-left,1,high,13.40,2874,0.0,42,10
29,o4-mini,behind-left,behind-left,1,high,7.16,1909,0.0,42,10
30,o4-mini,behind-left,behind-left,1,high,20.69,3562,0.0,42,10
31,o4-mini,behind-left,behind-left,1,high,9.42,2173,0.0,42,10
