prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemini-2.5-flash,behind-right,behind,0,low,5.00,10
2,gemini-2.5-flash,behind-right,behind,0,low,2.23,10
3,gemini-2.5-flash,behind-right,behind,0,low,2.16,10
4,gemini-2.5-flash,behind-right,in-front,0,low,4.95,10
5,gemini-2.5-flash,behind-right,behind,0,low,3.64,10
6,gemini-2.5-flash,behind-right,behind,0,low,2.15,10
7,gemini-2.5-flash,behind-right,behind,0,low,3.79,10
8,gemini-2.5-flash,behind-right,behind,0,low,4.31,10
9,gemini-2.5-flash,behind-right,behind,0,low,2.66,10
10,gemini-2.5-flash,behind-right,behind,0,low,1.60,10
11,gemini-2.5-flash,behind-right,behind,0,low,2.17,10
12,gemini-2.5-flash,behind-right,behind,0,low,2.58,10
13,gemini-2.5-flash,behind-right,behind,0,low,4.08,10
14,gemini-2.5-flash,behind-right,behind,0,low,3.49,10
15,gemini-2.5-flash,behind-right,in-front-right,0,low,2.89,10
16,gemini-2.5-flash,behind-right,behind,0,low,3.00,10
17,gemini-2.5-flash,behind-right,behind,0,low,3.03,10
18,gemini-2.5-flash,behind-right,behind,0,low,4.20,10
19,gemini-2.5-flash,behind-right,behind,0,low,2.18,10
20,gemini-2.5-flash,behind-right,behind,0,low,2.11,10
21,gemini-2.5-flash,behind-right,behind,0,low,1.73,10
22,gemini-2.5-flash,behind-right,behind,0,low,1.81,10
23,gemini-2.5-flash,behind-right,behind,0,low,1.92,10
24,gemini-2.5-flash,behind-right,behind,0,low,2.22,10
25,gemini-2.5-flash,behind-right,behind,0,low,2.34,10
26,gemini-2.5-flash,behind-right,behind,0,low,2.91,10
27,gemini-2.5-flash,behind-right,behind,0,low,1.98,10
28,gemini-2.5-flash,behind-right,behind,0,low,2.58,10
29,gemini-2.5-flash,behind-right,behind,0,low,3.15,10
30,gemini-2.5-flash,behind-right,behind,0,low,2.38,10
31,gemini-2.5-flash,behind-right,behind,0,low,5.07,10
32,gemini-2.5-flash,behind-right,behind,0,low,2.66,10
33,gemini-2.5-flash,behind-right,behind,0,low,3.04,10
34,gemini-2.5-flash,behind-right,behind,0,low,2.66,10
35,gemini-2.5-flash,behind-right,behind,0,low,3.40,10
36,gemini-2.5-flash,behind-right,behind,0,low,3.23,10
37,gemini-2.5-flash,behind-right,in-front-right,0,low,2.23,10
38,gemini-2.5-flash,behind-right,behind,0,low,2.37,10
39,gemini-2.5-flash,behind-right,behind,0,low,2.45,10
40,gemini-2.5-flash,behind-right,behind,0,low,1.61,10
41,gemini-2.5-flash,behind-right,behind,0,low,4.33,10
42,gemini-2.5-flash,behind-right,behind,0,low,2.42,10
43,gemini-2.5-flash,behind-right,behind,0,low,2.18,10
44,gemini-2.5-flash,behind-right,in-front-right,0,low,1.82,10
45,gemini-2.5-flash,behind-right,behind,0,low,2.63,10
46,gemini-2.5-flash,behind-right,behind,0,low,2.33,10
47,gemini-2.5-flash,behind-right,behind,0,low,1.70,10
48,gemini-2.5-flash,behind-right,behind,0,low,30.78,10
49,gemini-2.5-flash,behind-right,behind,0,low,2.05,10
50,gemini-2.5-flash,behind-right,behind,0,low,2.68,10
51,gemini-2.5-flash,in-front-right,in-front-right,1,low,1.74,10
52,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.21,10
53,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.09,10
54,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.57,10
55,gemini-2.5-flash,in-front-right,in-front-right,1,low,1.82,10
56,gemini-2.5-flash,in-front-right,in-front-right,1,low,4.19,10
57,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.48,10
58,gemini-2.5-flash,in-front-right,in-front-right,1,low,3.38,10
59,gemini-2.5-flash,in-front-right,in-front,0,low,6.04,10
60,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.49,10
61,gemini-2.5-flash,in-front-right,in-front-right,1,low,3.37,10
62,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.63,10
63,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.28,10
64,gemini-2.5-flash,in-front-right,in-front-right,1,low,3.72,10
65,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.63,10
66,gemini-2.5-flash,in-front-right,in-front-right,1,low,2.80,10
67,gemini-2.5-flash,in-front-right,in-front-right,1,low,1.91,10
