prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,behind-right,in-front,0,low,5.16,5
2,deepSeek-v3,behind-right,left,0,low,41.12,5
3,deepSeek-v3,behind-right,left,0,low,3.59,5
4,deepSeek-v3,behind-right,behind,0,low,29.04,5
5,deepSeek-v3,behind-right,right,0,low,5.55,5
6,deepSeek-v3,behind-right,behind,0,low,5.91,5
7,deepSeek-v3,behind-right,behind,0,low,2.95,5
8,deepSeek-v3,behind-right,right,0,low,3.38,5
9,deepSeek-v3,behind-right,behind,0,low,3.22,5
10,deepSeek-v3,behind-right,in-front,0,low,5.22,5
11,deepSeek-v3,behind-right,in-front,0,low,39.73,5
12,deepSeek-v3,behind-right,right,0,low,4.61,5
13,deepSeek-v3,behind-right,left,0,low,3.62,5
14,deepSeek-v3,behind-right,right,0,low,5.18,5
15,deepSeek-v3,behind-right,left,0,low,3.17,5
16,deepSeek-v3,behind-right,left,0,low,6.76,5
17,deepSeek-v3,behind-right,left,0,low,4.15,5
18,deepSeek-v3,behind-right,left,0,low,28.12,5
19,deepSeek-v3,behind-right,behind,0,low,5.73,5
20,deepSeek-v3,behind-right,in-front,0,low,6.04,5
21,deepSeek-v3,behind-right,left,0,low,5.40,5
22,deepSeek-v3,behind-right,behind,0,low,5.65,5
23,deepSeek-v3,behind-right,in-front,0,low,4.20,5
24,deepSeek-v3,behind-right,in-front,0,low,4.40,5
25,deepSeek-v3,behind-right,in-front,0,low,32.16,5
26,deepSeek-v3,behind-right,right,0,low,158.72,5
27,deepSeek-v3,behind-right,left,0,low,3.58,5
28,deepSeek-v3,behind-right,left,0,low,36.66,5
29,deepSeek-v3,behind-right,right,0,low,3.73,5
30,deepSeek-v3,behind-right,in-front,0,low,5.59,5
31,deepSeek-v3,behind-right,in-front,0,low,7.37,5
32,deepSeek-v3,behind-right,in-front,0,low,4.31,5
33,deepSeek-v3,behind-right,right,0,low,4.50,5
34,deepSeek-v3,behind-right,in-front,0,low,10.85,5
35,deepSeek-v3,behind-right,left,0,low,4.76,5
36,deepSeek-v3,behind-right,in-front,0,low,9.78,5
37,deepSeek-v3,behind-right,in-front,0,low,14.04,5
38,deepSeek-v3,behind-right,behind,0,low,30.36,5
39,deepSeek-v3,behind-right,in-front,0,low,3.12,5
40,deepSeek-v3,behind-right,in-front,0,low,4.62,5
41,deepSeek-v3,behind-right,in-front,0,low,3.90,5
42,deepSeek-v3,behind-right,right,0,low,47.99,5
43,deepSeek-v3,behind-right,in-front,0,low,4.93,5
44,deepSeek-v3,behind-right,in-front,0,low,4.00,5
45,deepSeek-v3,behind-right,left,0,low,5.30,5
46,deepSeek-v3,behind-right,left,0,low,4.73,5
47,deepSeek-v3,behind-right,right,0,low,9.38,5
48,deepSeek-v3,behind-right,in-front,0,low,4.47,5
49,deepSeek-v3,behind-right,right,0,low,2.80,5
50,deepSeek-v3,behind-right,left,0,low,4.54,5
51,deepSeek-v3,behind-left,behind,0,low,11.78,5
52,deepSeek-v3,behind-left,behind,0,low,3.54,5
53,deepSeek-v3,behind-left,right,0,low,38.45,5
54,deepSeek-v3,behind-left,behind,0,low,31.52,5
55,deepSeek-v3,behind-left,left,0,low,5.34,5
56,deepSeek-v3,behind-left,in-front,0,low,7.07,5
57,deepSeek-v3,behind-left,right,0,low,4.95,5
58,deepSeek-v3,behind-left,left,0,low,4.09,5
59,deepSeek-v3,behind-left,left,0,low,3.88,5
60,deepSeek-v3,behind-left,in-front,0,low,6.38,5
