prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,behind-right,in-front,0,low,1.70,10
2,gpt-4.1-mini,behind-right,right,0,low,1.47,10
3,gpt-4.1-mini,behind-right,right,0,low,2.32,10
4,gpt-4.1-mini,behind-right,in-front,0,low,2.38,10
5,gpt-4.1-mini,behind-right,right,0,low,1.30,10
6,gpt-4.1-mini,behind-right,in-front,0,low,2.05,10
7,gpt-4.1-mini,behind-right,in-front,0,low,2.15,10
8,gpt-4.1-mini,behind-right,in-front,0,low,1.54,10
9,gpt-4.1-mini,behind-right,in-front,0,low,2.25,10
10,gpt-4.1-mini,behind-right,in-front,0,low,2.18,10
11,gpt-4.1-mini,behind-right,right,0,low,1.51,10
12,gpt-4.1-mini,behind-right,behind,0,low,1.49,10
13,gpt-4.1-mini,behind-right,right,0,low,1.79,10
14,gpt-4.1-mini,behind-right,in-front,0,low,2.14,10
15,gpt-4.1-mini,behind-right,left,0,low,1.89,10
16,gpt-4.1-mini,behind-right,left,0,low,2.12,10
17,gpt-4.1-mini,behind-right,behind,0,low,1.93,10
18,gpt-4.1-mini,behind-right,in-front,0,low,1.58,10
19,gpt-4.1-mini,behind-right,right,0,low,1.64,10
20,gpt-4.1-mini,behind-right,in-front,0,low,1.93,10
21,gpt-4.1-mini,behind-right,right,0,low,1.61,10
22,gpt-4.1-mini,behind-right,in-front,0,low,1.98,10
23,gpt-4.1-mini,behind-right,in-front,0,low,1.71,10
24,gpt-4.1-mini,behind-right,left,0,low,1.23,10
25,gpt-4.1-mini,behind-right,in-front,0,low,1.74,10
26,gpt-4.1-mini,behind-right,in-front,0,low,2.05,10
27,gpt-4.1-mini,behind-right,behind,0,low,1.85,10
28,gpt-4.1-mini,behind-right,in-front,0,low,1.87,10
29,gpt-4.1-mini,behind-right,behind,0,low,2.16,10
30,gpt-4.1-mini,behind-right,left,0,low,2.21,10
31,gpt-4.1-mini,behind-right,in-front,0,low,1.64,10
32,gpt-4.1-mini,behind-right,in-front,0,low,2.53,10
33,gpt-4.1-mini,behind-right,right,0,low,2.55,10
34,gpt-4.1-mini,behind-right,right,0,low,1.28,10
35,gpt-4.1-mini,behind-right,in-front,0,low,2.25,10
36,gpt-4.1-mini,behind-right,right,0,low,1.21,10
37,gpt-4.1-mini,behind-right,in-front,0,low,2.31,10
38,gpt-4.1-mini,behind-right,behind,0,low,1.70,10
39,gpt-4.1-mini,behind-right,in-front,0,low,2.37,10
40,gpt-4.1-mini,behind-right,right,0,low,1.20,10
41,gpt-4.1-mini,behind-right,in-front,0,low,1.58,10
42,gpt-4.1-mini,behind-right,in-front,0,low,1.92,10
43,gpt-4.1-mini,behind-right,in-front,0,low,2.21,10
44,gpt-4.1-mini,behind-right,in-front,0,low,2.02,10
45,gpt-4.1-mini,behind-right,in-front,0,low,2.02,10
46,gpt-4.1-mini,behind-right,in-front,0,low,1.54,10
47,gpt-4.1-mini,behind-right,right,0,low,1.74,10
48,gpt-4.1-mini,behind-right,in-front,0,low,1.94,10
49,gpt-4.1-mini,behind-right,in-front,0,low,1.33,10
50,gpt-4.1-mini,behind-right,in-front,0,low,2.08,10
