prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,behind,right,0,high,3.72,5
2,gpt-4.1,behind,incorrect prompt,0,high,3.14,5
3,gpt-4.1,behind,left,0,high,7.85,5
4,gpt-4.1,behind,left,0,high,7.37,5
5,gpt-4.1,behind,left,0,high,8.41,5
6,gpt-4.1,behind,right,0,high,7.67,5
7,gpt-4.1,behind,left,0,high,8.67,5
8,gpt-4.1,behind,incorrect prompt,0,high,0.40,5
9,gpt-4.1,behind,incorrect prompt,0,high,3.04,5
10,gpt-4.1,behind,behind,1,high,8.38,5
11,gpt-4.1,behind,right,0,high,4.53,5
12,gpt-4.1,behind,left,0,high,2.20,5
13,gpt-4.1,behind,left,0,high,3.69,5
14,gpt-4.1,behind,left,0,high,6.55,5
15,gpt-4.1,behind,right,0,high,4.67,5
16,gpt-4.1,behind,incorrect prompt,0,high,3.57,5
17,gpt-4.1,behind,right,0,high,7.43,5
18,gpt-4.1,behind,right,0,high,6.34,5
19,gpt-4.1,behind,incorrect prompt,0,high,6.93,5
20,gpt-4.1,behind,left,0,high,7.25,5
21,gpt-4.1,in-front,behind,0,high,7.41,5
22,gpt-4.1,in-front,incorrect prompt,0,high,4.49,5
23,gpt-4.1,in-front,incorrect prompt,0,high,0.40,5
24,gpt-4.1,in-front,incorrect prompt,0,high,0.40,5
25,gpt-4.1,in-front,left,0,high,4.77,5
26,gpt-4.1,in-front,incorrect prompt,0,high,0.51,5
27,gpt-4.1,in-front,incorrect prompt,0,high,1.13,5
28,gpt-4.1,in-front,incorrect prompt,0,high,2.90,5
29,gpt-4.1,in-front,incorrect prompt,0,high,0.39,5
30,gpt-4.1,in-front,right,0,high,3.84,5
31,gpt-4.1,in-front,incorrect prompt,0,high,3.78,5
32,gpt-4.1,in-front,left,0,high,3.21,5
33,gpt-4.1,in-front,right,0,high,6.82,5
34,gpt-4.1,in-front,in-front,1,high,2.82,5
35,gpt-4.1,in-front,incorrect prompt,0,high,1.71,5
36,gpt-4.1,in-front,incorrect prompt,0,high,3.22,5
37,gpt-4.1,in-front,right,0,high,6.79,5
38,gpt-4.1,in-front,right,0,high,5.70,5
39,gpt-4.1,in-front,right,0,high,4.62,5
40,gpt-4.1,in-front,left,0,high,5.02,5
41,gpt-4.1,left,incorrect prompt,0,high,3.08,5
42,gpt-4.1,left,right,0,high,7.27,5
43,gpt-4.1,left,incorrect prompt,0,high,0.42,5
44,gpt-4.1,left,incorrect prompt,0,high,2.85,5
45,gpt-4.1,left,in-front,0,high,11.49,5
46,gpt-4.1,left,right,0,high,2.64,5
47,gpt-4.1,left,incorrect prompt,0,high,2.35,5
48,gpt-4.1,left,incorrect prompt,0,high,1.84,5
49,gpt-4.1,left,left,1,high,9.57,5
50,gpt-4.1,left,left,1,high,5.84,5
51,gpt-4.1,left,right,0,high,5.74,5
52,gpt-4.1,left,incorrect prompt,0,high,5.02,5
53,gpt-4.1,left,incorrect prompt,0,high,2.41,5
54,gpt-4.1,left,behind,0,high,8.75,5
55,gpt-4.1,left,incorrect prompt,0,high,2.83,5
56,gpt-4.1,left,left,1,high,8.98,5
57,gpt-4.1,left,left,1,high,5.70,5
58,gpt-4.1,left,left,1,high,4.06,5
59,gpt-4.1,left,right,0,high,5.73,5
60,gpt-4.1,left,left,1,high,2.90,5
61,gpt-4.1,in-front-right,incorrect prompt,0,high,1.60,5
62,gpt-4.1,in-front-right,incorrect prompt,0,high,3.92,5
63,gpt-4.1,in-front-right,left,0,high,5.48,5
64,gpt-4.1,in-front-right,left,0,high,7.66,5
65,gpt-4.1,in-front-right,left,0,high,11.27,5
66,gpt-4.1,in-front-right,incorrect prompt,0,high,10.95,5
67,gpt-4.1,in-front-right,right,0,high,7.27,5
68,gpt-4.1,in-front-right,right,0,high,9.30,5
69,gpt-4.1,in-front-right,incorrect prompt,0,high,2.75,5
70,gpt-4.1,in-front-right,left,0,high,8.78,5
71,gpt-4.1,in-front-right,incorrect prompt,0,high,3.00,5
72,gpt-4.1,in-front-right,left,0,high,10.49,5
73,gpt-4.1,in-front-right,incorrect prompt,0,high,0.40,5
74,gpt-4.1,in-front-right,incorrect prompt,0,high,3.97,5
75,gpt-4.1,in-front-right,right,0,high,9.37,5
76,gpt-4.1,in-front-right,left,0,high,10.14,5
77,gpt-4.1,in-front-right,left,0,high,6.03,5
78,gpt-4.1,in-front-right,right,0,high,8.70,5
79,gpt-4.1,in-front-right,incorrect prompt,0,high,2.73,5
80,gpt-4.1,in-front-right,left,0,high,7.35,5
81,gpt-4.1,behind-right,left,0,high,3.78,5
82,gpt-4.1,behind-right,incorrect prompt,0,high,2.40,5
83,gpt-4.1,behind-right,incorrect prompt,0,high,0.42,5
84,gpt-4.1,behind-right,left,0,high,6.61,5
85,gpt-4.1,behind-right,incorrect prompt,0,high,2.70,5
86,gpt-4.1,behind-right,left,0,high,8.61,5
87,gpt-4.1,behind-right,behind,0,high,7.50,5
88,gpt-4.1,behind-right,incorrect prompt,0,high,3.14,5
89,gpt-4.1,behind-right,right,0,high,4.81,5
90,gpt-4.1,behind-right,incorrect prompt,0,high,6.32,5
91,gpt-4.1,behind-right,incorrect prompt,0,high,3.85,5
92,gpt-4.1,behind-right,right,0,high,4.94,5
93,gpt-4.1,behind-right,right,0,high,13.87,5
94,gpt-4.1,behind-right,right,0,high,5.43,5
95,gpt-4.1,behind-right,left,0,high,4.82,5
96,gpt-4.1,behind-right,left,0,high,5.33,5
97,gpt-4.1,behind-right,left,0,high,4.21,5
98,gpt-4.1,behind-right,right,0,high,13.64,5
99,gpt-4.1,behind-right,right,0,high,5.28,5
100,gpt-4.1,behind-right,left,0,high,3.90,5
101,gpt-4.1,behind-left,left,0,high,6.46,5
102,gpt-4.1,behind-left,right,0,high,12.30,5
103,gpt-4.1,behind-left,incorrect prompt,0,high,5.19,5
104,gpt-4.1,behind-left,incorrect prompt,0,high,4.72,5
105,gpt-4.1,behind-left,left,0,high,10.07,5
106,gpt-4.1,behind-left,left,0,high,6.53,5
107,gpt-4.1,behind-left,right,0,high,4.62,5
108,gpt-4.1,behind-left,incorrect prompt,0,high,3.45,5
109,gpt-4.1,behind-left,incorrect prompt,0,high,2.22,5
110,gpt-4.1,behind-left,incorrect prompt,0,high,0.39,5
111,gpt-4.1,behind-left,left,0,high,7.28,5
112,gpt-4.1,behind-left,right,0,high,13.11,5
113,gpt-4.1,behind-left,right,0,high,7.07,5
114,gpt-4.1,behind-left,left,0,high,4.79,5
115,gpt-4.1,behind-left,left,0,high,8.32,5
116,gpt-4.1,behind-left,incorrect prompt,0,high,4.26,5
117,gpt-4.1,behind-left,left,0,high,3.53,5
118,gpt-4.1,behind-left,right,0,high,4.56,5
119,gpt-4.1,behind-left,incorrect prompt,0,high,4.40,5
120,gpt-4.1,behind-left,right,0,high,6.78,5
121,gpt-4.1,right,incorrect prompt,0,high,5.07,5
122,gpt-4.1,right,right,1,high,24.06,5
123,gpt-4.1,right,incorrect prompt,0,high,6.15,5
124,gpt-4.1,right,left,0,high,6.38,5
125,gpt-4.1,right,left,0,high,4.41,5
126,gpt-4.1,right,right,1,high,4.59,5
127,gpt-4.1,right,left,0,high,11.14,5
128,gpt-4.1,right,incorrect prompt,0,high,3.75,5
129,gpt-4.1,right,incorrect prompt,0,high,3.26,5
130,gpt-4.1,right,incorrect prompt,0,high,5.03,5
131,gpt-4.1,right,left,0,high,3.95,5
132,gpt-4.1,right,left,0,high,6.93,5
133,gpt-4.1,right,incorrect prompt,0,high,2.54,5
134,gpt-4.1,right,left,0,high,9.52,5
135,gpt-4.1,right,right,1,high,8.74,5
136,gpt-4.1,right,right,1,high,7.11,5
137,gpt-4.1,right,right,1,high,5.86,5
138,gpt-4.1,right,right,1,high,9.99,5
139,gpt-4.1,right,right,1,high,4.35,5
140,gpt-4.1,right,incorrect prompt,0,high,0.47,5
141,gpt-4.1,in-front-left,incorrect prompt,0,high,0.39,5
142,gpt-4.1,in-front-left,incorrect prompt,0,high,4.70,5
143,gpt-4.1,in-front-left,right,0,high,7.25,5
144,gpt-4.1,in-front-left,incorrect prompt,0,high,3.28,5
145,gpt-4.1,in-front-left,left,0,high,5.02,5
146,gpt-4.1,in-front-left,incorrect prompt,0,high,3.70,5
147,gpt-4.1,in-front-left,left,0,high,7.67,5
148,gpt-4.1,in-front-left,left,0,high,7.21,5
149,gpt-4.1,in-front-left,right,0,high,9.63,5
150,gpt-4.1,in-front-left,incorrect prompt,0,high,3.76,5
151,gpt-4.1,in-front-left,right,0,high,9.46,5
152,gpt-4.1,in-front-left,right,0,high,7.02,5
153,gpt-4.1,in-front-left,behind,0,high,6.53,5
154,gpt-4.1,in-front-left,right,0,high,7.52,5
155,gpt-4.1,in-front-left,right,0,high,5.38,5
156,gpt-4.1,in-front-left,incorrect prompt,0,high,2.99,5
157,gpt-4.1,in-front-left,right,0,high,7.10,5
158,gpt-4.1,in-front-left,behind,0,high,11.47,5
159,gpt-4.1,in-front-left,left,0,high,5.37,5
160,gpt-4.1,in-front-left,incorrect prompt,0,high,3.61,5
