prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,behind-right,in-front,0,low,3.16,10
2,gpt-4.1,behind-right,right,0,low,2.10,10
3,gpt-4.1,behind-right,in-front,0,low,4.28,10
4,gpt-4.1,behind-right,in-front,0,low,4.18,10
5,gpt-4.1,behind-right,in-front,0,low,2.61,10
6,gpt-4.1,behind-right,right,0,low,2.36,10
7,gpt-4.1,behind-right,in-front,0,low,2.35,10
8,gpt-4.1,behind-right,in-front,0,low,3.38,10
9,gpt-4.1,behind-right,right,0,low,3.82,10
10,gpt-4.1,behind-right,left,0,low,2.43,10
11,gpt-4.1,behind-right,in-front,0,low,2.11,10
12,gpt-4.1,behind-right,in-front,0,low,2.20,10
13,gpt-4.1,behind-right,in-front,0,low,2.17,10
14,gpt-4.1,behind-right,left,0,low,2.43,10
15,gpt-4.1,behind-right,left,0,low,2.87,10
16,gpt-4.1,behind-right,in-front,0,low,4.20,10
17,gpt-4.1,behind-right,left,0,low,3.27,10
18,gpt-4.1,behind-right,left,0,low,2.25,10
19,gpt-4.1,behind-right,right,0,low,1.85,10
20,gpt-4.1,behind-right,in-front,0,low,3.06,10
21,gpt-4.1,behind-right,right,0,low,2.33,10
22,gpt-4.1,behind-right,in-front,0,low,10.53,10
23,gpt-4.1,behind-right,in-front,0,low,2.51,10
24,gpt-4.1,behind-right,in-front,0,low,2.85,10
25,gpt-4.1,behind-right,right,0,low,3.38,10
26,gpt-4.1,behind-right,right,0,low,4.94,10
27,gpt-4.1,behind-right,left,0,low,4.39,10
28,gpt-4.1,behind-right,in-front,0,low,2.58,10
29,gpt-4.1,behind-right,in-front,0,low,3.89,10
30,gpt-4.1,behind-right,in-front,0,low,2.18,10
31,gpt-4.1,behind-right,in-front,0,low,1.71,10
32,gpt-4.1,behind-right,in-front,0,low,3.17,10
33,gpt-4.1,behind-right,in-front,0,low,3.00,10
34,gpt-4.1,behind-right,in-front,0,low,2.32,10
35,gpt-4.1,behind-right,in-front,0,low,1.95,10
36,gpt-4.1,behind-right,right,0,low,2.05,10
37,gpt-4.1,behind-right,right,0,low,2.81,10
38,gpt-4.1,behind-right,in-front,0,low,3.25,10
39,gpt-4.1,behind-right,in-front,0,low,4.49,10
40,gpt-4.1,behind-right,right,0,low,2.15,10
41,gpt-4.1,behind-right,left,0,low,3.92,10
42,gpt-4.1,behind-right,right,0,low,5.19,10
43,gpt-4.1,behind-right,in-front,0,low,2.57,10
44,gpt-4.1,behind-right,left,0,low,2.11,10
45,gpt-4.1,behind-right,behind,0,low,5.85,10
46,gpt-4.1,behind-right,in-front,0,low,2.11,10
47,gpt-4.1,behind-right,in-front,0,low,2.12,10
48,gpt-4.1,behind-right,in-front,0,low,2.79,10
49,gpt-4.1,behind-right,left,0,low,1.72,10
50,gpt-4.1,behind-right,in-front,0,low,2.66,10
51,gpt-4.1,in-front-right,left,0,low,3.14,10
52,gpt-4.1,in-front-right,right,0,low,2.78,10
53,gpt-4.1,in-front-right,left,0,low,2.88,10
54,gpt-4.1,in-front-right,in-front,0,low,4.96,10
55,gpt-4.1,in-front-right,right,0,low,1.32,10
56,gpt-4.1,in-front-right,in-front,0,low,2.89,10
57,gpt-4.1,in-front-right,right,0,low,1.44,10
58,gpt-4.1,in-front-right,left,0,low,3.25,10
