prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,o4-mini,behind-right,behind-right,1,low,5.80,1640,0.0,42,10
2,o4-mini,behind-right,behind-right,1,low,4.81,1512,0.0,42,10
3,o4-mini,behind-right,behind-right,1,low,6.45,1704,0.0,42,10
4,o4-mini,behind-right,behind-right,1,low,6.84,1704,0.0,42,10
5,o4-mini,behind-right,behind-right,1,low,5.22,1512,0.0,42,10
6,o4-mini,behind-right,behind-right,1,low,5.35,1448,0.0,42,10
7,o4-mini,behind-right,behind-right,1,low,4.84,1448,0.0,42,10
8,o4-mini,behind-right,behind-right,1,low,6.05,1640,0.0,42,10
9,o4-mini,behind-right,behind-right,1,low,8.25,1768,0.0,42,10
10,o4-mini,behind-right,behind-right,1,low,6.03,1704,0.0,42,10
11,o4-mini,behind-right,behind-right,1,low,4.45,1512,0.0,42,10
12,o4-mini,behind-right,behind-right,1,low,4.71,1576,0.0,42,10
13,o4-mini,behind-right,behind-right,1,low,2.79,1448,0.0,42,10
14,o4-mini,behind-right,behind-right,1,low,5.22,1768,0.0,42,10
15,o4-mini,behind-right,behind-right,1,low,7.17,1832,0.0,42,10
16,o4-mini,behind-right,behind-right,1,low,6.11,1832,0.0,42,10
17,o4-mini,behind-right,behind-right,1,low,4.30,1576,0.0,42,10
18,o4-mini,behind-right,behind-right,1,low,7.04,1832,0.0,42,10
19,o4-mini,behind-right,behind-right,1,low,4.52,1640,0.0,42,10
20,o4-mini,behind-right,behind-right,1,low,7.22,1704,0.0,42,10
21,o4-mini,behind-right,behind-right,1,low,4.42,1576,0.0,42,10
22,o4-mini,behind-right,behind-right,1,low,9.66,2152,0.0,42,10
23,o4-mini,behind-right,behind-right,1,low,4.78,1576,0.0,42,10
24,o4-mini,behind-right,behind-right,1,low,5.98,1640,0.0,42,10
25,o4-mini,behind-right,behind-right,1,low,11.98,2152,0.0,42,10
26,o4-mini,behind-right,behind,0,low,11.16,2214,0.0,42,10
27,o4-mini,behind-right,behind-right,1,low,6.97,1768,0.0,42,10
28,o4-mini,behind-right,behind-right,1,low,6.65,1832,0.0,42,10
29,o4-mini,behind-right,behind-right,1,low,5.74,1640,0.0,42,10
30,o4-mini,behind-right,behind-right,1,low,3.71,1512,0.0,42,10
31,o4-mini,behind-right,behind-right,1,low,3.98,1512,0.0,42,10
32,o4-mini,behind-right,behind-right,1,low,4.90,1512,0.0,42,10
33,o4-mini,behind-right,behind-right,1,low,8.10,1896,0.0,42,10
34,o4-mini,behind-right,behind-right,1,low,3.36,1448,0.0,42,10
35,o4-mini,behind-right,behind-right,1,low,4.11,1448,0.0,42,10
36,o4-mini,behind-right,behind-right,1,low,4.50,1576,0.0,42,10
37,o4-mini,behind-right,behind-right,1,low,3.68,1512,0.0,42,10
38,o4-mini,behind-right,behind-right,1,low,7.18,1896,0.0,42,10
39,o4-mini,behind-right,behind-right,1,low,4.85,1640,0.0,42,10
40,o4-mini,behind-right,behind-right,1,low,2.26,1320,0.0,42,10
41,o4-mini,behind-right,behind-right,1,low,7.51,1896,0.0,42,10
42,o4-mini,behind-right,behind-right,1,low,4.00,1576,0.0,42,10
43,o4-mini,behind-right,behind-right,1,low,7.86,1832,0.0,42,10
44,o4-mini,behind-right,behind-right,1,low,9.86,1832,0.0,42,10
45,o4-mini,behind-right,behind-right,1,low,4.82,1640,0.0,42,10
46,o4-mini,behind-right,right,0,low,13.47,2726,0.0,42,10
47,o4-mini,behind-right,behind-right,1,low,3.43,1448,0.0,42,10
48,o4-mini,behind-right,behind-right,1,low,3.66,1512,0.0,42,10
49,o4-mini,behind-right,behind-right,1,low,4.74,1640,0.0,42,10
50,o4-mini,behind-right,behind-right,1,low,10.07,1768,0.0,42,10
51,o4-mini,in-front-right,in-front-right,1,low,6.21,1706,0.0,42,10
52,o4-mini,in-front-right,in-front-right,1,low,6.05,1770,0.0,42,10
