prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,behind-right,in-front-left,0,low,3.18,5
2,gpt-4.1,behind-right,in-front,0,low,1.88,5
3,gpt-4.1,behind-right,in-front,0,low,2.99,5
4,gpt-4.1,behind-right,in-front,0,low,3.25,5
5,gpt-4.1,behind-right,in-front,0,low,2.71,5
6,gpt-4.1,behind-right,in-front,0,low,2.69,5
7,gpt-4.1,behind-right,right,0,low,3.37,5
8,gpt-4.1,behind-right,right,0,low,2.39,5
9,gpt-4.1,behind-right,in-front,0,low,2.65,5
10,gpt-4.1,behind-right,in-front,0,low,1.45,5
11,gpt-4.1,behind-right,in-front,0,low,2.88,5
12,gpt-4.1,behind-right,right,0,low,1.41,5
13,gpt-4.1,behind-right,in-front,0,low,2.99,5
14,gpt-4.1,behind-right,in-front,0,low,2.80,5
15,gpt-4.1,behind-right,in-front,0,low,2.25,5
16,gpt-4.1,behind-right,in-front,0,low,2.74,5
17,gpt-4.1,behind-right,right,0,low,3.50,5
18,gpt-4.1,behind-right,right,0,low,2.97,5
19,gpt-4.1,behind-right,in-front,0,low,3.07,5
20,gpt-4.1,behind-right,in-front,0,low,2.01,5
21,gpt-4.1,behind-right,in-front,0,low,3.11,5
22,gpt-4.1,behind-right,in-front,0,low,2.45,5
23,gpt-4.1,behind-right,in-front,0,low,2.46,5
24,gpt-4.1,behind-right,in-front,0,low,2.61,5
25,gpt-4.1,behind-right,behind,0,low,3.61,5
26,gpt-4.1,behind-right,in-front,0,low,2.69,5
27,gpt-4.1,behind-right,in-front,0,low,3.99,5
28,gpt-4.1,behind-right,in-front,0,low,6.02,5
29,gpt-4.1,behind-right,right,0,low,1.75,5
30,gpt-4.1,behind-right,right,0,low,2.41,5
31,gpt-4.1,behind-right,right,0,low,2.21,5
32,gpt-4.1,behind-right,in-front,0,low,2.81,5
33,gpt-4.1,behind-right,in-front,0,low,2.61,5
34,gpt-4.1,behind-right,in-front,0,low,2.87,5
35,gpt-4.1,behind-right,in-front,0,low,4.55,5
36,gpt-4.1,behind-right,in-front,0,low,2.25,5
37,gpt-4.1,behind-right,in-front,0,low,3.28,5
38,gpt-4.1,behind-right,in-front,0,low,2.15,5
39,gpt-4.1,behind-right,in-front,0,low,2.44,5
40,gpt-4.1,behind-right,in-front,0,low,2.58,5
41,gpt-4.1,behind-right,left,0,low,2.15,5
42,gpt-4.1,behind-right,in-front,0,low,3.29,5
43,gpt-4.1,behind-right,in-front,0,low,2.54,5
44,gpt-4.1,behind-right,in-front,0,low,2.42,5
45,gpt-4.1,behind-right,left,0,low,2.95,5
46,gpt-4.1,behind-right,in-front,0,low,2.14,5
47,gpt-4.1,behind-right,right,0,low,1.69,5
48,gpt-4.1,behind-right,in-front,0,low,3.14,5
49,gpt-4.1,behind-right,right,0,low,1.93,5
50,gpt-4.1,behind-right,in-front,0,low,2.98,5
51,gpt-4.1,behind-left,in-front,0,low,2.66,5
52,gpt-4.1,behind-left,in-front,0,low,2.66,5
53,gpt-4.1,behind-left,in-front,0,low,2.69,5
54,gpt-4.1,behind-left,left,0,low,1.61,5
55,gpt-4.1,behind-left,right,0,low,1.91,5
56,gpt-4.1,behind-left,in-front,0,low,2.07,5
57,gpt-4.1,behind-left,left,0,low,1.89,5
58,gpt-4.1,behind-left,left,0,low,1.66,5
59,gpt-4.1,behind-left,in-front,0,low,2.74,5
60,gpt-4.1,behind-left,in-front,0,low,2.76,5
61,gpt-4.1,behind-left,in-front,0,low,2.46,5
62,gpt-4.1,behind-left,in-front,0,low,2.43,5
63,gpt-4.1,behind-left,in-front,0,low,5.40,5
64,gpt-4.1,behind-left,right,0,low,1.76,5
65,gpt-4.1,behind-left,left,0,low,1.90,5
66,gpt-4.1,behind-left,in-front,0,low,1.41,5
67,gpt-4.1,behind-left,in-front,0,low,2.98,5
68,gpt-4.1,behind-left,in-front,0,low,4.01,5
69,gpt-4.1,behind-left,in-front,0,low,2.06,5
70,gpt-4.1,behind-left,behind,0,low,1.94,5
71,gpt-4.1,behind-left,in-front,0,low,2.47,5
72,gpt-4.1,behind-left,in-front,0,low,2.50,5
73,gpt-4.1,behind-left,in-front,0,low,2.81,5
74,gpt-4.1,behind-left,left,0,low,2.06,5
75,gpt-4.1,behind-left,left,0,low,2.78,5
76,gpt-4.1,behind-left,in-front,0,low,2.55,5
77,gpt-4.1,behind-left,in-front,0,low,2.55,5
78,gpt-4.1,behind-left,left,0,low,1.55,5
79,gpt-4.1,behind-left,in-front,0,low,3.71,5
80,gpt-4.1,behind-left,right,0,low,2.52,5
81,gpt-4.1,behind-left,in-front,0,low,1.95,5
82,gpt-4.1,behind-left,left,0,low,2.05,5
83,gpt-4.1,behind-left,in-front,0,low,3.38,5
84,gpt-4.1,behind-left,in-front,0,low,2.87,5
85,gpt-4.1,behind-left,left,0,low,1.24,5
86,gpt-4.1,behind-left,in-front,0,low,4.57,5
87,gpt-4.1,behind-left,in-front,0,low,2.93,5
