prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,in-front,in-front,1,medium,6.96,5
2,o4-mini,in-front,in-front,1,medium,6.99,5
3,o4-mini,in-front,in-front,1,medium,3.21,5
4,o4-mini,in-front,in-front,1,medium,5.76,5
5,o4-mini,in-front,in-front,1,medium,8.88,5
6,o4-mini,in-front,in-front,1,medium,6.08,5
7,o4-mini,in-front,in-front,1,medium,14.25,5
8,o4-mini,in-front,in-front,1,medium,12.46,5
9,o4-mini,in-front,in-front,1,medium,13.34,5
10,o4-mini,in-front,in-front,1,medium,8.58,5
11,o4-mini,in-front,in-front,1,medium,5.41,5
12,o4-mini,in-front,in-front,1,medium,10.86,5
13,o4-mini,in-front,in-front,1,medium,13.53,5
14,o4-mini,in-front,in-front,1,medium,6.11,5
15,o4-mini,in-front,in-front,1,medium,6.48,5
16,o4-mini,in-front,in-front,1,medium,5.16,5
17,o4-mini,in-front,in-front,1,medium,8.33,5
18,o4-mini,in-front,in-front,1,medium,11.73,5
19,o4-mini,in-front,in-front,1,medium,7.78,5
20,o4-mini,in-front,in-front,1,medium,6.75,5
21,o4-mini,in-front,in-front,1,medium,6.50,5
22,o4-mini,in-front,in-front,1,medium,7.87,5
23,o4-mini,in-front,in-front,1,medium,4.86,5
24,o4-mini,in-front,in-front,1,medium,7.71,5
25,o4-mini,in-front,in-front,1,medium,10.95,5
26,o4-mini,in-front,in-front,1,medium,11.51,5
27,o4-mini,in-front,in-front,1,medium,7.75,5
28,o4-mini,in-front,in-front,1,medium,9.12,5
29,o4-mini,in-front,in-front,1,medium,9.60,5
30,o4-mini,in-front,in-front,1,medium,10.11,5
31,o4-mini,in-front,in-front,1,medium,11.83,5
32,o4-mini,in-front,in-front,1,medium,4.98,5
33,o4-mini,in-front,in-front,1,medium,8.52,5
34,o4-mini,in-front,in-front,1,medium,14.65,5
35,o4-mini,in-front,in-front,1,medium,10.71,5
36,o4-mini,in-front,in-front,1,medium,7.43,5
37,o4-mini,in-front,in-front,1,medium,9.91,5
38,o4-mini,in-front,in-front,1,medium,24.17,5
39,o4-mini,in-front,in-front,1,medium,8.49,5
40,o4-mini,in-front,in-front,1,medium,37.99,5
41,o4-mini,in-front,in-front,1,medium,15.35,5
42,o4-mini,in-front,in-front,1,medium,19.78,5
43,o4-mini,in-front,in-front,1,medium,6.96,5
44,o4-mini,in-front,in-front,1,medium,9.53,5
45,o4-mini,in-front,in-front,1,medium,10.17,5
46,o4-mini,in-front,in-front,1,medium,11.03,5
47,o4-mini,in-front,in-front,1,medium,10.75,5
48,o4-mini,in-front,in-front,1,medium,7.37,5
49,o4-mini,in-front,in-front,1,medium,10.15,5
50,o4-mini,in-front,in-front,1,medium,9.41,5
51,o4-mini,in-front-left,in-front-left,1,medium,11.92,5
52,o4-mini,in-front-left,in-front-left,1,medium,9.87,5
53,o4-mini,in-front-left,in-front-left,1,medium,11.18,5
54,o4-mini,in-front-left,in-front-left,1,medium,10.65,5
55,o4-mini,in-front-left,in-front-left,1,medium,6.76,5
56,o4-mini,in-front-left,in-front-left,1,medium,8.39,5
57,o4-mini,in-front-left,in-front-left,1,medium,4.75,5
58,o4-mini,in-front-left,in-front-left,1,medium,8.05,5
59,o4-mini,in-front-left,in-front-left,1,medium,4.04,5
60,o4-mini,in-front-left,in-front-left,1,medium,5.93,5
61,o4-mini,in-front-left,in-front-left,1,medium,11.33,5
62,o4-mini,in-front-left,in-front-left,1,medium,5.12,5
63,o4-mini,in-front-left,in-front-left,1,medium,8.61,5
64,o4-mini,in-front-left,in-front-left,1,medium,11.98,5
65,o4-mini,in-front-left,in-front-left,1,medium,7.88,5
66,o4-mini,in-front-left,in-front-left,1,medium,7.72,5
67,o4-mini,in-front-left,in-front-left,1,medium,6.51,5
68,o4-mini,in-front-left,in-front-left,1,medium,9.84,5
69,o4-mini,in-front-left,in-front-left,1,medium,5.83,5
70,o4-mini,in-front-left,in-front-left,1,medium,10.15,5
71,o4-mini,in-front-left,in-front-left,1,medium,8.74,5
72,o4-mini,in-front-left,in-front-right,0,medium,7.06,5
73,o4-mini,in-front-left,in-front-left,1,medium,7.96,5
74,o4-mini,in-front-left,in-front-left,1,medium,6.96,5
75,o4-mini,in-front-left,in-front-left,1,medium,7.75,5
76,o4-mini,in-front-left,in-front-left,1,medium,8.31,5
77,o4-mini,in-front-left,in-front-left,1,medium,10.65,5
78,o4-mini,in-front-left,in-front-left,1,medium,12.20,5
79,o4-mini,in-front-left,in-front-left,1,medium,8.60,5
80,o4-mini,in-front-left,in-front-left,1,medium,9.39,5
81,o4-mini,in-front-left,in-front-left,1,medium,7.92,5
82,o4-mini,in-front-left,in-front-left,1,medium,9.38,5
83,o4-mini,in-front-left,in-front-left,1,medium,6.67,5
84,o4-mini,in-front-left,in-front-right,0,medium,8.74,5
85,o4-mini,in-front-left,in-front-left,1,medium,8.52,5
