prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gpt-4.1,behind-right,behind-right,1,medium,4.41,1563,0.0,42,10
2,gpt-4.1,behind-right,in-front-left,0,medium,6.10,1716,0.0,42,10
3,gpt-4.1,behind-right,behind-left,0,medium,3.55,1447,0.0,42,10
4,gpt-4.1,behind-right,behind-left,0,medium,7.83,1838,0.0,42,10
5,gpt-4.1,behind-right,behind-right,1,medium,8.18,1879,0.0,42,10
6,gpt-4.1,behind-right,behind-right,1,medium,6.66,1709,0.0,42,10
7,gpt-4.1,behind-right,behind-left,0,medium,6.03,1620,0.0,42,10
8,gpt-4.1,behind-right,behind-left,0,medium,5.13,1613,0.0,42,10
9,gpt-4.1,behind-right,behind-right,1,medium,8.18,1835,0.0,42,10
10,gpt-4.1,behind-right,behind-left,0,medium,10.09,1858,0.0,42,10
11,gpt-4.1,behind-right,behind-left,0,medium,2.46,1431,0.0,42,10
12,gpt-4.1,behind-right,behind-right,1,medium,3.47,1513,0.0,42,10
13,gpt-4.1,behind-right,behind-right,1,medium,4.67,1613,0.0,42,10
14,gpt-4.1,behind-right,in-front-right,0,medium,4.20,1591,0.0,42,10
15,gpt-4.1,behind-right,behind-left,0,medium,4.15,1561,0.0,42,10
16,gpt-4.1,behind-right,behind-left,0,medium,6.08,1675,0.0,42,10
17,gpt-4.1,behind-right,in-front-right,0,medium,4.51,1617,0.0,42,10
18,gpt-4.1,behind-right,behind-right,1,medium,2.20,1390,0.0,42,10
19,gpt-4.1,behind-right,in-front-right,0,medium,5.57,1650,0.0,42,10
20,gpt-4.1,behind-right,in-front-right,0,medium,6.46,1727,0.0,42,10
21,gpt-4.1,behind-right,in-front-right,0,medium,5.73,1689,0.0,42,10
22,gpt-4.1,behind-right,behind-right,1,medium,7.97,1867,0.0,42,10
23,gpt-4.1,behind-right,behind-right,1,medium,3.67,1426,0.0,42,10
24,gpt-4.1,behind-right,in-front-right,0,medium,7.28,1726,0.0,42,10
25,gpt-4.1,behind-right,behind-right,1,medium,9.87,1953,0.0,42,10
26,gpt-4.1,behind-right,in-front-right,0,medium,6.25,1698,0.0,42,10
27,gpt-4.1,behind-right,behind-right,1,medium,5.21,1656,0.0,42,10
28,gpt-4.1,behind-right,behind-left,0,medium,7.32,1816,0.0,42,10
29,gpt-4.1,behind-right,in-front-left,0,medium,3.19,1486,0.0,42,10
30,gpt-4.1,behind-right,behind-right,1,medium,5.46,1670,0.0,42,10
31,gpt-4.1,behind-right,behind-left,0,medium,2.42,1417,0.0,42,10
32,gpt-4.1,behind-right,behind-right,1,medium,2.10,1393,0.0,42,10
33,gpt-4.1,behind-right,in-front-left,0,medium,3.13,1464,0.0,42,10
34,gpt-4.1,behind-right,in-front-right,0,medium,4.91,1598,0.0,42,10
35,gpt-4.1,behind-right,behind-left,0,medium,5.28,1619,0.0,42,10
36,gpt-4.1,behind-right,behind-right,1,medium,7.89,1773,0.0,42,10
