prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gpt-4.1,behind-right,behind-left,0,low,3.16,1414,0.0,42,10
2,gpt-4.1,behind-right,behind-right,1,low,2.10,1319,0.0,42,10
3,gpt-4.1,behind-right,behind-right,1,low,4.28,1554,0.0,42,10
4,gpt-4.1,behind-right,behind-right,1,low,4.18,1456,0.0,42,10
5,gpt-4.1,behind-right,behind-right,1,low,2.61,1361,0.0,42,10
6,gpt-4.1,behind-right,behind-right,1,low,2.36,1359,0.0,42,10
7,gpt-4.1,behind-right,behind-right,1,low,2.35,1356,0.0,42,10
8,gpt-4.1,behind-right,behind-left,0,low,3.38,1445,0.0,42,10
9,gpt-4.1,behind-right,behind-left,0,low,3.82,1513,0.0,42,10
10,gpt-4.1,behind-right,behind-left,0,low,2.43,1361,0.0,42,10
11,gpt-4.1,behind-right,behind-right,1,low,2.11,1356,0.0,42,10
12,gpt-4.1,behind-right,behind-right,1,low,2.20,1349,0.0,42,10
13,gpt-4.1,behind-right,behind-right,1,low,2.17,1343,0.0,42,10
14,gpt-4.1,behind-right,behind-right,1,low,2.43,1376,0.0,42,10
15,gpt-4.1,behind-right,behind-right,1,low,2.87,1317,0.0,42,10
16,gpt-4.1,behind-right,behind-right,1,low,4.20,1515,0.0,42,10
17,gpt-4.1,behind-right,behind-right,1,low,3.27,1439,0.0,42,10
18,gpt-4.1,behind-right,behind-right,1,low,2.25,1332,0.0,42,10
19,gpt-4.1,behind-right,behind-right,1,low,1.85,1315,0.0,42,10
20,gpt-4.1,behind-right,behind-right,1,low,3.06,1376,0.0,42,10
21,gpt-4.1,behind-right,behind-right,1,low,2.33,1306,0.0,42,10
22,gpt-4.1,behind-right,behind-right,1,low,10.53,1943,0.0,42,10
23,gpt-4.1,behind-right,behind-right,1,low,2.51,1384,0.0,42,10
24,gpt-4.1,behind-right,behind-left,0,low,2.85,1450,0.0,42,10
25,gpt-4.1,behind-right,behind-right,1,low,3.38,1435,0.0,42,10
26,gpt-4.1,behind-right,in-front-left,0,low,4.94,1561,0.0,42,10
27,gpt-4.1,behind-right,behind-right,1,low,4.39,1519,0.0,42,10
28,gpt-4.1,behind-right,behind-right,1,low,2.58,1373,0.0,42,10
29,gpt-4.1,behind-right,behind-left,0,low,3.89,1464,0.0,42,10
30,gpt-4.1,behind-right,behind-left,0,low,2.18,1371,0.0,42,10
31,gpt-4.1,behind-right,behind-right,1,low,1.71,1302,0.0,42,10
32,gpt-4.1,behind-right,behind-left,0,low,3.17,1432,0.0,42,10
33,gpt-4.1,behind-right,behind-right,1,low,3.00,1406,0.0,42,10
34,gpt-4.1,behind-right,behind-right,1,low,2.32,1331,0.0,42,10
35,gpt-4.1,behind-right,behind-right,1,low,1.95,1339,0.0,42,10
36,gpt-4.1,behind-right,behind-right,1,low,2.05,1343,0.0,42,10
37,gpt-4.1,behind-right,behind-right,1,low,2.81,1408,0.0,42,10
38,gpt-4.1,behind-right,behind-right,1,low,3.25,1409,0.0,42,10
39,gpt-4.1,behind-right,behind-right,1,low,4.49,1452,0.0,42,10
40,gpt-4.1,behind-right,behind-right,1,low,2.15,1332,0.0,42,10
41,gpt-4.1,behind-right,in-front-left,0,low,3.92,1468,0.0,42,10
42,gpt-4.1,behind-right,in-front-left,0,low,5.19,1555,0.0,42,10
43,gpt-4.1,behind-right,behind-right,1,low,2.57,1368,0.0,42,10
44,gpt-4.1,behind-right,behind-left,0,low,2.11,1344,0.0,42,10
45,gpt-4.1,behind-right,behind-right,1,low,5.85,1598,0.0,42,10
46,gpt-4.1,behind-right,behind-left,0,low,2.11,1352,0.0,42,10
47,gpt-4.1,behind-right,behind-right,1,low,2.12,1346,0.0,42,10
48,gpt-4.1,behind-right,behind-right,1,low,2.79,1388,0.0,42,10
49,gpt-4.1,behind-right,behind-right,1,low,1.72,1301,0.0,42,10
50,gpt-4.1,behind-right,behind-left,0,low,2.66,1405,0.0,42,10
