prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,in-front-right,in-front-right,1,medium,7.68,5
2,o4-mini,in-front-right,in-front-right,1,medium,29.81,5
3,o4-mini,in-front-right,in-front-right,1,medium,18.74,5
4,o4-mini,in-front-right,in-front-right,1,medium,7.65,5
5,o4-mini,in-front-right,in-front-right,1,medium,15.08,5
6,o4-mini,in-front-right,in-front-right,1,medium,11.81,5
7,o4-mini,in-front-right,in-front-right,1,medium,11.48,5
8,o4-mini,in-front-right,in-front-right,1,medium,17.05,5
9,o4-mini,in-front-right,in-front-right,1,medium,9.17,5
10,o4-mini,in-front-right,in-front-right,1,medium,41.10,5
11,o4-mini,in-front-right,in-front-right,1,medium,9.84,5
12,o4-mini,in-front-right,in-front-right,1,medium,16.35,5
13,o4-mini,in-front-right,in-front-right,1,medium,30.22,5
14,o4-mini,in-front-right,in-front-right,1,medium,27.31,5
15,o4-mini,in-front-right,in-front-right,1,medium,5.19,5
16,o4-mini,in-front-right,in-front-right,1,medium,18.40,5
17,o4-mini,in-front-right,in-front-right,1,medium,25.37,5
18,o4-mini,in-front-right,in-front-right,1,medium,14.85,5
19,o4-mini,in-front-right,in-front-right,1,medium,23.13,5
20,o4-mini,in-front-right,in-front-right,1,medium,14.36,5
21,o4-mini,right,right,1,medium,34.51,5
22,o4-mini,right,right,1,medium,33.41,5
23,o4-mini,right,right,1,medium,6.27,5
24,o4-mini,right,right,1,medium,7.57,5
25,o4-mini,right,right,1,medium,11.28,5
26,o4-mini,right,right,1,medium,7.60,5
27,o4-mini,right,right,1,medium,32.32,5
28,o4-mini,right,right,1,medium,12.54,5
29,o4-mini,right,right,1,medium,9.46,5
30,o4-mini,right,right,1,medium,12.82,5
31,o4-mini,right,right,1,medium,7.84,5
32,o4-mini,right,right,1,medium,4.71,5
33,o4-mini,right,right,1,medium,13.82,5
34,o4-mini,right,left,0,medium,5.63,5
35,o4-mini,right,right,1,medium,26.00,5
36,o4-mini,right,right,1,medium,27.04,5
37,o4-mini,right,right,1,medium,8.81,5
38,o4-mini,right,right,1,medium,7.17,5
39,o4-mini,right,right,1,medium,13.46,5
40,o4-mini,right,right,1,medium,9.18,5
41,o4-mini,left,left,1,medium,13.32,5
42,o4-mini,left,left,1,medium,11.87,5
43,o4-mini,left,left,1,medium,12.01,5
44,o4-mini,left,left,1,medium,13.69,5
45,o4-mini,left,left,1,medium,13.36,5
46,o4-mini,left,left,1,medium,6.70,5
47,o4-mini,left,left,1,medium,11.17,5
48,o4-mini,left,left,1,medium,9.38,5
49,o4-mini,left,left,1,medium,7.23,5
50,o4-mini,left,left,1,medium,7.86,5
51,o4-mini,left,left,1,medium,6.61,5
52,o4-mini,left,left,1,medium,11.78,5
53,o4-mini,left,left,1,medium,10.38,5
54,o4-mini,left,left,1,medium,6.61,5
55,o4-mini,left,left,1,medium,7.52,5
56,o4-mini,left,left,1,medium,19.56,5
57,o4-mini,left,left,1,medium,7.12,5
58,o4-mini,left,left,1,medium,3.63,5
59,o4-mini,left,left,1,medium,30.94,5
60,o4-mini,left,left,1,medium,52.50,5
61,o4-mini,in-front,in-front,1,medium,80.51,5
62,o4-mini,in-front,in-front,1,medium,12.09,5
63,o4-mini,in-front,in-front,1,medium,6.30,5
64,o4-mini,in-front,in-front,1,medium,8.31,5
65,o4-mini,in-front,in-front,1,medium,13.92,5
66,o4-mini,in-front,in-front,1,medium,13.76,5
67,o4-mini,in-front,in-front,1,medium,12.49,5
68,o4-mini,in-front,in-front,1,medium,19.86,5
69,o4-mini,in-front,in-front,1,medium,9.12,5
70,o4-mini,in-front,in-front,1,medium,6.77,5
71,o4-mini,in-front,in-front,1,medium,12.60,5
72,o4-mini,in-front,in-front,1,medium,8.40,5
73,o4-mini,in-front,in-front,1,medium,5.66,5
74,o4-mini,in-front,in-front,1,medium,8.37,5
75,o4-mini,in-front,in-front,1,medium,11.37,5
76,o4-mini,in-front,in-front,1,medium,36.35,5
77,o4-mini,in-front,in-front,1,medium,18.83,5
78,o4-mini,in-front,in-front,1,medium,7.85,5
79,o4-mini,in-front,in-front,1,medium,6.91,5
80,o4-mini,in-front,in-front,1,medium,6.26,5
81,o4-mini,in-front-left,in-front-left,1,medium,13.31,5
