prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,in-front-right,right,0,medium,14.12,5
2,gpt-4.1,in-front-right,right,0,medium,3.73,5
3,gpt-4.1,in-front-right,in-front-left,0,medium,7.89,5
4,gpt-4.1,in-front-right,behind,0,medium,8.30,5
5,gpt-4.1,in-front-right,behind,0,medium,5.11,5
6,gpt-4.1,in-front-right,in-front,0,medium,7.45,5
7,gpt-4.1,in-front-right,right,0,medium,6.55,5
8,gpt-4.1,in-front-right,in-front,0,medium,7.07,5
9,gpt-4.1,in-front-right,in-front,0,medium,5.28,5
10,gpt-4.1,in-front-right,behind,0,medium,9.48,5
11,gpt-4.1,in-front-right,left,0,medium,8.63,5
12,gpt-4.1,in-front-right,in-front,0,medium,9.25,5
13,gpt-4.1,in-front-right,in-front,0,medium,5.40,5
14,gpt-4.1,in-front-right,in-front-right,1,medium,9.34,5
15,gpt-4.1,in-front-right,in-front,0,medium,14.84,5
16,gpt-4.1,in-front-right,left,0,medium,4.26,5
17,gpt-4.1,in-front-right,in-front,0,medium,7.20,5
18,gpt-4.1,in-front-right,left,0,medium,9.31,5
19,gpt-4.1,in-front-right,in-front,0,medium,5.44,5
20,gpt-4.1,in-front-right,behind,0,medium,11.08,5
21,gpt-4.1,right,in-front,0,medium,4.75,5
22,gpt-4.1,right,left,0,medium,9.61,5
23,gpt-4.1,right,in-front,0,medium,7.94,5
24,gpt-4.1,right,in-front,0,medium,5.39,5
25,gpt-4.1,right,in-front-left,0,medium,10.96,5
26,gpt-4.1,right,left,0,medium,10.06,5
27,gpt-4.1,right,in-front,0,medium,5.73,5
28,gpt-4.1,right,left,0,medium,4.46,5
29,gpt-4.1,right,in-front,0,medium,6.06,5
30,gpt-4.1,right,in-front-left,0,medium,10.18,5
31,gpt-4.1,right,in-front,0,medium,8.14,5
32,gpt-4.1,right,right,1,medium,3.81,5
33,gpt-4.1,right,left,0,medium,11.33,5
34,gpt-4.1,right,in-front,0,medium,5.23,5
35,gpt-4.1,right,behind,0,medium,8.95,5
36,gpt-4.1,right,left,0,medium,6.20,5
37,gpt-4.1,right,behind,0,medium,9.87,5
38,gpt-4.1,right,left,0,medium,3.16,5
39,gpt-4.1,right,in-front-left,0,medium,11.12,5
40,gpt-4.1,right,in-front,0,medium,4.82,5
41,gpt-4.1,left,behind,0,medium,4.69,5
42,gpt-4.1,left,in-front-right,0,medium,8.00,5
43,gpt-4.1,left,in-front-right,0,medium,7.58,5
44,gpt-4.1,left,in-front-left,0,medium,8.49,5
45,gpt-4.1,left,in-front,0,medium,9.73,5
46,gpt-4.1,left,in-front-right,0,medium,6.31,5
47,gpt-4.1,left,in-front-right,0,medium,6.94,5
48,gpt-4.1,left,in-front,0,medium,9.59,5
49,gpt-4.1,left,left,1,medium,6.71,5
50,gpt-4.1,left,in-front,0,medium,8.05,5
51,gpt-4.1,left,in-front,0,medium,2.91,5
52,gpt-4.1,left,in-front,0,medium,9.29,5
53,gpt-4.1,left,in-front,0,medium,8.20,5
54,gpt-4.1,left,in-front,0,medium,6.94,5
55,gpt-4.1,left,in-front-left,0,medium,11.51,5
56,gpt-4.1,left,in-front,0,medium,8.74,5
57,gpt-4.1,left,left,1,medium,6.96,5
58,gpt-4.1,left,left,1,medium,5.85,5
59,gpt-4.1,left,right,0,medium,10.85,5
60,gpt-4.1,left,in-front,0,medium,10.68,5
61,gpt-4.1,in-front,behind,0,medium,5.99,5
62,gpt-4.1,in-front,right,0,medium,9.21,5
63,gpt-4.1,in-front,right,0,medium,5.06,5
64,gpt-4.1,in-front,behind,0,medium,6.37,5
65,gpt-4.1,in-front,in-front,1,medium,9.31,5
66,gpt-4.1,in-front,behind,0,medium,5.29,5
67,gpt-4.1,in-front,in-front,1,medium,12.13,5
68,gpt-4.1,in-front,behind,0,medium,11.05,5
69,gpt-4.1,in-front,in-front,1,medium,4.47,5
70,gpt-4.1,in-front,behind,0,medium,6.68,5
71,gpt-4.1,in-front,in-front,1,medium,7.78,5
72,gpt-4.1,in-front,in-front,1,medium,6.88,5
73,gpt-4.1,in-front,behind,0,medium,8.49,5
74,gpt-4.1,in-front,in-front,1,medium,5.82,5
75,gpt-4.1,in-front,in-front,1,medium,6.37,5
76,gpt-4.1,in-front,behind,0,medium,8.10,5
77,gpt-4.1,in-front,in-front,1,medium,4.97,5
78,gpt-4.1,in-front,behind,0,medium,7.23,5
79,gpt-4.1,in-front,in-front,1,medium,2.87,5
80,gpt-4.1,in-front,behind,0,medium,6.98,5
81,gpt-4.1,in-front-left,behind,0,medium,3.46,5
82,gpt-4.1,in-front-left,left,0,medium,9.00,5
83,gpt-4.1,in-front-left,in-front,0,medium,5.17,5
84,gpt-4.1,in-front-left,in-front,0,medium,11.21,5
85,gpt-4.1,in-front-left,in-front,0,medium,8.60,5
86,gpt-4.1,in-front-left,in-front,0,medium,4.67,5
87,gpt-4.1,in-front-left,left,0,medium,9.93,5
88,gpt-4.1,in-front-left,in-front,0,medium,6.39,5
89,gpt-4.1,in-front-left,right,0,medium,6.43,5
90,gpt-4.1,in-front-left,in-front,0,medium,6.96,5
91,gpt-4.1,in-front-left,right,0,medium,6.34,5
92,gpt-4.1,in-front-left,behind,0,medium,9.88,5
93,gpt-4.1,in-front-left,in-front-right,0,medium,9.41,5
94,gpt-4.1,in-front-left,right,0,medium,5.90,5
95,gpt-4.1,in-front-left,right,0,medium,5.73,5
96,gpt-4.1,in-front-left,behind,0,medium,3.77,5
97,gpt-4.1,in-front-left,in-front,0,medium,11.41,5
98,gpt-4.1,in-front-left,behind,0,medium,7.72,5
99,gpt-4.1,in-front-left,behind,0,medium,7.49,5
100,gpt-4.1,in-front-left,behind,0,medium,9.84,5
101,gpt-4.1,behind,left,0,medium,9.27,5
102,gpt-4.1,behind,in-front,0,medium,5.85,5
103,gpt-4.1,behind,right,0,medium,9.28,5
104,gpt-4.1,behind,in-front,0,medium,7.74,5
105,gpt-4.1,behind,in-front,0,medium,3.54,5
106,gpt-4.1,behind,in-front,0,medium,6.21,5
107,gpt-4.1,behind,right,0,medium,7.10,5
108,gpt-4.1,behind,in-front-right,0,medium,3.38,5
109,gpt-4.1,behind,behind,1,medium,6.30,5
110,gpt-4.1,behind,in-front,0,medium,4.33,5
111,gpt-4.1,behind,right,0,medium,5.99,5
112,gpt-4.1,behind,in-front,0,medium,4.31,5
113,gpt-4.1,behind,in-front-right,0,medium,4.07,5
114,gpt-4.1,behind,in-front-left,0,medium,3.60,5
115,gpt-4.1,behind,left,0,medium,4.37,5
116,gpt-4.1,behind,left,0,medium,8.90,5
117,gpt-4.1,behind,in-front,0,medium,11.49,5
118,gpt-4.1,behind,in-front,0,medium,6.47,5
119,gpt-4.1,behind,left,0,medium,5.09,5
120,gpt-4.1,behind,in-front-right,0,medium,9.06,5
121,gpt-4.1,behind-left,in-front,0,medium,15.02,5
122,gpt-4.1,behind-left,left,0,medium,3.27,5
123,gpt-4.1,behind-left,in-front-right,0,medium,21.34,5
124,gpt-4.1,behind-left,in-front,0,medium,11.67,5
125,gpt-4.1,behind-left,right,0,medium,6.55,5
126,gpt-4.1,behind-left,in-front,0,medium,5.18,5
127,gpt-4.1,behind-left,in-front,0,medium,7.33,5
128,gpt-4.1,behind-left,left,0,medium,8.90,5
129,gpt-4.1,behind-left,in-front,0,medium,14.54,5
130,gpt-4.1,behind-left,in-front,0,medium,7.90,5
131,gpt-4.1,behind-left,in-front,0,medium,10.12,5
132,gpt-4.1,behind-left,in-front-right,0,medium,5.84,5
