prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gemma3:4b,behind-left,right,0,high,8.81,10
2,gemma3:4b,behind-left,right,0,high,14.26,10
3,gemma3:4b,behind-left,left,0,high,18.64,10
4,gemma3:4b,behind-left,left,0,high,20.05,10
5,gemma3:4b,behind-left,left,0,high,14.88,10
6,gemma3:4b,behind-left,right,0,high,21.17,10
7,gemma3:4b,behind-left,left,0,high,21.18,10
8,gemma3:4b,behind-left,error,0,high,60.08,10
9,gemma3:4b,behind-left,left,0,high,36.41,10
10,gemma3:4b,behind-left,behind,0,high,8.05,10
11,gemma3:4b,behind-left,right,0,high,7.79,10
12,gemma3:4b,behind-left,left,0,high,4.42,10
13,gemma3:4b,behind-left,left,0,high,7.57,10
14,gemma3:4b,behind-left,left,0,high,13.96,10
15,gemma3:4b,behind-left,right,0,high,13.51,10
16,gemma3:4b,behind-left,left,0,high,11.77,10
17,gemma3:4b,behind-left,right,0,high,17.22,10
18,gemma3:4b,behind-left,right,0,high,15.99,10
19,gemma3:4b,behind-left,right,0,high,37.09,10
20,gemma3:4b,behind-left,left,0,high,9.18,10
21,gemma3:4b,behind-left,behind,0,high,10.57,10
22,gemma3:4b,behind-left,left,0,high,25.41,10
23,gemma3:4b,behind-left,right,0,high,18.52,10
24,gemma3:4b,behind-left,left,0,high,14.58,10
25,gemma3:4b,behind-left,left,0,high,11.36,10
26,gemma3:4b,behind-left,left,0,high,31.22,10
27,gemma3:4b,behind-left,right,0,high,32.49,10
28,gemma3:4b,behind-left,right,0,high,33.64,10
29,gemma3:4b,behind-left,right,0,high,35.29,10
30,gemma3:4b,behind-left,right,0,high,13.90,10
31,gemma3:4b,behind-left,right,0,high,12.42,10
32,gemma3:4b,behind-left,left,0,high,8.96,10
33,gemma3:4b,behind-left,right,0,high,15.22,10
34,gemma3:4b,behind-left,right,0,high,12.60,10
35,gemma3:4b,behind-left,behind,0,high,8.08,10
36,gemma3:4b,behind-left,left,0,high,38.09,10
37,gemma3:4b,behind-left,right,0,high,41.58,10
38,gemma3:4b,behind-left,right,0,high,23.17,10
39,gemma3:4b,behind-left,right,0,high,23.98,10
40,gemma3:4b,behind-left,left,0,high,11.38,10
41,gemma3:4b,behind-left,left,0,high,13.44,10
42,gemma3:4b,behind-left,right,0,high,11.23,10
43,gemma3:4b,behind-left,left,0,high,34.23,10
44,gemma3:4b,behind-left,left,0,high,18.62,10
45,gemma3:4b,behind-left,left,0,high,15.37,10
46,gemma3:4b,behind-left,right,0,high,15.39,10
47,gemma3:4b,behind-left,left,0,high,50.51,10
48,gemma3:4b,behind-left,left,0,high,28.35,10
49,gemma3:4b,behind-left,left,0,high,20.33,10
50,gemma3:4b,behind-left,left,0,high,12.95,10
51,gemma3:4b,in-front-left,right,0,high,11.99,10
52,gemma3:4b,in-front-left,left,0,high,21.13,10
53,gemma3:4b,in-front-left,left,0,high,15.40,10
54,gemma3:4b,in-front-left,behind,0,high,19.98,10
55,gemma3:4b,in-front-left,left,0,high,37.95,10
56,gemma3:4b,in-front-left,left,0,high,32.57,10
57,gemma3:4b,in-front-left,left,0,high,17.94,10
58,gemma3:4b,in-front-left,left,0,high,13.15,10
59,gemma3:4b,in-front-left,right,0,high,11.75,10
60,gemma3:4b,in-front-left,left,0,high,6.77,10
61,gemma3:4b,in-front-left,right,0,high,14.79,10
62,gemma3:4b,in-front-left,left,0,high,20.93,10
63,gemma3:4b,in-front-left,left,0,high,13.96,10
64,gemma3:4b,in-front-left,left,0,high,13.60,10
65,gemma3:4b,in-front-left,left,0,high,25.00,10
66,gemma3:4b,in-front-left,left,0,high,36.55,10
67,gemma3:4b,in-front-left,right,0,high,18.46,10
68,gemma3:4b,in-front-left,right,0,high,31.41,10
69,gemma3:4b,in-front-left,left,0,high,18.93,10
70,gemma3:4b,in-front-left,left,0,high,13.82,10
71,gemma3:4b,in-front-left,left,0,high,11.21,10
72,gemma3:4b,in-front-left,left,0,high,22.77,10
73,gemma3:4b,in-front-left,left,0,high,25.47,10
74,gemma3:4b,in-front-left,behind,0,high,30.85,10
75,gemma3:4b,in-front-left,right,0,high,18.54,10
76,gemma3:4b,in-front-left,left,0,high,31.78,10
77,gemma3:4b,in-front-left,left,0,high,35.62,10
78,gemma3:4b,in-front-left,right,0,high,22.46,10
79,gemma3:4b,in-front-left,left,0,high,16.63,10
80,gemma3:4b,in-front-left,left,0,high,10.21,10
81,gemma3:4b,in-front-left,left,0,high,16.12,10
82,gemma3:4b,in-front-left,incorrect prompt,0,high,15.84,10
83,gemma3:4b,in-front-left,right,0,high,21.11,10
84,gemma3:4b,in-front-left,left,0,high,15.87,10
85,gemma3:4b,in-front-left,right,0,high,11.57,10
86,gemma3:4b,in-front-left,left,0,high,21.48,10
87,gemma3:4b,in-front-left,behind,0,high,36.18,10
88,gemma3:4b,in-front-left,incorrect prompt,0,high,37.88,10
89,gemma3:4b,in-front-left,right,0,high,17.02,10
90,gemma3:4b,in-front-left,right,0,high,17.86,10
91,gemma3:4b,in-front-left,left,0,high,23.18,10
92,gemma3:4b,in-front-left,right,0,high,11.81,10
93,gemma3:4b,in-front-left,right,0,high,11.88,10
94,gemma3:4b,in-front-left,right,0,high,11.84,10
95,gemma3:4b,in-front-left,left,0,high,13.42,10
96,gemma3:4b,in-front-left,left,0,high,9.49,10
97,gemma3:4b,in-front-left,left,0,high,13.24,10
98,gemma3:4b,in-front-left,right,0,high,21.82,10
99,gemma3:4b,in-front-left,right,0,high,9.40,10
100,gemma3:4b,in-front-left,left,0,high,10.73,10
101,gemma3:4b,in-front-right,left,0,high,13.85,10
102,gemma3:4b,in-front-right,right,0,high,23.22,10
103,gemma3:4b,in-front-right,right,0,high,22.95,10
104,gemma3:4b,in-front-right,left,0,high,17.10,10
105,gemma3:4b,in-front-right,left,0,high,36.94,10
106,gemma3:4b,in-front-right,left,0,high,28.68,10
107,gemma3:4b,in-front-right,right,0,high,28.08,10
108,gemma3:4b,in-front-right,right,0,high,23.95,10
109,gemma3:4b,in-front-right,left,0,high,38.31,10
110,gemma3:4b,in-front-right,left,0,high,20.66,10
111,gemma3:4b,in-front-right,left,0,high,23.07,10
112,gemma3:4b,in-front-right,right,0,high,23.84,10
113,gemma3:4b,in-front-right,right,0,high,18.39,10
114,gemma3:4b,in-front-right,left,0,high,12.67,10
115,gemma3:4b,in-front-right,left,0,high,13.13,10
116,gemma3:4b,in-front-right,left,0,high,33.08,10
117,gemma3:4b,in-front-right,left,0,high,21.10,10
118,gemma3:4b,in-front-right,right,0,high,29.72,10
119,gemma3:4b,in-front-right,right,0,high,21.73,10
120,gemma3:4b,in-front-right,right,0,high,16.60,10
121,gemma3:4b,in-front-right,right,0,high,19.33,10
122,gemma3:4b,in-front-right,right,0,high,22.03,10
123,gemma3:4b,in-front-right,incorrect prompt,0,high,7.00,10
124,gemma3:4b,in-front-right,left,0,high,20.60,10
125,gemma3:4b,in-front-right,left,0,high,16.98,10
126,gemma3:4b,in-front-right,right,0,high,13.26,10
127,gemma3:4b,in-front-right,left,0,high,19.79,10
128,gemma3:4b,in-front-right,left,0,high,27.55,10
129,gemma3:4b,in-front-right,right,0,high,22.95,10
130,gemma3:4b,in-front-right,left,0,high,18.70,10
131,gemma3:4b,in-front-right,left,0,high,16.56,10
132,gemma3:4b,in-front-right,left,0,high,18.91,10
133,gemma3:4b,in-front-right,left,0,high,17.06,10
134,gemma3:4b,in-front-right,left,0,high,20.91,10
135,gemma3:4b,in-front-right,right,0,high,7.41,10
136,gemma3:4b,in-front-right,right,0,high,15.39,10
137,gemma3:4b,in-front-right,right,0,high,16.52,10
138,gemma3:4b,in-front-right,right,0,high,20.69,10
139,gemma3:4b,in-front-right,right,0,high,10.97,10
140,gemma3:4b,in-front-right,right,0,high,8.19,10
141,gemma3:4b,in-front-right,right,0,high,28.30,10
142,gemma3:4b,in-front-right,left,0,high,25.87,10
143,gemma3:4b,in-front-right,right,0,high,16.57,10
144,gemma3:4b,in-front-right,right,0,high,31.15,10
145,gemma3:4b,in-front-right,left,0,high,24.14,10
146,gemma3:4b,in-front-right,left,0,high,29.79,10
147,gemma3:4b,in-front-right,left,0,high,18.32,10
148,gemma3:4b,in-front-right,left,0,high,28.10,10
149,gemma3:4b,in-front-right,right,0,high,9.60,10
150,gemma3:4b,in-front-right,left,0,high,18.24,10
151,gemma3:4b,behind-right,right,0,high,20.72,10
152,gemma3:4b,behind-right,right,0,high,12.01,10
153,gemma3:4b,behind-right,behind,0,high,12.12,10
154,gemma3:4b,behind-right,right,0,high,17.84,10
155,gemma3:4b,behind-right,right,0,high,11.42,10
156,gemma3:4b,behind-right,behind,0,high,19.00,10
157,gemma3:4b,behind-right,incorrect prompt,0,high,11.70,10
158,gemma3:4b,behind-right,behind,0,high,30.21,10
