prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,in-front-left,right,0,high,8.70,5
2,gpt-4.1-mini,in-front-left,behind,0,high,4.51,5
3,gpt-4.1-mini,in-front-left,left,0,high,6.64,5
4,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.64,5
5,gpt-4.1-mini,in-front-left,right,0,high,5.38,5
6,gpt-4.1-mini,in-front-left,in-front,0,high,2.51,5
7,gpt-4.1-mini,in-front-left,left,0,high,5.13,5
8,gpt-4.1-mini,in-front-left,right,0,high,8.15,5
9,gpt-4.1-mini,in-front-left,right,0,high,3.45,5
10,gpt-4.1-mini,in-front-left,right,0,high,4.94,5
11,gpt-4.1-mini,in-front-left,left,0,high,3.81,5
12,gpt-4.1-mini,in-front-left,left,0,high,4.79,5
13,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,7.55,5
14,gpt-4.1-mini,in-front-left,left,0,high,3.27,5
15,gpt-4.1-mini,in-front-left,right,0,high,8.75,5
16,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.59,5
17,gpt-4.1-mini,in-front-left,right,0,high,3.58,5
18,gpt-4.1-mini,in-front-left,left,0,high,3.24,5
19,gpt-4.1-mini,in-front-left,left,0,high,5.01,5
20,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,5.31,5
21,gpt-4.1-mini,in-front-left,behind,0,high,5.06,5
22,gpt-4.1-mini,in-front-left,right,0,high,4.15,5
23,gpt-4.1-mini,in-front-left,right,0,high,4.71,5
24,gpt-4.1-mini,in-front-left,behind,0,high,4.92,5
25,gpt-4.1-mini,in-front-left,left,0,high,2.41,5
26,gpt-4.1-mini,in-front-left,right,0,high,7.73,5
27,gpt-4.1-mini,in-front-left,right,0,high,7.26,5
28,gpt-4.1-mini,in-front-left,left,0,high,8.89,5
29,gpt-4.1-mini,in-front-left,left,0,high,5.51,5
30,gpt-4.1-mini,in-front-left,right,0,high,2.66,5
31,gpt-4.1-mini,in-front-left,right,0,high,7.35,5
32,gpt-4.1-mini,in-front-left,left,0,high,4.60,5
33,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,1.34,5
34,gpt-4.1-mini,in-front-left,left,0,high,5.32,5
35,gpt-4.1-mini,in-front-left,left,0,high,5.73,5
36,gpt-4.1-mini,in-front-left,right,0,high,3.50,5
37,gpt-4.1-mini,in-front-left,right,0,high,2.27,5
38,gpt-4.1-mini,in-front-left,right,0,high,3.62,5
39,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,3.17,5
40,gpt-4.1-mini,in-front-left,left,0,high,4.23,5
41,gpt-4.1-mini,in-front-left,right,0,high,5.15,5
42,gpt-4.1-mini,in-front-left,right,0,high,4.19,5
43,gpt-4.1-mini,in-front-left,left,0,high,9.14,5
44,gpt-4.1-mini,in-front-left,right,0,high,6.35,5
45,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,2.52,5
46,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,4.10,5
47,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,4.14,5
48,gpt-4.1-mini,in-front-left,left,0,high,6.85,5
49,gpt-4.1-mini,in-front-left,behind,0,high,6.39,5
50,gpt-4.1-mini,in-front-left,incorrect prompt,0,high,4.98,5
51,gpt-4.1-mini,right,left,0,high,8.57,5
52,gpt-4.1-mini,right,right,1,high,3.37,5
53,gpt-4.1-mini,right,right,1,high,8.23,5
54,gpt-4.1-mini,right,right,1,high,3.49,5
55,gpt-4.1-mini,right,left,0,high,7.53,5
56,gpt-4.1-mini,right,left,0,high,4.79,5
57,gpt-4.1-mini,right,incorrect prompt,0,high,2.61,5
58,gpt-4.1-mini,right,right,1,high,3.24,5
59,gpt-4.1-mini,right,incorrect prompt,0,high,2.09,5
60,gpt-4.1-mini,right,left,0,high,6.11,5
61,gpt-4.1-mini,right,right,1,high,6.22,5
62,gpt-4.1-mini,right,left,0,high,7.06,5
63,gpt-4.1-mini,right,left,0,high,3.95,5
64,gpt-4.1-mini,right,right,1,high,4.92,5
65,gpt-4.1-mini,right,right,1,high,3.08,5
66,gpt-4.1-mini,right,right,1,high,3.21,5
67,gpt-4.1-mini,right,left,0,high,2.82,5
68,gpt-4.1-mini,right,incorrect prompt,0,high,2.51,5
69,gpt-4.1-mini,right,left,0,high,6.46,5
70,gpt-4.1-mini,right,right,1,high,5.87,5
71,gpt-4.1-mini,right,incorrect prompt,0,high,1.49,5
72,gpt-4.1-mini,right,right,1,high,2.36,5
73,gpt-4.1-mini,right,incorrect prompt,0,high,1.84,5
74,gpt-4.1-mini,right,incorrect prompt,0,high,2.46,5
75,gpt-4.1-mini,right,incorrect prompt,0,high,3.46,5
76,gpt-4.1-mini,right,right,1,high,3.82,5
77,gpt-4.1-mini,right,incorrect prompt,0,high,2.47,5
78,gpt-4.1-mini,right,left,0,high,5.65,5
79,gpt-4.1-mini,right,left,0,high,3.11,5
80,gpt-4.1-mini,right,right,1,high,3.42,5
81,gpt-4.1-mini,right,right,1,high,5.46,5
82,gpt-4.1-mini,right,incorrect prompt,0,high,5.08,5
83,gpt-4.1-mini,right,right,1,high,3.37,5
84,gpt-4.1-mini,right,incorrect prompt,0,high,3.62,5
85,gpt-4.1-mini,right,left,0,high,3.83,5
86,gpt-4.1-mini,right,left,0,high,3.79,5
87,gpt-4.1-mini,right,behind,0,high,4.53,5
88,gpt-4.1-mini,right,behind,0,high,5.04,5
89,gpt-4.1-mini,right,right,1,high,5.58,5
90,gpt-4.1-mini,right,incorrect prompt,0,high,3.13,5
91,gpt-4.1-mini,right,incorrect prompt,0,high,1.55,5
92,gpt-4.1-mini,right,left,0,high,3.36,5
93,gpt-4.1-mini,right,left,0,high,3.18,5
94,gpt-4.1-mini,right,left,0,high,1.78,5
95,gpt-4.1-mini,right,left,0,high,3.15,5
96,gpt-4.1-mini,right,incorrect prompt,0,high,1.83,5
97,gpt-4.1-mini,right,in-front,0,high,4.85,5
98,gpt-4.1-mini,right,right,1,high,2.92,5
99,gpt-4.1-mini,right,behind,0,high,11.25,5
100,gpt-4.1-mini,right,left,0,high,4.92,5
101,gpt-4.1-mini,behind-left,left,0,high,4.41,5
102,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.16,5
103,gpt-4.1-mini,behind-left,right,0,high,3.94,5
104,gpt-4.1-mini,behind-left,left,0,high,3.95,5
105,gpt-4.1-mini,behind-left,left,0,high,2.81,5
106,gpt-4.1-mini,behind-left,behind,0,high,4.47,5
107,gpt-4.1-mini,behind-left,incorrect prompt,0,high,1.30,5
108,gpt-4.1-mini,behind-left,left,0,high,3.69,5
109,gpt-4.1-mini,behind-left,incorrect prompt,0,high,3.75,5
110,gpt-4.1-mini,behind-left,left,0,high,6.65,5
111,gpt-4.1-mini,behind-left,right,0,high,4.04,5
112,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.86,5
113,gpt-4.1-mini,behind-left,incorrect prompt,0,high,3.27,5
114,gpt-4.1-mini,behind-left,incorrect prompt,0,high,2.46,5
115,gpt-4.1-mini,behind-left,left,0,high,2.97,5
116,gpt-4.1-mini,behind-left,incorrect prompt,0,high,4.90,5
