prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,behind-right,behind,0,medium,7.29,10
2,o4-mini,behind-right,behind,0,medium,9.94,10
3,o4-mini,behind-right,behind,0,medium,10.98,10
4,o4-mini,behind-right,behind,0,medium,9.58,10
5,o4-mini,behind-right,behind,0,medium,8.85,10
6,o4-mini,behind-right,behind,0,medium,16.10,10
7,o4-mini,behind-right,behind,0,medium,10.72,10
8,o4-mini,behind-right,behind,0,medium,8.09,10
9,o4-mini,behind-right,behind,0,medium,7.27,10
10,o4-mini,behind-right,behind,0,medium,11.90,10
11,o4-mini,behind-right,behind,0,medium,10.22,10
12,o4-mini,behind-right,behind,0,medium,9.93,10
13,o4-mini,behind-right,behind,0,medium,10.55,10
14,o4-mini,behind-right,behind,0,medium,9.11,10
15,o4-mini,behind-right,behind,0,medium,9.52,10
16,o4-mini,behind-right,behind,0,medium,12.04,10
17,o4-mini,behind-right,behind,0,medium,6.09,10
18,o4-mini,behind-right,behind,0,medium,10.20,10
19,o4-mini,behind-right,behind,0,medium,11.62,10
20,o4-mini,behind-right,behind,0,medium,8.20,10
21,o4-mini,behind-right,behind,0,medium,15.66,10
22,o4-mini,behind-right,behind,0,medium,7.96,10
23,o4-mini,behind-right,behind,0,medium,6.68,10
24,o4-mini,behind-right,behind,0,medium,12.08,10
25,o4-mini,behind-right,right,0,medium,24.50,10
26,o4-mini,behind-right,behind,0,medium,10.11,10
27,o4-mini,behind-right,behind,0,medium,20.28,10
28,o4-mini,behind-right,behind,0,medium,9.73,10
29,o4-mini,behind-right,behind,0,medium,9.15,10
30,o4-mini,behind-right,behind,0,medium,7.45,10
31,o4-mini,behind-right,behind,0,medium,11.19,10
32,o4-mini,behind-right,behind,0,medium,7.89,10
33,o4-mini,behind-right,behind,0,medium,8.36,10
34,o4-mini,behind-right,behind,0,medium,11.37,10
35,o4-mini,behind-right,behind,0,medium,21.71,10
36,o4-mini,behind-right,behind,0,medium,7.59,10
37,o4-mini,behind-right,behind,0,medium,8.20,10
38,o4-mini,behind-right,behind,0,medium,8.37,10
39,o4-mini,behind-right,behind,0,medium,11.36,10
40,o4-mini,behind-right,behind,0,medium,8.70,10
41,o4-mini,behind-right,behind,0,medium,12.19,10
42,o4-mini,behind-right,behind,0,medium,13.00,10
43,o4-mini,behind-right,behind,0,medium,18.53,10
44,o4-mini,behind-right,behind,0,medium,15.77,10
45,o4-mini,behind-right,behind,0,medium,13.24,10
46,o4-mini,behind-right,behind,0,medium,10.20,10
47,o4-mini,behind-right,behind,0,medium,7.92,10
48,o4-mini,behind-right,behind,0,medium,14.01,10
49,o4-mini,behind-right,behind,0,medium,10.54,10
50,o4-mini,behind-right,behind,0,medium,8.31,10
51,o4-mini,in-front-left,in-front-left,1,medium,14.43,10
52,o4-mini,in-front-left,in-front-right,0,medium,10.38,10
53,o4-mini,in-front-left,in-front-left,1,medium,11.05,10
54,o4-mini,in-front-left,in-front-left,1,medium,7.04,10
55,o4-mini,in-front-left,in-front-left,1,medium,11.43,10
56,o4-mini,in-front-left,in-front-left,1,medium,8.73,10
57,o4-mini,in-front-left,in-front-left,1,medium,15.78,10
58,o4-mini,in-front-left,in-front-left,1,medium,8.72,10
59,o4-mini,in-front-left,in-front-left,1,medium,5.54,10
60,o4-mini,in-front-left,in-front-left,1,medium,9.19,10
61,o4-mini,in-front-left,in-front-left,1,medium,28.15,10
62,o4-mini,in-front-left,in-front-left,1,medium,11.18,10
63,o4-mini,in-front-left,in-front-right,0,medium,50.01,10
64,o4-mini,in-front-left,in-front-left,1,medium,7.95,10
65,o4-mini,in-front-left,in-front-left,1,medium,5.22,10
