prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,behind-left,incorrect prompt,0,high,2.79,10
2,deepSeek-v3,behind-left,incorrect prompt,0,high,7.35,10
3,deepSeek-v3,behind-left,right,0,high,27.86,10
4,deepSeek-v3,behind-left,right,0,high,16.89,10
5,deepSeek-v3,behind-left,incorrect prompt,0,high,17.31,10
6,deepSeek-v3,behind-left,right,0,high,11.33,10
7,deepSeek-v3,behind-left,incorrect prompt,0,high,6.69,10
8,deepSeek-v3,behind-left,right,0,high,11.67,10
9,deepSeek-v3,behind-left,incorrect prompt,0,high,7.13,10
10,deepSeek-v3,behind-left,incorrect prompt,0,high,5.47,10
11,deepSeek-v3,behind-left,right,0,high,8.75,10
12,deepSeek-v3,behind-left,right,0,high,6.40,10
13,deepSeek-v3,behind-left,right,0,high,23.03,10
14,deepSeek-v3,behind-left,right,0,high,33.96,10
15,deepSeek-v3,behind-left,incorrect prompt,0,high,3.63,10
16,deepSeek-v3,behind-left,right,0,high,8.09,10
17,deepSeek-v3,behind-left,incorrect prompt,0,high,9.01,10
18,deepSeek-v3,behind-left,left,0,high,13.68,10
19,deepSeek-v3,behind-left,right,0,high,28.00,10
20,deepSeek-v3,behind-left,incorrect prompt,0,high,5.73,10
21,deepSeek-v3,behind-left,incorrect prompt,0,high,3.69,10
22,deepSeek-v3,behind-left,right,0,high,13.33,10
23,deepSeek-v3,behind-left,right,0,high,11.45,10
24,deepSeek-v3,behind-left,left,0,high,8.09,10
25,deepSeek-v3,behind-left,right,0,high,5.63,10
26,deepSeek-v3,behind-left,incorrect prompt,0,high,9.12,10
27,deepSeek-v3,behind-left,left,0,high,7.47,10
28,deepSeek-v3,behind-left,incorrect prompt,0,high,6.91,10
29,deepSeek-v3,behind-left,behind,0,high,9.17,10
30,deepSeek-v3,behind-left,incorrect prompt,0,high,14.73,10
31,deepSeek-v3,behind-left,right,0,high,6.65,10
32,deepSeek-v3,behind-left,left,0,high,6.57,10
33,deepSeek-v3,behind-left,incorrect prompt,0,high,9.13,10
34,deepSeek-v3,behind-left,behind,0,high,9.08,10
35,deepSeek-v3,behind-left,incorrect prompt,0,high,10.89,10
36,deepSeek-v3,behind-left,right,0,high,9.21,10
37,deepSeek-v3,behind-left,behind,0,high,10.75,10
38,deepSeek-v3,behind-left,right,0,high,35.74,10
39,deepSeek-v3,behind-left,incorrect prompt,0,high,14.23,10
40,deepSeek-v3,behind-left,incorrect prompt,0,high,4.50,10
41,deepSeek-v3,behind-left,incorrect prompt,0,high,4.20,10
42,deepSeek-v3,behind-left,right,0,high,41.68,10
43,deepSeek-v3,behind-left,left,0,high,10.25,10
44,deepSeek-v3,behind-left,incorrect prompt,0,high,7.13,10
45,deepSeek-v3,behind-left,right,0,high,19.19,10
46,deepSeek-v3,behind-left,incorrect prompt,0,high,5.72,10
47,deepSeek-v3,behind-left,right,0,high,21.49,10
48,deepSeek-v3,behind-left,left,0,high,10.28,10
49,deepSeek-v3,behind-left,incorrect prompt,0,high,3.53,10
50,deepSeek-v3,behind-left,right,0,high,13.96,10
51,deepSeek-v3,in-front-left,incorrect prompt,0,high,14.34,10
52,deepSeek-v3,in-front-left,incorrect prompt,0,high,3.49,10
53,deepSeek-v3,in-front-left,right,0,high,15.38,10
54,deepSeek-v3,in-front-left,incorrect prompt,0,high,15.24,10
55,deepSeek-v3,in-front-left,right,0,high,7.56,10
56,deepSeek-v3,in-front-left,incorrect prompt,0,high,9.20,10
57,deepSeek-v3,in-front-left,right,0,high,9.21,10
58,deepSeek-v3,in-front-left,right,0,high,25.63,10
59,deepSeek-v3,in-front-left,incorrect prompt,0,high,12.49,10
60,deepSeek-v3,in-front-left,right,0,high,13.65,10
61,deepSeek-v3,in-front-left,incorrect prompt,0,high,10.93,10
62,deepSeek-v3,in-front-left,incorrect prompt,0,high,6.65,10
63,deepSeek-v3,in-front-left,incorrect prompt,0,high,2.76,10
64,deepSeek-v3,in-front-left,right,0,high,16.70,10
65,deepSeek-v3,in-front-left,left,0,high,23.81,10
66,deepSeek-v3,in-front-left,incorrect prompt,0,high,3.98,10
67,deepSeek-v3,in-front-left,right,0,high,25.65,10
