prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,tokens_used,temperature,seed,grid_size
1,gpt-4.1-mini,behind-right,in-front,0,low,1.70,1351,0.0,42,10
2,gpt-4.1-mini,behind-right,right,0,low,1.47,1330,0.0,42,10
3,gpt-4.1-mini,behind-right,right,0,low,2.32,1405,0.0,42,10
4,gpt-4.1-mini,behind-right,in-front,0,low,2.38,1456,0.0,42,10
5,gpt-4.1-mini,behind-right,right,0,low,1.30,1290,0.0,42,10
6,gpt-4.1-mini,behind-right,in-front,0,low,2.05,1405,0.0,42,10
7,gpt-4.1-mini,behind-right,in-front,0,low,2.15,1422,0.0,42,10
8,gpt-4.1-mini,behind-right,in-front,0,low,1.54,1333,0.0,42,10
9,gpt-4.1-mini,behind-right,in-front,0,low,2.25,1405,0.0,42,10
10,gpt-4.1-mini,behind-right,in-front,0,low,2.18,1400,0.0,42,10
11,gpt-4.1-mini,behind-right,right,0,low,1.51,1331,0.0,42,10
12,gpt-4.1-mini,behind-right,behind,0,low,1.49,1324,0.0,42,10
13,gpt-4.1-mini,behind-right,right,0,low,1.79,1355,0.0,42,10
14,gpt-4.1-mini,behind-right,in-front,0,low,2.14,1385,0.0,42,10
15,gpt-4.1-mini,behind-right,left,0,low,1.89,1384,0.0,42,10
16,gpt-4.1-mini,behind-right,left,0,low,2.12,1417,0.0,42,10
17,gpt-4.1-mini,behind-right,behind,0,low,1.93,1394,0.0,42,10
18,gpt-4.1-mini,behind-right,in-front,0,low,1.58,1353,0.0,42,10
19,gpt-4.1-mini,behind-right,right,0,low,1.64,1317,0.0,42,10
20,gpt-4.1-mini,behind-right,in-front,0,low,1.93,1388,0.0,42,10
21,gpt-4.1-mini,behind-right,right,0,low,1.61,1294,0.0,42,10
22,gpt-4.1-mini,behind-right,in-front,0,low,1.98,1328,0.0,42,10
23,gpt-4.1-mini,behind-right,behind,0,low,1.71,1352,0.0,42,10
24,gpt-4.1-mini,behind-right,left,0,low,1.23,1287,0.0,42,10
25,gpt-4.1-mini,behind-right,in-front,0,low,1.74,1347,0.0,42,10
26,gpt-4.1-mini,behind-right,in-front,0,low,2.05,1392,0.0,42,10
27,gpt-4.1-mini,behind-right,behind,0,low,1.85,1378,0.0,42,10
28,gpt-4.1-mini,behind-right,in-front,0,low,1.87,1386,0.0,42,10
29,gpt-4.1-mini,behind-right,behind,0,low,2.16,1410,0.0,42,10
30,gpt-4.1-mini,behind-right,left,0,low,2.21,1397,0.0,42,10
31,gpt-4.1-mini,behind-right,in-front,0,low,1.64,1336,0.0,42,10
32,gpt-4.1-mini,behind-right,in-front,0,low,2.53,1446,0.0,42,10
33,gpt-4.1-mini,behind-right,right,0,low,2.55,1417,0.0,42,10
34,gpt-4.1-mini,behind-right,right,0,low,1.28,1288,0.0,42,10
35,gpt-4.1-mini,behind-right,in-front,0,low,2.25,1393,0.0,42,10
36,gpt-4.1-mini,behind-right,right,0,low,1.21,1272,0.0,42,10
37,gpt-4.1-mini,behind-right,in-front,0,low,2.31,1435,0.0,42,10
38,gpt-4.1-mini,behind-right,behind,0,low,1.70,1363,0.0,42,10
39,gpt-4.1-mini,behind-right,in-front,0,low,2.37,1465,0.0,42,10
40,gpt-4.1-mini,behind-right,right,0,low,1.20,1281,0.0,42,10
41,gpt-4.1-mini,behind-right,in-front,0,low,1.58,1332,0.0,42,10
42,gpt-4.1-mini,behind-right,in-front,0,low,1.92,1367,0.0,42,10
