prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,behind-right,left,0,low,5.95,10
2,deepSeek-v3,behind-right,right,0,low,6.09,10
3,deepSeek-v3,behind-right,left,0,low,9.89,10
4,deepSeek-v3,behind-right,left,0,low,6.18,10
5,deepSeek-v3,behind-right,in-front,0,low,3.62,10
6,deepSeek-v3,behind-right,right,0,low,4.82,10
7,deepSeek-v3,behind-right,in-front,0,low,4.54,10
8,deepSeek-v3,behind-right,left,0,low,5.92,10
9,deepSeek-v3,behind-right,behind,0,low,6.14,10
10,deepSeek-v3,behind-right,in-front-right,0,low,3.89,10
11,deepSeek-v3,behind-right,right,0,low,11.57,10
12,deepSeek-v3,behind-right,in-front,0,low,3.89,10
13,deepSeek-v3,behind-right,in-front,0,low,4.92,10
14,deepSeek-v3,behind-right,in-front,0,low,5.43,10
15,deepSeek-v3,behind-right,in-front,0,low,6.04,10
16,deepSeek-v3,behind-right,left,0,low,8.34,10
17,deepSeek-v3,behind-right,in-front,0,low,6.62,10
18,deepSeek-v3,behind-right,in-front,0,low,4.22,10
19,deepSeek-v3,behind-right,left,0,low,5.91,10
20,deepSeek-v3,behind-right,left,0,low,5.09,10
21,deepSeek-v3,behind-right,right,0,low,5.15,10
22,deepSeek-v3,behind-right,in-front,0,low,5.12,10
23,deepSeek-v3,behind-right,in-front,0,low,3.48,10
24,deepSeek-v3,behind-right,behind,0,low,4.20,10
25,deepSeek-v3,behind-right,left,0,low,10.04,10
26,deepSeek-v3,behind-right,left,0,low,3.79,10
27,deepSeek-v3,behind-right,in-front-right,0,low,7.37,10
28,deepSeek-v3,behind-right,in-front,0,low,4.72,10
29,deepSeek-v3,behind-right,left,0,low,8.40,10
30,deepSeek-v3,behind-right,left,0,low,3.58,10
31,deepSeek-v3,behind-right,right,0,low,3.99,10
32,deepSeek-v3,behind-right,right,0,low,5.00,10
33,deepSeek-v3,behind-right,behind,0,low,3.71,10
34,deepSeek-v3,behind-right,in-front,0,low,4.09,10
35,deepSeek-v3,behind-right,right,0,low,3.89,10
36,deepSeek-v3,behind-right,in-front,0,low,4.64,10
37,deepSeek-v3,behind-right,left,0,low,4.27,10
38,deepSeek-v3,behind-right,in-front,0,low,4.67,10
39,deepSeek-v3,behind-right,left,0,low,4.44,10
40,deepSeek-v3,behind-right,in-front,0,low,6.04,10
41,deepSeek-v3,behind-right,behind,0,low,4.71,10
42,deepSeek-v3,behind-right,in-front,0,low,6.12,10
43,deepSeek-v3,behind-right,behind,0,low,6.99,10
44,deepSeek-v3,behind-right,behind,0,low,4.41,10
45,deepSeek-v3,behind-right,left,0,low,3.99,10
46,deepSeek-v3,behind-right,left,0,low,5.53,10
47,deepSeek-v3,behind-right,left,0,low,3.38,10
48,deepSeek-v3,behind-right,right,0,low,5.12,10
49,deepSeek-v3,behind-right,in-front,0,low,5.84,10
50,deepSeek-v3,behind-right,behind,0,low,4.30,10
51,deepSeek-v3,in-front-right,in-front,0,low,6.45,10
52,deepSeek-v3,in-front-right,in-front,0,low,4.40,10
53,deepSeek-v3,in-front-right,left,0,low,11.98,10
54,deepSeek-v3,in-front-right,in-front,0,low,3.28,10
55,deepSeek-v3,in-front-right,right,0,low,6.90,10
56,deepSeek-v3,in-front-right,in-front,0,low,6.92,10
57,deepSeek-v3,in-front-right,in-front,0,low,6.97,10
58,deepSeek-v3,in-front-right,in-front,0,low,6.53,10
59,deepSeek-v3,in-front-right,in-front-right,1,low,4.59,10
60,deepSeek-v3,in-front-right,in-front,0,low,4.84,10
61,deepSeek-v3,in-front-right,left,0,low,3.89,10
62,deepSeek-v3,in-front-right,left,0,low,5.42,10
63,deepSeek-v3,in-front-right,left,0,low,4.31,10
64,deepSeek-v3,in-front-right,in-front,0,low,5.22,10
65,deepSeek-v3,in-front-right,left,0,low,6.24,10
66,deepSeek-v3,in-front-right,in-front,0,low,6.71,10
67,deepSeek-v3,in-front-right,in-front,0,low,4.37,10
68,deepSeek-v3,in-front-right,right,0,low,6.53,10
69,deepSeek-v3,in-front-right,behind,0,low,4.92,10
70,deepSeek-v3,in-front-right,in-front,0,low,5.08,10
71,deepSeek-v3,in-front-right,in-front,0,low,4.44,10
72,deepSeek-v3,in-front-right,behind,0,low,6.45,10
73,deepSeek-v3,in-front-right,in-front,0,low,5.02,10
74,deepSeek-v3,in-front-right,in-front,0,low,7.76,10
75,deepSeek-v3,in-front-right,behind,0,low,4.73,10
76,deepSeek-v3,in-front-right,behind,0,low,3.28,10
77,deepSeek-v3,in-front-right,left,0,low,2.97,10
78,deepSeek-v3,in-front-right,in-front,0,low,7.18,10
79,deepSeek-v3,in-front-right,in-front,0,low,4.80,10
80,deepSeek-v3,in-front-right,left,0,low,5.65,10
81,deepSeek-v3,in-front-right,in-front,0,low,4.09,10
82,deepSeek-v3,in-front-right,in-front,0,low,4.73,10
83,deepSeek-v3,in-front-right,right,0,low,4.87,10
84,deepSeek-v3,in-front-right,in-front,0,low,5.44,10
85,deepSeek-v3,in-front-right,in-front,0,low,4.30,10
86,deepSeek-v3,in-front-right,left,0,low,5.59,10
87,deepSeek-v3,in-front-right,in-front,0,low,5.06,10
88,deepSeek-v3,in-front-right,behind,0,low,4.61,10
89,deepSeek-v3,in-front-right,in-front,0,low,4.87,10
90,deepSeek-v3,in-front-right,right,0,low,5.78,10
91,deepSeek-v3,in-front-right,in-front,0,low,4.31,10
92,deepSeek-v3,in-front-right,in-front,0,low,7.27,10
93,deepSeek-v3,in-front-right,in-front,0,low,4.30,10
94,deepSeek-v3,in-front-right,in-front,0,low,6.56,10
95,deepSeek-v3,in-front-right,in-front,0,low,4.20,10
96,deepSeek-v3,in-front-right,behind,0,low,4.42,10
97,deepSeek-v3,in-front-right,in-front,0,low,4.59,10
98,deepSeek-v3,in-front-right,in-front,0,low,4.40,10
99,deepSeek-v3,in-front-right,in-front,0,low,11.06,10
100,deepSeek-v3,in-front-right,in-front,0,low,6.35,10
101,deepSeek-v3,in-front-left,left,0,low,4.61,10
102,deepSeek-v3,in-front-left,in-front,0,low,4.28,10
103,deepSeek-v3,in-front-left,left,0,low,4.01,10
104,deepSeek-v3,in-front-left,in-front,0,low,5.43,10
105,deepSeek-v3,in-front-left,in-front,0,low,11.47,10
106,deepSeek-v3,in-front-left,in-front,0,low,3.69,10
107,deepSeek-v3,in-front-left,in-front,0,low,6.55,10
108,deepSeek-v3,in-front-left,in-front,0,low,5.71,10
109,deepSeek-v3,in-front-left,right,0,low,4.50,10
110,deepSeek-v3,in-front-left,in-front,0,low,4.75,10
111,deepSeek-v3,in-front-left,in-front,0,low,5.31,10
112,deepSeek-v3,in-front-left,right,0,low,6.58,10
113,deepSeek-v3,in-front-left,in-front,0,low,5.21,10
114,deepSeek-v3,in-front-left,in-front,0,low,4.08,10
115,deepSeek-v3,in-front-left,left,0,low,3.69,10
116,deepSeek-v3,in-front-left,in-front,0,low,4.81,10
117,deepSeek-v3,in-front-left,in-front,0,low,4.02,10
118,deepSeek-v3,in-front-left,in-front,0,low,3.77,10
119,deepSeek-v3,in-front-left,left,0,low,4.15,10
120,deepSeek-v3,in-front-left,left,0,low,4.24,10
121,deepSeek-v3,in-front-left,in-front,0,low,4.87,10
122,deepSeek-v3,in-front-left,left,0,low,4.38,10
123,deepSeek-v3,in-front-left,in-front,0,low,5.79,10
124,deepSeek-v3,in-front-left,left,0,low,4.01,10
125,deepSeek-v3,in-front-left,in-front,0,low,5.51,10
126,deepSeek-v3,in-front-left,in-front,0,low,3.17,10
127,deepSeek-v3,in-front-left,in-front,0,low,4.40,10
128,deepSeek-v3,in-front-left,in-front,0,low,5.64,10
129,deepSeek-v3,in-front-left,in-front,0,low,4.50,10
130,deepSeek-v3,in-front-left,in-front,0,low,3.72,10
131,deepSeek-v3,in-front-left,in-front,0,low,4.62,10
132,deepSeek-v3,in-front-left,in-front-right,0,low,3.64,10
133,deepSeek-v3,in-front-left,in-front,0,low,2.97,10
134,deepSeek-v3,in-front-left,in-front,0,low,3.85,10
135,deepSeek-v3,in-front-left,behind,0,low,2.55,10
136,deepSeek-v3,in-front-left,left,0,low,4.97,10
137,deepSeek-v3,in-front-left,left,0,low,5.53,10
138,deepSeek-v3,in-front-left,in-front,0,low,6.29,10
139,deepSeek-v3,in-front-left,in-front,0,low,5.92,10
140,deepSeek-v3,in-front-left,right,0,low,3.28,10
141,deepSeek-v3,in-front-left,left,0,low,3.98,10
142,deepSeek-v3,in-front-left,in-front,0,low,3.38,10
143,deepSeek-v3,in-front-left,left,0,low,3.89,10
144,deepSeek-v3,in-front-left,left,0,low,4.42,10
145,deepSeek-v3,in-front-left,in-front,0,low,4.95,10
146,deepSeek-v3,in-front-left,left,0,low,4.46,10
147,deepSeek-v3,in-front-left,in-front,0,low,6.14,10
148,deepSeek-v3,in-front-left,right,0,low,5.43,10
149,deepSeek-v3,in-front-left,in-front,0,low,5.54,10
150,deepSeek-v3,in-front-left,right,0,low,6.22,10
151,deepSeek-v3,behind-left,in-front,0,low,5.44,10
152,deepSeek-v3,behind-left,left,0,low,4.81,10
153,deepSeek-v3,behind-left,behind,0,low,5.03,10
154,deepSeek-v3,behind-left,left,0,low,3.37,10
155,deepSeek-v3,behind-left,left,0,low,3.07,10
156,deepSeek-v3,behind-left,left,0,low,5.34,10
157,deepSeek-v3,behind-left,left,0,low,3.16,10
158,deepSeek-v3,behind-left,left,0,low,3.58,10
159,deepSeek-v3,behind-left,left,0,low,6.21,10
160,deepSeek-v3,behind-left,behind,0,low,3.01,10
161,deepSeek-v3,behind-left,behind,0,low,3.75,10
162,deepSeek-v3,behind-left,left,0,low,3.62,10
163,deepSeek-v3,behind-left,right,0,low,10.75,10
164,deepSeek-v3,behind-left,behind,0,low,5.02,10
165,deepSeek-v3,behind-left,in-front,0,low,5.12,10
166,deepSeek-v3,behind-left,right,0,low,5.12,10
167,deepSeek-v3,behind-left,in-front,0,low,4.00,10
168,deepSeek-v3,behind-left,in-front,0,low,5.77,10
169,deepSeek-v3,behind-left,in-front,0,low,5.79,10
170,deepSeek-v3,behind-left,left,0,low,6.01,10
171,deepSeek-v3,behind-left,behind,0,low,3.41,10
172,deepSeek-v3,behind-left,left,0,low,4.14,10
173,deepSeek-v3,behind-left,in-front,0,low,4.14,10
174,deepSeek-v3,behind-left,left,0,low,4.44,10
175,deepSeek-v3,behind-left,in-front,0,low,7.25,10
176,deepSeek-v3,behind-left,in-front,0,low,4.95,10
177,deepSeek-v3,behind-left,behind,0,low,8.71,10
178,deepSeek-v3,behind-left,left,0,low,4.68,10
179,deepSeek-v3,behind-left,right,0,low,5.63,10
180,deepSeek-v3,behind-left,in-front,0,low,6.76,10
181,deepSeek-v3,behind-left,behind,0,low,4.54,10
182,deepSeek-v3,behind-left,in-front,0,low,5.36,10
183,deepSeek-v3,behind-left,behind,0,low,5.87,10
184,deepSeek-v3,behind-left,left,0,low,5.73,10
185,deepSeek-v3,behind-left,behind,0,low,3.79,10
186,deepSeek-v3,behind-left,left,0,low,4.40,10
187,deepSeek-v3,behind-left,in-front,0,low,5.74,10
188,deepSeek-v3,behind-left,left,0,low,5.22,10
189,deepSeek-v3,behind-left,right,0,low,5.72,10
190,deepSeek-v3,behind-left,in-front,0,low,5.35,10
191,deepSeek-v3,behind-left,in-front,0,low,4.96,10
192,deepSeek-v3,behind-left,left,0,low,3.68,10
193,deepSeek-v3,behind-left,in-front,0,low,3.27,10
194,deepSeek-v3,behind-left,in-front,0,low,6.78,10
195,deepSeek-v3,behind-left,left,0,low,5.26,10
196,deepSeek-v3,behind-left,in-front-left,0,low,5.43,10
197,deepSeek-v3,behind-left,left,0,low,4.51,10
198,deepSeek-v3,behind-left,in-front,0,low,5.22,10
199,deepSeek-v3,behind-left,behind,0,low,6.15,10
200,deepSeek-v3,behind-left,left,0,low,4.12,10
